outcode,avg_asking_price,avg_asking_price_1bed,avg_asking_price_2beds,avg_asking_price_3beds,avg_asking_price_4beds,avg_asking_price_5beds,days_on_market,Sales per month,Sale/List Ratio
PE15,330257,128333,216703,289947,420149,528498,186 days,81.61,33.4
PE16,318367,125000,225261,260169,440430,563571,202 days,23.61,48.43
PE19,447451,158421,233662,358305,554035,753594,120 days,98.5,73.86
PE2,266833,111731,188158,253134,373351,518759,144 days,103.96,47.49
PE20,277448,-,149591,213520,388352,461250,202 days,38.47,32.05
PE21,215134,82310,147309,208098,318485,387217,209 days,58.85,51.95
PE22,331576,179500,199184,278117,417515,553347,192 days,39.84,32.55
PE23,313711,90000,154701,298167,434754,600821,213 days,20.7,51.7
PE24,286678,104500,187136,263477,359814,572945,203 days,40.49,29.93
PE25,245267,98667,153178,230588,325509,476856,226 days,51.24,29.27
PE26,331329,105450,182185,286890,427355,626499,161 days,31.12,43.71
PE27,375802,164611,229555,355171,591165,775000,124 days,28.55,101.69
PE28,539691,149062,242198,377763,585636,824281,132 days,131.59,51.64
PE29,321284,142563,217555,303333,497582,681429,145 days,49.86,67.22
PE3,323367,115600,182777,256730,452756,560364,141 days,35.32,59.64
PE30,266952,97075,162809,249671,401839,495384,171 days,58.77,62.39
PE31,515371,166031,273141,443504,697616,1086200,196 days,65.2,40.61
PE32,421049,180000,233418,352176,530074,705278,219 days,28.49,39.42
PE33,358490,123000,219093,315066,437385,574300,172 days,35.93,35.92
PE34,332614,179998,212677,300240,409185,728125,142 days,35.92,44.12
PE36,389065,188690,217453,395812,656097,776944,217 days,38.02,24.73
PE37,349531,130000,217936,306303,439481,637778,146 days,35.55,45.09
PE38,325111,138538,221266,299537,448568,472500,203 days,27.04,46.99
PE4,267614,124000,201289,255529,337157,408900,122 days,47.21,78.65
PE5,538571,-,-,512500,549000,-,243 days,0.86,114.29
PE6,387305,183333,229407,299745,465752,626310,157 days,78.34,47.8
PE7,335119,152563,202444,276110,405061,573500,145 days,151.86,35.42
PE8,480812,203000,254982,370567,604362,1015600,192 days,40.16,36.96
PE9,489872,165229,236225,385719,593669,956346,152 days,69.47,61.08
PL1,258212,119755,224574,299427,461364,591250,167 days,34.67,75.13
PL10,491318,339369,347500,387436,572500,750000,139 days,19.64,25.27
PL11,447832,130000,259800,358219,501667,827273,147 days,21.84,60.75
PL12,397577,128286,225441,341170,555023,691666,119 days,49.41,46.43
PL13,345096,215833,192302,355728,583288,709118,189 days,55.4,20.92
PL14,353140,124600,192935,290894,419700,713670,145 days,68.07,38.91
PL15,408791,107136,230615,348569,523490,739941,200 days,49.35,38.3
PL16,413420,-,271536,358943,498610,850000,136 days,11.47,19.23
PL17,371534,122500,154812,279544,421532,558978,141 days,35.53,43.11
PL18,416553,92363,250359,351894,546490,607833,173 days,15.78,40.66
PL19,479302,172375,234208,400463,592664,731426,130 days,44.77,46.39
PL2,201416,95588,162260,230936,290750,370000,95 days,46.11,106.16
PL20,589671,116250,262993,419399,682490,781429,153 days,20.2,49.51
PL21,408253,124136,225310,351644,547181,753333,122 days,44.02,86.03
PL22,421690,245000,273670,361056,692727,492500,232 days,8.02,32.26
PL23,716053,272217,341431,617957,1074581,1337941,189 days,26.67,20.83
PL24,298157,140000,180156,288798,460258,461667,184 days,23.48,49.31
PL25,352036,100909,242029,331002,468253,602778,171 days,59.47,33.33
PL26,411262,138359,216268,331244,574989,762270,175 days,72.51,32.15
PL27,797848,218359,379337,537121,818203,1685708,167 days,53.89,27
PL28,709314,397500,266491,621254,1007000,1758328,165 days,34.73,19.37
PL29,647352,280000,429444,512635,807500,1218900,180 days,8.67,9.62
PL3,330884,121250,205472,282576,431651,550556,99 days,57.88,82.2
PL30,518028,136667,266106,393753,669708,898611,167 days,34.13,32.63
PL31,276727,82838,176969,258856,395747,661111,151 days,40.33,42.86
PL32,335514,128000,165054,322430,474850,678125,206 days,15.58,21.5
PL34,434040,240000,241500,408533,564118,631650,199 days,7.39,22.45
PL35,475141,177475,277790,442850,500619,793333,249 days,3.25,37.04
PL4,235972,108071,178119,214366,306346,323529,139 days,46.83,78.34
PL5,244157,96200,180859,236626,372778,794000,89 days,49.21,113.7
PL6,339649,153499,217607,276753,447585,522692,94 days,57.77,106.63
PL7,341050,141244,223506,313592,527809,777273,74 days,57.97,115.38
PL8,782966,-,455243,582778,842578,1358568,133 days,18.05,63.75
