outcode,in_employment,unemployed,unemployment_pct
TF9,10849,8976,45.28
TN1,8895,4057,31.32
TN10,7817,6730,46.26
TN11,8871,6552,42.48
TN12,14787,9966,40.26
TN13,12957,8535,39.71
TN14,7576,5315,41.23
TN15,10197,7916,43.7
TN16,9107,6239,40.66
TN17,6481,5437,45.62
TN18,3419,2647,43.64
TN19,2783,2167,43.78
TN2,13573,9348,40.78
TN20,1959,1699,46.45
TN21,7743,5830,42.95
TN22,12505,8930,41.66
TN23,23669,13050,35.54
TN24,17246,11165,39.3
TN25,8040,5384,40.11
TN26,5814,5334,47.85
TN27,5012,4205,45.62
TN28,3572,4307,54.66
TN29,4550,5653,55.41
TN3,6959,5308,43.27
TN30,4001,4226,51.37
TN31,5955,6383,51.73
TN32,2070,1751,45.83
TN33,5360,4967,48.1
TN34,15357,13576,46.92
TN35,7329,6573,47.28
TN36,891,1104,55.34
TN37,10247,7555,42.44
TN38,10664,9223,46.38
TN39,10965,13663,55.48
TN4,12883,7434,36.59
TN40,6050,7327,54.77
TN5,3676,2977,44.75
TN6,11497,8936,43.73
TN7,867,669,43.55
TN8,5966,3899,39.52
TN9,8623,4215,32.83
TQ1,15502,15582,50.13
TQ10,1807,1633,47.47
TQ11,2310,1891,45.01
TQ12,29756,21520,41.97
TQ13,8965,7751,46.37
TQ14,7909,8584,52.05
TQ2,14795,12424,45.64
TQ3,14629,13709,48.38
TQ4,8160,8693,51.58
TQ5,7234,9064,55.61
TQ6,3617,3745,50.87
TQ7,7666,7240,48.57
TQ8,645,750,53.76
TQ9,7497,6613,46.87
TR1,11332,8911,44.02
TR10,6794,6842,50.18
TR11,12996,13401,50.77
TR12,4161,4166,50.03
TR13,9498,7370,43.69
TR14,13665,11501,45.7
TR15,10964,8094,42.47
TR16,7092,5659,44.38
TR17,963,1084,52.96
TR18,8606,9137,51.5
TR19,3916,3966,50.32
TR2,4618,3790,45.08
TR20,3340,3127,48.35
TR21,830,508,37.97
TR22,95,48,33.57
TR24,102,30,22.73
TR25,81,30,27.03
TR26,4600,4917,51.67
TR27,6111,5379,46.81
TR3,5098,4812,48.56
TR4,5392,3448,39.0
TR5,1694,1349,44.33
TR6,1647,1450,46.82
TR7,11166,8371,42.85
TR8,4848,3287,40.41
TR9,3414,2522,42.49
TS1,6812,10619,60.92
TS10,16188,15110,48.28
TS11,4593,5098,52.61
TS12,9108,9609,51.34
TS13,3816,4451,53.84
TS14,7799,7912,50.36
TS15,6880,5793,45.71
TS16,5286,4145,43.95
TS17,22707,14856,39.55
TS18,11738,11371,49.21
TS19,14096,13646,49.19
TS2,335,436,56.55
TS20,8811,7714,46.68
TS21,5643,4442,44.05
TS22,5003,4134,45.24
TS23,12347,10045,44.86
TS24,9297,11054,54.32
TS25,15719,16017,50.47
TS26,10133,8128,44.51
TS27,4325,4231,49.45
TS28,2387,1929,44.69
TS29,2383,2351,49.66
TS3,10598,12328,53.77
TS4,7335,7236,49.66
TS5,16226,13428,45.28
TS6,11560,12181,51.31
TS7,10249,9294,47.56
TS8,8218,7679,48.3
TS9,4985,5349,51.76
TW1,16484,8846,34.92
TW10,10061,6333,38.63
TW11,12540,7365,37.0
TW12,11035,7687,41.06
TW13,19181,12073,38.63
TW14,15942,10654,40.06
TW15,15770,9432,37.43
TW16,11080,6732,37.79
TW17,6416,4682,42.19
TW18,14107,8278,36.98
TW19,8776,5523,38.63
TW2,15234,9154,37.53
TW20,10652,10785,50.31
TW3,25261,16345,39.29
TW4,13523,9998,42.51
TW5,13818,11012,44.35
TW6,895,539,37.59
TW7,20150,11748,36.83
TW8,13403,7579,36.12
TW9,10706,5890,35.49
UB1,19598,18376,48.39
UB10,20075,12704,38.76
UB11,705,470,40.0
UB18,224,173,43.58
UB2,15345,13658,47.09
UB3,23976,17976,42.85
UB4,18460,13848,42.86
UB5,22215,16293,42.31
UB6,23757,15846,40.01
UB7,16580,10539,38.86
UB8,16336,13846,45.88
UB9,6574,4405,40.12
W1,110,80,42.11
W10,16678,15112,47.54
W11,15520,11502,42.57
W12,26260,16898,39.15
W13,19440,11617,37.41
W14,19323,11268,36.83
W1A,5479,3555,39.35
W1B,350,185,34.58
W1C,489,349,41.65
W1D,585,422,41.91
W1G,693,337,32.72
W1H,2780,1727,38.32
W1J,107,68,38.86
W1K,174,102,36.96
W1M,699,508,42.09
W1N,165,154,48.28
W1P,1412,1620,53.43
W2,21421,15099,41.34
W3,28853,17944,38.34
W4,23977,13057,35.26
W5,24007,13582,36.13
W6,16406,9487,36.64
W7,13157,8641,39.64
W8,6837,5209,43.24
W9,16883,10675,38.74
WA1,13183,7951,37.62
WA10,19361,15656,44.71
WA11,17344,15594,47.34
WA12,12685,8151,39.12
WA13,6581,4707,41.7
WA14,16344,9961,37.87
WA15,18783,12862,40.64
WA16,9809,7712,44.02
WA2,19205,14104,42.34
WA3,23367,17297,42.54
WA4,25033,16963,40.39
WA5,30190,18317,37.76
WA6,8925,7189,44.61
WA7,27555,22294,44.72
WA8,29627,21875,42.47
WA9,21879,18111,45.29
WC1A,1159,1235,51.59
WC1B,306,309,50.24
WC1E,388,389,50.06
WC1H,2534,3794,59.96
WC1N,1989,1903,48.9
WC1R,79,118,59.9
WC1V,86,224,72.26
WC1X,1485,1688,53.2
WC2A,204,118,36.65
WC2B,633,582,47.9
WC2E,413,251,37.8
WC2H,369,324,46.75
WD1,41277,22471,35.25
WD17,213,164,43.5
WD18,256,111,30.25
WD19,230,140,37.84
WD2,39437,22639,36.47
WD23,106,99,48.29
WD24,184,34,15.6
WD25,603,219,26.64
WD3,20368,12414,37.87
WD4,5552,3252,36.94
WD5,5042,3152,38.47
WD6,21026,11653,35.66
WD7,5492,3590,39.53
WF1,21435,15087,41.31
WF10,24619,16810,40.58
WF11,7822,6261,44.46
WF12,17145,14663,46.1
WF13,11448,11339,49.76
WF14,9402,7317,43.76
WF15,8488,6307,42.63
WF16,4266,3938,48.0
WF17,16856,14495,46.23
WF2,23536,19432,45.22
WF3,16114,9659,37.48
WF4,19597,14725,42.9
WF5,9657,7163,42.59
WF6,10597,7328,40.88
WF7,11272,8280,42.35
WF8,16704,12357,42.52
WF9,17140,13988,44.94
WN1,11359,8440,42.63
WN2,24167,19230,44.31
WN3,14697,9839,40.1
WN4,12770,10116,44.2
WN5,20014,16398,45.03
WN6,19479,13937,41.71
WN7,22401,17433,43.76
WN8,20767,15812,43.23
WR1,7415,4584,38.2
WR10,9668,8504,46.8
WR11,23550,15893,40.29
WR12,2362,2552,51.93
WR13,5843,5254,47.35
WR14,13738,13055,48.73
WR15,3043,2720,47.2
WR2,15226,12459,45.0
WR3,11720,7346,38.53
WR4,12835,7668,37.4
WR5,16253,9863,37.77
WR6,4056,3069,43.07
WR7,2400,1859,43.65
WR8,3066,2897,48.58
WR9,14579,11092,43.21
WS1,12056,12500,50.9
WS10,20109,18955,48.52
WS11,22753,16216,41.61
WS12,17589,10484,37.35
WS13,14917,10545,41.41
WS14,7625,6263,45.1
WS15,17743,12942,42.18
WS2,15724,15673,49.92
WS3,21744,20237,48.21
WS4,7920,6389,44.65
WS5,8841,7232,44.99
WS6,7477,5969,44.39
WS7,13991,10863,43.71
WS8,7735,5975,43.58
WS9,10791,9140,45.86
WV1,9051,9401,50.95
WV10,25697,23839,48.12
WV11,15623,12957,45.34
WV12,10619,8970,45.79
WV13,9199,7543,45.05
WV14,20681,17984,46.51
WV15,4461,3786,45.91
WV16,7577,6592,46.52
WV2,8124,7350,47.5
WV3,13277,11646,46.73
WV4,13712,10924,44.34
WV5,6042,5105,45.8
WV6,19449,15914,45.0
WV7,2549,2448,48.99
WV8,6357,5392,45.89
WV9,3073,2251,42.28
YO1,22183,24465,52.45
YO10,171,615,78.24
YO11,12654,12119,48.92
YO12,16449,14722,47.23
YO13,3971,3494,46.81
YO14,4063,5566,57.8
YO15,6345,8788,58.07
YO16,7912,10647,57.37
YO17,12368,8235,39.97
YO18,4800,4762,49.8
YO19,3720,2612,41.25
YO2,32993,21384,39.33
YO21,6615,6380,49.1
YO22,3032,3074,50.34
YO23,436,522,54.49
YO24,228,144,38.71
YO25,15032,12500,45.4
YO26,3838,2580,40.2
YO3,38896,28103,41.95
YO30,1488,755,33.66
YO31,360,124,25.62
YO4,18988,13785,42.06
YO42,500,184,26.9
YO43,487,163,25.08
YO5,2865,1859,39.35
YO6,13608,11335,45.44
YO61,159,102,39.08
YO7,9739,6545,40.19
YO8,23443,15001,39.02
