outcode,in_employment,unemployed,unemployment_pct
DN11,13725,11054,44.61
DN12,10726,9264,46.34
DN14,25080,17165,40.63
DN15,17768,14250,44.51
DN16,14567,11405,43.91
DN17,15384,13533,46.8
DN18,6335,5106,44.63
DN19,2850,2316,44.83
DN2,11780,8935,43.13
DN20,8607,7620,46.96
DN21,17057,15358,47.38
DN22,16877,14615,46.41
DN3,14104,10975,43.76
DN31,5845,5363,47.85
DN32,11252,9545,45.9
DN33,9202,7934,46.3
DN34,7527,5807,43.55
DN35,14189,12832,47.49
DN36,9370,8152,46.52
DN37,12350,10291,45.45
DN38,1204,1001,45.4
DN39,1405,1094,43.78
DN4,23475,18847,44.53
DN40,4783,4214,46.84
DN41,206,56,21.37
DN5,19141,14620,43.3
DN6,12931,10620,45.09
DN7,9480,10020,51.38
DN8,8397,6912,45.15
DN9,9341,7061,43.05
DT1,9913,8766,46.93
DT10,5415,5133,48.66
DT11,13880,11058,44.34
DT2,11727,9687,45.24
DT3,11649,10910,48.36
DT4,16047,14544,47.54
DT5,5597,5392,49.07
DT6,9228,10199,52.5
DT7,2356,2953,55.62
DT8,2435,2683,52.42
DT9,8444,8814,51.07
DY1,17342,14131,44.9
DY10,18866,14886,44.1
DY11,14407,11430,44.24
DY12,6060,6386,51.31
DY13,9505,8718,47.84
DY14,4449,3646,45.04
DY2,13558,11902,46.75
DY3,16698,13956,45.53
DY4,20100,17761,46.91
DY5,19956,15066,43.02
DY6,13857,11596,45.56
DY7,3320,3170,48.84
DY8,22628,17521,43.64
DY9,12106,10684,46.88
E1,47145,33864,41.8
E10,26624,16095,37.68
E11,29897,16486,35.54
E12,17868,15659,46.71
E13,25457,19088,42.85
E14,56443,31774,36.02
E15,32667,18005,35.53
E16,32015,16599,34.14
E17,56912,30351,34.78
E18,11069,5664,33.85
E1W,488,299,37.99
E2,25788,15355,37.32
E20,5072,1775,25.92
E3,32411,19798,37.92
E4,31896,21992,40.81
E5,25680,16642,39.32
E6,34111,27745,44.85
E7,21459,16784,43.89
E8,26870,13303,33.11
E9,17592,11603,39.74
EC1A,1791,1103,38.11
EC1M,1707,774,31.2
EC1N,1294,1111,46.2
EC1R,3158,2209,41.16
EC1V,9744,6533,40.14
EC1Y,2009,1429,41.56
EC2A,880,248,21.99
EC2P,317,60,15.92
EC2Y,945,550,36.79
EC3N,202,46,18.55
EC4A,96,83,46.37
EC4Y,97,110,53.14
EN1,23839,17772,42.71
EN10,9510,6213,39.52
EN11,11318,7240,39.01
EN2,13947,9536,40.61
EN3,24260,21861,47.4
EN4,14823,10336,41.08
EN5,19206,13289,40.9
EN6,13791,10771,43.85
EN7,11164,7270,39.44
EN8,17769,11581,39.46
EN9,11409,7853,40.77
EX1,16112,12367,43.42
EX10,7193,9553,57.05
EX11,4377,3716,45.92
EX12,4022,5253,56.64
EX13,7478,7379,49.67
EX14,10543,8606,44.94
EX15,12417,7464,37.54
EX16,16612,12561,43.06
EX17,10316,7254,41.29
EX18,1891,1763,48.25
EX19,1745,1645,48.53
EX2,23743,14612,38.1
EX20,10971,8807,44.53
EX21,2003,1889,48.54
EX22,5560,4843,46.55
EX23,6524,6631,50.41
EX3,2252,1912,45.92
EX31,14771,11907,44.63
EX32,10937,7879,41.87
EX33,5060,4207,45.4
EX34,6515,6092,48.32
EX35,744,640,46.24
EX36,4317,3736,46.39
EX37,1281,983,43.42
EX38,4136,3439,45.4
EX39,16303,15441,48.64
EX4,23747,25872,52.14
EX5,11325,6662,37.04
EX6,7137,5510,43.57
EX7,6009,6163,50.63
EX8,16583,15203,47.83
EX9,2402,3499,59.3
FY0,105,93,46.97
FY1,14638,16039,52.28
FY2,10777,10067,48.3
FY3,14196,11143,43.98
FY4,19482,17765,47.7
FY5,18755,18836,50.11
FY6,12565,12312,49.49
FY7,9878,11169,53.07
FY8,17888,19869,52.62
GL1,20832,14557,41.13
GL10,9008,5713,38.81
GL11,9904,7039,41.55
GL12,7463,4998,40.11
