outcode,Avg asking rent(p/m),Avg asking rent(1 bed),Avg asking rent(2 beds),Avg asking rent(3 beds),Avg asking rent(4 beds),Avg asking rent(5 beds),avg_gross_yield
BH5,1234.0,939,1350,1890,-,-,4.43
BH6,1533.0,1080,1305,2388,1900,-,3.51
BH7,1320.0,854,945,1573,-,2995,3.37
BH8,1485.0,903,1248,2039,2613,2350,4.24
BH9,1705.0,764,1211,1661,2025,2539,5.37
BL0,1273.0,-,861,1160,1500,2925,4.11
BL1,1011.0,836,886,1115,1875,-,3.98
BL2,880.0,723,823,1040,1329,-,3.82
BL3,791.0,668,819,1048,1600,-,3.82
BL4,1095.0,675,850,1092,1750,575,6.04
BL5,908.0,575,795,1065,1250,-,3.05
BL6,1129.0,655,869,1190,1733,-,3.74
BL7,998.0,667,909,1318,1595,-,2.89
BL8,1088.0,850,923,1431,-,1648,3.62
BL9,1084.0,679,960,1443,1550,1500,4.05
BN1,1930.0,1522,1969,2511,2900,4042,4.39
BN10,1950.0,1425,1521,1767,2000,6500,6.06
BN11,1789.0,1068,1759,2311,2469,3750,5.91
BN12,1332.0,995,1338,1700,2400,2750,3.25
BN13,1706.0,-,1433,1767,2825,-,4.31
BN14,1094.0,-,1483,-,1750,-,2.86
BN15,2075.0,1644,1150,1774,4750,-,6.76
BN16,1578.0,-,1400,1625,3375,-,2.99
BN17,1303.0,933,1267,1450,1781,2250,4.74
BN18,2096.0,-,1495,1703,3400,3750,4.63
BN2,2153.0,1438,2030,2535,2921,3355,4.94
BN20,1411.0,1000,1593,1586,-,-,3.13
BN21,1388.0,1018,1379,1633,3000,-,4.82
BN22,1191.0,745,1282,1650,1740,1800,4.3
BN23,1408.0,875,1364,1685,1800,2100,5.12
BN24,1304.0,795,1213,1650,1650,-,4.24
BN25,1491.0,1088,1310,1663,-,4000,3.97
BN26,1857.0,-,1167,1525,3225,-,3.9
BN27,1413.0,813,1229,1681,2010,3200,3.45
BN3,2080.0,1512,1972,2789,3095,4067,4.27
BN41,2045.0,1000,1675,1725,3100,3000,6.58
BN42,1334.0,-,1250,1925,-,-,2.67
BN43,2487.0,1916,1450,1774,4983,-,6.22
BN44,2050.0,1200,1450,-,3500,-,3.97
BN5,1810.0,2059,-,1600,2500,-,2.93
BN6,2515.0,2481,1945,2012,2883,-,4.71
BN7,2103.0,1150,1435,1975,3139,-,4.02
BN8,2117.0,995,1446,1925,2167,-,3.3
BN9,1043.0,1200,1373,1625,-,-,3.88
BR1,1986.0,1320,1793,2483,3093,4600,3.94
BR2,1885.0,1380,1757,2250,2706,3350,3.18
BR3,1863.0,1427,1854,2225,2938,3300,3.63
BR4,2235.0,-,1705,2298,2633,3500,4.52
BR5,2097.0,1125,1709,2238,2499,2800,4.16
BR6,2235.0,1231,1759,2161,2812,3460,2.92
BR7,3267.0,1400,1708,2594,3872,6000,4.03
BR8,1689.0,1300,1500,1880,2500,2300,4.46
BS1,2137.0,1648,2514,3586,2500,4147,6.44
BS10,1930.0,967,1499,1728,2449,3333,5.64
BS11,1477.0,1083,842,1850,2395,3350,5.36
BS13,1564.0,-,1400,1760,2350,-,5.92
BS14,1568.0,1250,1383,1561,-,2600,5.41
BS15,1733.0,1173,1697,1695,2686,4000,6.35
BS16,2217.0,830,1559,1972,2479,3411,6.78
BS2,1942.0,1551,2243,2457,2538,3190,6.96
BS20,1835.0,1117,1278,1619,1775,4063,5.01
BS21,1140.0,846,1170,-,2750,2600,2.76
BS22,1211.0,790,1048,1333,1525,-,4.16
BS23,982.0,744,1127,1383,1950,-,4.11
BS24,1553.0,-,1213,1498,1783,1650,5.0
BS25,1650.0,-,1225,-,2500,-,3.56
BS26,1240.0,800,825,-,1400,2500,2.35
BS27,1258.0,-,1400,1600,-,-,3.64
BS28,1600.0,-,-,1600,-,-,2.57
BS29,1350.0,750,1150,1425,2000,-,3.73
BS3,2081.0,1558,2007,2025,2700,3325,6.88
BS30,1599.0,1250,1523,1400,2300,-,3.71
BS31,1846.0,1895,1585,2475,-,-,4.21
BS32,1967.0,1950,1971,1619,2364,2750,5.07
BS34,2632.0,1639,1697,1948,2679,3350,8.94
BS35,1692.0,1100,1283,1700,-,-,4.35
BS36,1849.0,-,1500,1791,-,-,4.14
BS37,1404.0,1013,1147,1516,3495,3495,3.58
BS39,2194.0,808,-,2500,2358,3783,4.43
BS4,1955.0,855,1612,1706,2509,3500,6.7
BS40,1822.0,950,1354,1750,1900,2500,2.64
BS41,1950.0,-,1800,-,2100,-,3.58
BS48,2504.0,887,1098,1550,3775,-,5.5
BS49,1205.0,900,1263,1355,-,-,2.72
BS5,2125.0,1006,1658,1867,2595,3188,7.31
BS6,2373.0,1368,2051,2382,2678,4082,4.95
BS7,2530.0,923,1756,2105,2521,3165,6.43
BS8,2624.0,1526,2273,2742,3057,4286,4.81
BS9,2609.0,1550,1556,2128,4067,4163,5.0
CA1,722.0,-,708,-,1300,450,4.39
CA10,1199.0,-,825,963,1800,-,2.84
CA11,1512.0,-,870,1456,950,-,4.23
CA12,1500.0,-,750,2250,-,-,3.5
CA13,1790.0,1720,2285,1483,-,-,6.29
CA14,674.0,508,750,733,-,-,3.38
CA15,795.0,-,-,695,895,-,4.16
CA16,645.0,473,778,725,-,-,1.79
CA17,965.0,-,595,-,1150,-,2.69
CA2,619.0,563,675,763,-,-,3.91
CA20,675.0,-,-,675,-,-,2.95
CA22,,-,-,-,-,-,
CA25,875.0,-,-,688,1250,-,4.59
CA26,575.0,-,575,-,-,-,3.14
CA27,,-,-,-,-,-,
CA28,1155.0,-,710,700,-,-,6.18
CA3,956.0,-,700,886,1225,-,4.37
CA4,1430.0,-,895,-,-,2500,2.87
CA5,1080.0,-,-,1080,-,-,3.23
CA6,559.0,460,592,-,-,-,1.88
CA7,976.0,-,703,908,-,-,4.26
CA8,900.0,-,650,850,1200,-,1.98
CA9,2268.0,1650,-,1630,-,2345,11.76
CB1,2731.0,2474,2990,3116,2849,4476,6.35
CB10,1739.0,975,1250,1445,2408,2950,3.04
CB11,2021.0,1394,2146,1640,2783,2650,3.3
CB2,2807.0,2605,2772,2225,3208,3360,4.7
CB21,1907.0,-,2300,1762,2060,-,3.57
CB22,1851.0,1265,1349,1900,2167,1800,3.28
CB23,1727.0,813,1306,1672,2183,2333,3.89
CB24,1475.0,1006,1256,1373,2039,2950,3.94
CB25,1558.0,1575,1192,1410,1988,2750,4.0
CB3,3507.0,2506,2969,4247,2663,5674,5.77
CB4,2027.0,2204,2348,2237,3103,2700,5.24
CB5,2199.0,1863,2719,2289,4300,5443,4.64
CB6,1439.0,881,1057,1413,2488,1725,4.5
CB7,1309.0,855,1092,1210,1792,2292,3.98
CB8,1568.0,995,1282,1557,2333,2650,3.81
CB9,1608.0,850,983,1160,-,2400,4.65
CF10,1856.0,1303,1856,2988,3951,-,10.5
CF11,1739.0,1284,1434,3310,2853,1933,7.19
CF14,1448.0,899,1209,1693,1810,2167,3.7
CF15,1177.0,450,975,1312,1500,-,3.23
CF23,1652.0,1176,1220,1720,1846,2435,4.21
CF24,1665.0,1111,1445,2359,1915,2417,7.3
CF3,1569.0,1550,1550,1654,1698,-,5.27
CF31,1014.0,950,883,1075,1286,-,4.29
CF32,874.0,543,986,916,1250,-,3.18
CF33,825.0,-,825,-,-,-,3.88
CF34,567.0,-,-,813,-,-,3.46
CF35,1267.0,-,775,1174,2500,-,4.08
CF36,1226.0,618,1163,1650,1475,-,3.62
CF37,1056.0,555,800,927,1304,1654,6.32
CF38,993.0,-,883,874,1800,-,3.98
CF39,760.0,-,713,793,-,-,4.55
CF40,768.0,450,625,774,-,-,6.5
CF41,722.0,-,525,761,-,-,5.9
CF42,700.0,-,650,709,-,-,5.38
CF43,706.0,-,709,700,-,-,8.05
CF44,688.0,650,629,783,850,-,3.49
CF45,891.0,-,-,806,900,-,6.99
CF46,802.0,-,863,780,1200,-,3.23
CF47,845.0,-,708,769,-,-,4.88
CF48,722.0,575,688,811,850,-,3.56
CF5,1497.0,1255,1086,1480,2450,2500,4.54
CF61,1095.0,-,-,1139,875,-,3.46
CF62,1087.0,782,963,1133,2000,-,3.61
CF63,938.0,725,946,1067,-,-,4.82
CF64,1657.0,1354,1401,1969,2219,-,4.11
CF71,1577.0,750,998,2450,2250,3000,2.98
CF72,1261.0,900,1141,1417,1625,-,4.42
CF81,623.0,450,-,795,-,-,4.34
CF82,984.0,-,895,996,-,-,4.57
CF83,1440.0,667,981,952,1478,-,5.28
CH1,1049.0,834,1203,1570,2950,433,4.17
CH2,936.0,594,1001,1308,1500,-,2.78
CH3,1660.0,815,1039,1407,1971,4475,4.15
CH4,1982.0,1050,1132,1365,1790,2400,5.94
CH41,962.0,736,910,866,1400,-,8.25
CH42,796.0,632,685,800,-,-,4.65
CH43,795.0,557,793,1198,1123,-,2.75
CH44,773.0,568,767,1013,983,-,5.19
CH45,853.0,591,794,1032,1700,-,3.95
CH46,1036.0,-,843,983,1500,-,5.23
CH47,1606.0,-,920,1375,2850,-,4.37
CH48,1409.0,785,850,1250,-,-,2.77
CH49,1331.0,-,838,1200,1748,-,5.93
CH5,943.0,605,955,1085,1600,-,4.12
CH6,845.0,-,-,980,-,-,4.03
CH60,1487.0,-,1206,1950,1500,-,3.16
CH61,1150.0,-,950,-,1350,-,3.93
CH62,957.0,537,888,1092,1750,-,3.91
CH63,1290.0,1100,970,1274,1600,-,4.15
CH64,1244.0,719,919,1467,2033,2200,3.31
CH65,892.0,617,975,888,1398,-,5.63
CH66,882.0,646,811,1015,-,-,3.48
CH7,876.0,895,829,962,-,-,2.97
CH8,906.0,850,848,1030,-,-,3.46
CM0,1546.0,882,1083,1550,1950,2533,4.45
CM1,1604.0,1276,1499,2033,2264,3500,4.35
CM11,2383.0,-,-,1650,2500,-,4.04
CM12,1743.0,1438,1698,2315,1795,-,3.1
CM13,2920.0,1363,1778,2457,4000,6538,4.37
CM14,1746.0,1475,1626,2206,2900,-,3.88
CM15,2277.0,1248,1659,2858,3048,5050,4.0
CM16,2801.0,1245,1628,2125,3083,5833,4.18
CM17,2019.0,1217,1449,2000,2600,3395,4.9
CM18,1349.0,1100,-,1698,-,-,4.11
CM19,2035.0,1069,1900,2317,2833,3875,4.28
CM2,1549.0,1160,1554,1726,2454,3544,4.24
CM20,1590.0,1067,1529,1925,4600,-,4.88
CM21,1669.0,1133,1338,2238,-,-,3.7
CM22,2008.0,-,-,1580,2300,3275,3.52
CM23,1644.0,1350,1485,1840,2400,3500,3.94
CM24,1270.0,-,1400,1473,2200,-,2.4
CM3,1987.0,965,1250,1891,2512,2883,3.67
CM4,1669.0,1007,1384,4067,2771,3550,1.93
CM5,2983.0,950,1700,3000,4000,4500,4.98
CM6,1742.0,880,1432,1724,2875,4775,3.1
CM7,1450.0,925,1186,1632,2019,3267,3.92
CM77,1520.0,838,1223,1567,2327,-,3.26
CM8,1171.0,889,1138,1483,3000,-,2.45
CM9,1812.0,1040,1050,1761,1975,2800,4.39
CO1,1116.0,955,1300,1293,1850,-,5.0
CO10,1367.0,843,991,1276,3074,2000,3.45
CO11,1212.0,763,1050,1623,2500,-,3.04
CO12,1128.0,744,1068,1317,1925,-,4.2
CO13,1425.0,-,1100,1466,-,-,4.39
CO14,1513.0,1253,1132,1691,1967,1875,6.19
CO15,1165.0,825,1071,1349,1563,1750,5.04
CO16,1502.0,850,1169,1461,1883,3100,5.14
CO2,1327.0,900,1243,1580,1912,1950,4.87
CO3,1362.0,926,1150,1633,1932,2200,3.72
CO4,1555.0,740,1182,1475,1733,2054,4.56
CO5,1242.0,700,1150,1788,-,-,3.02
CO6,1848.0,923,1255,1490,1963,4625,3.79
CO7,1610.0,1029,1028,1487,2113,2028,3.68
CO8,,-,-,-,-,-,
CO9,1714.0,1532,1569,1420,-,3750,4.1
CR0,1826.0,1453,1817,2490,3148,3865,5.38
CR2,1709.0,1254,1808,2341,2733,3498,4.05
CR3,1981.0,1300,1602,2443,-,3750,3.66
CR4,1977.0,1661,1823,2623,2953,4133,5.56
CR5,2698.0,1397,1647,2171,2842,3995,4.3
CR6,2431.0,-,1775,2100,-,3417,5.13
CR7,1687.0,1091,1670,2496,2688,3500,5.1
CR8,1918.0,1419,1727,2182,3058,3550,3.73
CT1,1083.0,761,1378,1390,1103,1671,3.87
CT10,1193.0,927,1242,1492,1925,-,2.72
