outcode,Total households,One Person household,Single family Household,Other household type
CF42,5771,2019,3531,221
CF43,5192,1857,3114,221
CF44,18394,5798,11908,688
CF45,8329,2666,5348,315
CF46,6620,1908,4434,278
CF47,10198,3440,6322,436
CF48,11378,3664,7262,452
CF5,27439,8513,17480,1446
CF6,44861,14563,28282,2016
CF61,680,238,425,17
CF62,1974,468,1426,80
CF63,577,77,475,25
CF64,404,117,276,11
CF7,13367,3739,9116,512
CF72,1242,225,987,30
CF8,32835,9945,21565,1325
CF82,343,45,285,13
CF83,5857,1650,3991,216
CH1,18314,6770,10041,1503
CH2,13608,4298,8686,624
CH25,218,142,71,5
CH26,140,34,105,1
CH27,267,87,167,13
CH28,293,117,164,12
CH29,192,98,91,3
CH3,15469,4309,10597,563
CH30,181,57,118,6
CH31,177,80,94,3
CH32,177,72,91,14
CH33,157,69,83,5
CH34,388,103,267,18
CH4,15348,4429,10340,579
CH41,11473,5053,5918,502
CH42,14794,5603,8485,706
CH43,15347,5610,9099,638
CH44,13431,4976,7798,657
CH45,13045,4816,7585,644
CH46,10634,3517,6639,478
CH47,4570,1442,2974,154
CH48,6831,2206,4400,225
CH49,13236,4399,8383,454
CH5,18051,5230,11912,909
CH6,8037,2383,5254,400
CH60,6012,1734,4118,160
CH61,6805,2067,4522,216
CH62,13700,4244,8920,536
CH63,11976,3385,8214,377
CH64,8192,2536,5323,333
CH65,13213,4270,8337,606
CH66,14433,4229,9707,497
CH7,22569,6587,15203,779
CH8,8308,2532,5450,326
CM0,7615,2104,5111,400
CM1,31262,9111,20450,1701
CM11,8961,2121,6408,432
CM12,7939,2190,5466,283
CM13,11779,3440,7829,510
CM14,9353,3066,5836,451
CM15,9248,2311,6515,422
CM16,10430,2856,7041,533
CM17,10723,2736,7388,599
CM18,10826,3107,6975,744
CM19,8786,2429,5730,627
CM2,24818,7295,16352,1171
CM20,10726,3325,6563,838
CM21,4571,1389,3018,164
CM22,7690,1802,5443,445
CM23,17224,4401,11750,1073
CM24,3026,746,2117,163
CM3,22938,5570,16310,1058
CM4,3863,1135,2572,156
CM5,4188,1077,2908,203
CM6,11004,2745,7776,483
CM7,27383,7295,18670,1418
CM8,15091,4297,10102,692
CM9,14497,4014,9858,625
CO1,10675,4042,5810,823
CO10,23214,6928,15329,957
CO11,6134,1832,4058,244
CO12,10476,3461,6531,484
CO13,6511,2151,4103,257
CO14,3170,1243,1793,134
CO15,22099,8548,12389,1162
CO16,10800,3488,6695,617
CO2,15801,4334,10276,1191
CO3,13312,3686,8966,660
CO4,20717,5745,13456,1516
CO5,12482,3407,8553,522
CO6,11580,3040,8071,469
CO7,14784,4193,9903,688
CO8,615,173,424,18
CO9,11265,3167,7631,467
CR0,70697,20541,43160,6996
CR2,32199,8062,21570,2567
CR3,28491,7342,19571,1578
CR4,40414,10287,23784,6343
CR5,553,101,411,41
CR6,112,22,79,11
CR7,1224,359,704,161
CR8,476,142,298,36
CR9,139,26,98,15
CT1,12944,4176,6815,1953
CT10,12207,3764,7813,630
CT11,13659,5066,7732,861
CT12,7765,2141,5124,500
CT13,4512,1397,2896,219
CT14,16206,5435,10020,751
CT15,6370,1568,4409,393
CT16,10086,3535,5963,588
CT17,7669,2307,4899,463
CT18,7281,1928,4943,410
CT19,12542,3790,7892,860
CT2,12449,3367,7215,1867
CT20,10360,4461,5370,529
CT21,7692,2656,4755,281
CT3,7538,1723,5341,474
CT4,5684,1399,3936,349
CT5,14974,4595,9616,763
CT6,17255,5435,10879,941
CT7,6086,2131,3664,291
CT8,3851,1440,2209,202
CT9,18581,6291,10995,1295
CV1,14028,5610,5978,2440
CV10,24811,6959,16593,1259
CV11,17085,4931,11140,1014
CV12,14471,4320,9472,679
CV13,4751,1189,3369,193
CV2,28266,8425,17363,2478
CV21,18836,5783,11605,1448
CV22,14838,3849,10280,709
CV23,13713,3165,9934,614
CV3,28277,8156,18012,2109
CV31,15115,4549,8739,1827
CV32,14351,4697,8665,989
CV33,8981,2343,6314,324
CV34,15205,4758,9685,762
CV35,11311,2917,7962,432
CV36,5452,1694,3541,217
CV37,19090,5942,12226,922
CV4,13284,4164,7656,1464
CV5,19904,6055,12490,1359
CV6,34102,9329,21707,3066
CV7,9262,2518,6250,494
CV8,12782,3840,8476,466
CV9,8910,2639,5865,406
CW1,20446,6210,13196,1040
CW10,7591,2154,5174,263
CW11,12312,3669,8303,340
CW12,15313,4583,10182,548
CW2,18451,5369,11990,1092
CW3,5064,1423,3476,165
CW4,4370,1101,3153,116
CW5,13947,4395,9040,512
CW6,5764,1430,4148,186
CW7,14419,3953,9733,733
CW8,17549,4996,11931,622
CW9,14947,4275,10101,571
DA1,26749,7143,17682,1924
DA10,4550,1151,3094,305
DA11,16703,4678,10523,1502
DA12,18622,5089,12096,1437
DA13,5937,1337,4257,343
DA14,11038,3591,6679,768
DA15,11460,2732,7989,739
DA16,14429,3195,9867,1367
DA17,8679,2339,5464,876
DA18,2223,723,1252,248
DA2,9374,2326,6503,545
DA3,7250,1827,5074,349
DA4,3439,968,2320,151
DA5,8025,1855,5702,468
DA6,4449,1242,2891,316
DA7,13169,3173,9080,916
DA8,12980,3400,8446,1134
DA9,5798,1735,3743,320
DE1,12136,5832,5204,1100
DE11,20683,5925,13991,767
DE12,9549,2516,6670,363
DE13,19927,5340,13814,773
DE14,12935,4029,7706,1200
DE15,10080,3043,6569,468
DE2,45434,13576,29400,2458
DE21,957,201,705,51
DE22,20433,6354,12605,1474
DE23,21368,5371,13532,2465
DE24,2019,477,1436,106
DE3,7817,2102,5423,292
DE4,20858,6561,13643,654
DE5,35139,10812,23194,1133
DE55,13983,4242,9234,507
DE56,2503,687,1745,71
DE6,18568,5181,12772,615
DE65,2081,507,1515,59
DE7,52252,15759,34349,2144
DE72,121,15,106,0
DE73,1539,250,1214,75
DE74,249,47,199,3
DE75,112,8,100,4
DH1,21317,6799,12278,2240
DH2,15385,5234,9760,391
DH3,11623,3631,7652,340
DH4,15349,4472,10419,458
DH5,9147,2967,5920,260
DH6,15898,5362,10060,476
DH7,19206,6713,11877,616
DH8,18175,5926,11682,567
