outcode,1 person,2 people,3 people,4 people,5 person plus
IP33,4161,3849,1213,964,340
IP4,4942,5056,2306,2141,883
IP5,2044,2611,1162,1148,375
IP6,2157,3026,982,899,309
IP7,1786,2680,973,795,364
IP8,1209,1773,627,512,187
IP9,1311,2048,682,620,205
KT1,3563,3487,1933,1520,747
KT10,2007,2897,1588,1918,677
KT11,1747,2126,1134,1179,460
KT12,4954,5387,2963,2835,1014
KT13,2910,2861,1420,1547,433
KT14,1570,1776,959,900,312
KT15,3416,3994,2126,1931,773
KT16,2624,2883,1315,1079,489
KT17,2863,3887,2112,2151,772
KT18,2241,2644,1371,1339,502
KT19,3170,4325,2749,2727,1156
KT2,3328,3877,2396,2433,923
KT20,2171,2831,1292,1275,520
KT21,1441,1939,919,1027,384
KT22,2922,3494,1648,1432,525
KT23,1348,1618,666,642,229
KT24,686,1221,505,573,203
KT3,3474,4157,2971,2890,1481
KT4,2634,3485,2074,2020,866
KT5,2564,2653,1431,1464,654
KT6,3980,4427,2233,1897,660
KT7,837,1072,661,711,224
KT8,2363,2807,1394,1428,504
KT9,1811,2284,1568,1367,652
L1,3355,2306,454,174,150
L10,2120,2349,1313,941,385
L11,4005,3936,2843,1832,1027
L12,4036,4203,2351,1932,842
L13,5620,4277,2459,1576,864
L14,3827,3692,2297,1607,679
L15,4215,3682,2045,1614,1448
L16,1253,1907,1102,1018,370
L17,5161,3746,1390,997,473
L18,2880,3337,1747,1542,635
L19,3250,3140,1699,1244,578
L2,971,662,104,16,16
L20,6663,4857,2955,1838,1086
L21,3817,3221,1785,1185,609
L22,2506,2045,1063,756,362
L23,3823,4249,2061,1757,649
L24,2445,2361,1523,889,467
L25,5592,4869,2259,1708,728
L26,1752,1923,1149,854,382
L27,912,759,508,326,167
L28,1065,813,460,251,149
L3,3154,2414,640,338,186
L30,2979,2670,1642,1055,499
L31,3777,4687,2193,1899,682
L32,3007,2839,1811,1190,552
L33,2177,2228,1495,1002,529
L34,2530,2447,1221,860,339
L35,3901,4477,2401,1684,715
L36,5047,5151,3123,2071,948
L37,2864,3809,1463,1383,508
L38,248,451,151,114,32
L39,3538,4379,1826,1641,666
L4,7267,5354,3252,1971,1119
L40,2255,3312,1327,1145,439
L5,2514,1463,759,414,282
L6,3958,2606,1447,1059,705
L67,49,40,4,6,1
L68,60,75,42,46,13
L69,1359,641,248,153,131
L7,2652,1605,912,708,673
L70,24,11,13,2,4
L8,4858,3211,1544,1133,1010
L9,4083,3588,2075,1476,599
LA1,7467,7532,3614,2799,1486
LA10,520,723,199,154,71
LA11,1758,2429,606,471,145
LA12,3046,3718,1297,1016,317
LA13,2864,3424,1510,1176,483
LA14,6735,5442,2250,1549,652
LA15,1188,1209,477,366,146
LA16,417,553,206,163,64
LA17,170,235,59,59,37
LA18,1251,1397,492,391,167
LA19,116,123,47,36,19
LA2,2749,3956,1373,1103,467
LA20,135,222,72,48,29
LA21,209,270,81,54,23
LA22,777,878,271,165,81
LA23,1252,1423,470,380,127
LA3,3753,3866,1696,1261,618
LA4,4125,3957,1544,1104,543
LA5,2387,3232,997,819,292
LA6,1571,2163,648,580,205
LA7,623,890,267,222,90
LA8,1047,1626,485,446,169
LA9,4743,5241,1993,1600,512
LD1,2111,2328,680,531,307
LD2,863,1012,327,252,126
LD3,2764,3075,1184,910,390
LD4,121,148,42,25,20
LD5,134,173,35,27,15
LD6,441,464,162,110,67
LD7,717,872,268,195,110
LD8,528,686,197,130,69
LE1,3856,2384,889,627,627
LE10,6905,8920,3821,2868,1009
LE11,7351,8018,3864,3253,1975
LE12,8258,11472,4918,4048,1351
LE13,3744,4732,1919,1480,630
LE14,2083,3465,1175,986,403
LE15,4238,6047,2100,1761,659
LE16,4655,6518,2471,2195,808
LE17,2323,3791,1504,1362,584
LE18,4309,4989,2346,1933,910
LE19,2249,2826,1374,1183,417
LE2,13013,12890,7276,6588,5720
LE3,11848,12657,7450,6300,4245
LE4,9412,10080,6754,6388,5467
LE5,6231,6395,4978,5237,6442
LE55,59,83,44,30,9
LE6,10191,13874,5844,4723,1847
LE65,75,112,60,68,19
LE67,560,916,453,346,125
LE7,5192,7499,3365,2880,1100
LE8,4472,6207,2760,2463,885
LE9,6226,9108,3816,3111,1259
LL11,6134,7041,3363,2368,988
LL12,3203,4163,1862,1424,474
LL13,4148,4601,2274,1602,757
LL14,4523,5025,2480,1782,791
LL15,1669,1851,693,590,287
LL16,2126,2441,1031,781,386
LL17,812,960,399,299,119
LL18,6164,6203,2734,1908,1152
LL19,2918,3303,1258,869,457
LL20,1030,1231,458,346,118
LL21,851,1081,357,324,178
LL22,2893,3530,1225,817,399
LL23,604,534,226,170,120
LL24,320,392,128,117,79
LL25,65,83,28,24,7
LL26,592,661,295,227,96
LL27,81,110,41,33,15
LL28,2439,2606,858,589,301
LL29,2755,2630,1246,880,478
LL30,4071,3836,1323,927,391
LL31,1348,1460,705,443,192
LL32,868,1118,415,285,133
LL33,734,687,329,209,100
LL34,707,724,282,185,74
LL35,227,199,42,31,14
LL36,800,818,197,147,83
LL37,125,135,42,24,18
LL38,167,141,33,9,13
LL39,63,52,13,12,8
LL40,679,775,215,180,102
LL41,1104,892,356,275,175
LL42,423,351,123,82,60
LL43,87,102,28,11,9
LL44,123,167,40,21,17
LL45,185,177,29,44,15
LL46,387,376,86,55,38
LL48,464,466,162,123,79
LL49,652,590,212,175,92
LL51,144,187,80,61,46
LL52,478,484,147,112,80
LL53,2354,2390,932,749,445
LL54,1544,1792,759,614,352
LL55,3027,3017,1465,1116,532
LL56,377,366,147,105,54
LL57,3167,3045,1603,1246,711
LL58,632,761,221,150,76
LL59,905,833,329,276,115
LL60,403,513,235,168,76
LL61,775,890,388,263,108
LL62,350,444,161,138,76
LL63,243,279,104,69,36
LL64,103,100,28,32,14
LL65,3551,3682,1541,1200,664
LL66,272,361,111,95,44
LL67,164,188,58,37,16
LL68,727,891,336,212,95
LL69,56,38,33,11,7
LL70,49,74,18,8,4
LL71,224,321,148,90,51
LL72,98,121,43,16,12
LL73,53,93,25,28,13
LL74,449,513,127,77,32
LL75,210,228,92,58,32
LL76,45,67,23,26,11
LL77,879,831,412,349,166
LN1,4939,5472,1984,1592,775
LN10,974,1575,422,292,137
LN11,4323,5779,1937,1350,641
LN12,2279,3216,710,381,245
LN13,1052,1680,507,290,185
LN2,5688,6604,2816,2237,1099
LN3,2025,3170,1055,776,391
LN4,4782,7341,2683,2099,890
LN5,4445,5244,2278,1701,760
LN6,7369,10046,4297,3199,1349
LN7,906,1257,416,335,146
LN8,1263,1473,513,342,153
LN9,1410,1802,546,379,167
LS1,3128,2216,463,238,153
LS10,5315,5456,2843,2078,1150
LS11,6020,4398,2203,1759,1904
LS12,7222,6160,2993,2144,1155
LS13,5783,5844,2750,2010,887
LS14,5695,5499,2964,2161,1212
LS15,4539,5638,2419,1904,706
LS16,5691,6085,2574,2346,889
LS17,5505,6057,2849,2814,1311
LS18,2671,3279,1433,1376,439
LS19,2719,3202,1353,1178,353
LS2,1911,1151,394,199,190
LS20,1410,2056,910,868,248
LS21,2639,3047,1158,1019,343
LS22,2059,3054,1012,941,277
LS23,1178,1538,537,582,180
LS24,1613,2082,929,811,250
LS25,5113,7555,3103,2604,803
LS26,3904,5107,2245,1883,607
LS27,5653,6177,2598,1905,636
LS28,5267,5761,2615,2231,818
LS29,4428,5286,1986,1943,579
LS3,294,188,109,61,104
LS4,1468,1434,588,365,307
LS5,1013,1115,438,321,180
LS6,5625,4798,2411,2114,2330
LS7,4905,3824,1857,1381,1164
LS8,5613,4958,2829,2731,2671
LS9,6440,4977,2509,1768,1488
LU1,5913,4867,3075,2451,2567
LU2,6654,7645,4330,3780,2492
LU3,5397,5802,3679,3337,3946
LU4,4332,4028,2943,2626,3997
LU5,4650,5564,3203,2631,1354
LU6,3565,4852,2242,1893,820
LU7,6563,9280,4384,3925,1227
M1,3668,3298,500,135,76
M10,7232,5726,3496,2482,2066
M11,2997,2589,1674,1272,1206
M12,2444,1726,1216,1160,1667
M13,2203,1526,985,957,1549
M14,5185,4233,2672,2290,3290
M15,4457,4112,1244,615,491
M16,5106,3764,2017,1616,1881
M17,286,375,174,105,39
M18,3051,2429,1738,1356,1226
M19,4026,3833,2268,1850,2060
M2,103,71,11,2,0
M20,6992,7050,2896,2380,1475
M21,3961,3759,1850,1517,846
M22,5898,5467,3503,2504,1514
M23,4984,4222,2571,1799,946
M24,7328,7257,4033,2821,1525
M25,6993,7269,3657,2797,2065
M26,4950,4773,2585,1813,876
M27,5915,6398,3374,2393,1069
M28,7285,8254,4362,3344,1556
M29,6156,6981,3366,2489,985
M3,3967,4018,779,232,131
M30,9153,8176,4240,3029,1638
M31,6031,6891,3570,3012,1193
M32,3499,3421,1903,1494,992
M33,7571,7771,4282,4136,1509
M34,7151,7297,3565,2529,1103
M35,6034,6390,3416,2310,1073
M4,3355,4389,616,141,48
M40,111,107,96,81,69
M41,66,45,12,1,1
M43,64,114,45,39,10
M44,113,115,107,75,32
M46,139,172,98,94,30
M5,4220,4443,1781,924,560
M50,862,745,173,34,8
M6,4802,3985,2098,1380,856
M7,4091,2953,1656,1250,2205
M8,2770,1920,1407,1417,2616
M9,5386,4239,2675,2032,1707
ME1,4579,5091,2497,1991,948
ME10,5448,7006,3764,3250,1738
ME11,542,635,383,247,200
ME12,4593,5732,2644,2033,1359
ME13,3614,4766,1958,1624,725
ME14,4593,5587,2592,2367,940
ME15,5702,7122,3836,3355,1752
ME16,3732,4545,2415,2006,863
ME17,2416,4079,1596,1472,695
ME18,841,1259,488,453,191
ME19,2325,3485,1939,1912,711
ME2,4140,5410,3086,2652,1393
ME20,2162,3136,1466,1312,498
ME3,2724,4132,2087,1838,899
ME4,4217,3767,2299,1946,1275
ME5,5316,6868,3779,3344,1588
ME6,1307,1562,796,641,318
ME7,5537,5895,3637,2916,1761
ME8,5450,7143,3474,3107,1358
ME9,1736,3039,1446,1253,644
MK1,1344,1451,746,595,493
MK10,1831,2257,1851,1963,948
MK11,1506,1753,788,664,342
MK12,1948,2323,1193,940,683
MK13,1883,2200,1139,947,628
MK14,2104,2479,1341,1077,736
MK15,911,1117,479,343,158
MK16,2201,3202,1376,1280,435
MK17,2293,3492,1473,1349,485
MK18,3506,5227,2319,2054,792
MK19,1187,1918,893,798,283
MK2,1360,1641,906,737,737
MK3,2458,3504,1908,1444,783
MK4,2093,2644,1837,1905,714
MK40,6489,5277,2586,2011,1508
MK41,4858,5871,2973,2602,1191
MK42,5716,6495,3967,3327,2060
MK43,3723,5913,2929,2725,1092
MK44,1688,2995,1118,915,403
MK45,5047,7588,3448,3050,1041
MK46,1078,1436,587,527,169
MK5,1533,1727,1165,1066,449
MK6,2847,2713,1766,1448,1259
MK7,1548,1889,1154,886,311
MK8,1128,1389,927,867,344
MK9,877,678,235,117,58
N1,14851,14222,6272,3912,2253
N10,3414,3574,2027,1977,805
N11,3797,3882,2701,2165,1192
N12,3740,3810,2399,2037,1054
N13,3559,3936,2615,2279,1469
N14,2496,3006,2084,2021,1024
N15,6346,5483,3639,2564,2590
N16,7271,6819,3848,2882,2901
N17,7289,6648,4631,3519,3152
N18,2886,2791,2320,2001,1908
N19,6359,5776,2789,1916,1045
N1C,205,141,82,57,61
N2,2964,3071,1796,1636,845
N20,1742,2057,1201,1161,510
N21,2107,2312,1497,1434,722
N22,4990,4625,2852,2257,1507
N3,2949,3225,1885,1500,855
N4,7668,7933,3662,2508,1476
N5,3563,3636,1671,1038,588
N6,2943,2787,1199,830,363
N7,7495,6778,3301,1975,1326
N8,5301,5388,2531,1940,872
N9,4567,4012,3242,2784,2627
NE1,3230,2076,582,347,270
NE10,5914,5939,2735,1815,692
NE11,2414,2729,1185,815,330
NE12,5810,6436,2787,2006,639
NE13,2999,3540,1642,1380,448
NE15,5347,5568,2592,1842,805
NE16,3460,4149,1729,1286,347
NE17,901,853,330,203,87
NE18,109,151,67,56,27
NE19,515,886,250,168,75
NE2,3606,3330,1300,1016,1298
NE20,1206,1875,762,640,272
NE21,2693,3019,1282,941,300
NE22,3062,3472,1400,944,374
NE23,5830,6688,2864,2073,646
NE24,6261,6263,2860,1906,811
NE25,4614,5242,2242,1881,471
NE26,2453,2597,1099,1124,332
NE27,1900,2339,1280,914,318
NE28,7946,7310,3412,2231,831
NE29,6993,5676,2597,1661,717
NE3,7009,7540,3138,2700,1125
NE30,3400,3387,1187,1041,255
NE31,3691,3667,1931,1287,443
NE32,3676,3538,1736,1072,472
NE33,6654,4476,1736,1042,623
NE34,7411,7610,4029,2452,900
NE35,1006,1098,544,363,123
NE36,902,1082,489,385,108
NE37,3100,3416,1576,1096,410
NE38,3780,4916,2165,1584,570
NE39,1129,1366,573,378,161
NE4,4315,3114,2124,1796,2380
NE40,2085,2569,1086,732,210
NE41,248,317,119,105,30
NE42,1725,1949,854,656,212
NE43,556,853,272,246,92
NE44,181,314,78,77,38
NE45,578,603,162,139,36
NE46,2437,2759,910,734,224
NE47,938,1327,423,347,126
NE48,399,577,164,130,45
NE49,609,595,228,130,64
NE5,7069,6777,3478,2485,1144
NE6,8724,7275,3480,2136,1266
NE61,4943,6470,2286,1737,598
NE62,1283,1543,628,359,129
NE63,4644,4446,2003,1369,516
NE64,977,904,378,162,90
NE65,2851,4120,1219,817,327
NE66,2785,3269,1002,730,287
NE67,159,237,42,29,11
NE68,326,365,84,61,22
NE69,75,79,16,7,3
NE7,1610,2113,1111,803,321
NE70,282,441,113,79,35
NE71,533,585,141,101,33
NE8,5938,4395,1787,1037,917
NE9,5286,5153,2483,1844,647
NG1,3491,2337,575,361,430
NG10,6770,7806,3352,2478,876
NG11,5124,5921,2752,2149,1012
NG12,4564,6477,2491,2290,723
NG13,2612,3850,1428,1259,413
NG14,2357,3519,1331,1169,353
NG15,5641,7541,3362,2549,1021
NG16,8096,10691,4337,3147,1329
NG17,9692,11695,5472,3837,1831
NG18,6984,7620,3621,2636,1119
NG19,6273,8196,3643,2545,1074
NG2,7918,7457,3529,3284,1880
NG20,3434,4318,2032,1468,737
NG21,2885,3873,1762,1320,530
NG22,3610,5029,1957,1504,629
NG23,1950,3402,1138,867,354
NG24,6706,7511,3251,2328,1039
NG25,1128,1383,449,409,159
NG3,7997,7269,3485,2650,1539
NG31,6402,7733,3394,2592,1116
NG32,1339,2313,651,572,261
NG33,1118,1829,630,458,214
NG34,5509,7406,2827,2082,872
NG4,5632,6237,2911,2020,726
NG5,12282,12569,5993,4471,2374
NG6,5590,5420,2631,1766,1084
NG7,6007,4944,2627,2179,3509
NG8,6663,7204,4141,3595,2750
NG9,9571,11352,4705,3696,1437
NN1,5719,4698,2462,1746,1160
NN10,5079,6283,2946,2274,1018
NN11,4876,6812,2996,2339,1059
NN12,2771,4551,1815,1651,542
NN13,2374,3456,1597,1373,489
NN14,5310,8124,3254,2760,1189
NN15,4832,6280,3066,2655,1127
NN16,4028,3890,2123,1583,802
NN17,3641,4960,2607,1916,934
NN18,3408,4706,3018,2450,1376
NN2,5092,5828,2983,2284,1209
NN29,1471,2045,804,672,253
NN3,7764,9500,5266,4389,2797
NN4,4539,6571,3946,3710,1629
NN5,5372,5966,3070,2576,1502
NN6,3798,6014,2419,2127,783
NN7,3024,4681,1884,1595,569
NN8,6460,7273,3996,3136,1734
NN9,3292,4491,1854,1441,644
NP1,7596,8659,4183,3123,1311
NP10,747,1070,623,584,196
NP11,75,131,81,79,25
NP12,3810,4826,2428,1749,680
NP13,3018,3044,1444,889,368
NP15,1257,2077,653,500,233
NP16,2836,3772,1473,1227,430
NP18,2100,2864,1290,1018,422
NP19,6931,7284,3942,2775,1920
NP2,3922,3881,1945,1254,501
NP20,7641,7094,3617,2623,1644
NP23,4665,4865,2494,1491,652
NP25,2091,2474,911,737,324
NP26,2626,3809,1650,1324,484
NP3,49,67,26,17,4
NP4,6223,7352,3398,2431,1033
NP44,6234,7012,3562,2394,1086
NP7,3802,4421,1717,1230,500
NP8,592,870,272,206,97
NR1,7496,5388,1744,1084,494
NR10,2971,4505,1763,1408,543
NR11,2838,3991,1241,935,390
NR12,3187,4451,1257,877,411
NR13,3384,5512,1925,1687,588
NR14,3218,4917,1814,1586,523
NR15,1826,2898,1046,939,357
NR16,1286,2219,817,660,259
NR17,1959,2977,1149,939,381
NR18,2596,3293,1334,1232,423
NR19,2784,3613,1404,1101,499
NR2,5937,4585,1862,1306,490
NR20,2234,3719,1183,1023,486
NR21,2443,3132,1009,735,337
NR22,128,100,30,19,16
NR23,614,666,158,119,65
NR24,628,818,254,209,74
NR25,1523,1782,373,271,134
NR26,1338,1700,412,283,139
NR27,2233,2299,615,375,163
NR28,2516,2917,937,707,298
NR29,2647,4182,1323,961,459
NR3,6132,5141,2147,1494,744
NR30,5298,4807,2032,1261,884
NR31,7042,8212,3464,2411,1194
NR32,6091,6528,2565,1919,1003
NR33,6058,6692,2467,1910,897
NR34,3043,3878,1327,989,450
NR35,1461,1860,614,470,206
NR4,2856,3274,1465,1342,680
NR5,3681,4181,2147,1799,1160
NR6,3035,3938,1507,1260,423
NR7,4364,5276,2055,1674,596
NR8,2388,3384,1417,1287,446
NR9,1971,3141,1108,947,371
NW1,10722,8239,3935,2552,2058
NW10,12458,10097,6937,5319,4821
NW11,4498,3814,1958,1606,1823
NW2,8215,7141,4401,3219,3099
NW3,9156,7544,3381,2658,1374
NW4,3675,3519,2247,1692,1702
NW5,3582,2990,1591,1154,770
NW6,10523,9074,4196,3036,1855
NW7,2456,2770,1850,1710,1069
NW8,4940,3665,1835,1429,1180
NW9,6561,6815,4771,3834,3752
OL1,3630,2992,1952,1509,1675
OL10,4090,4045,2218,1500,752
OL11,5986,5897,3243,2581,2526
OL12,6072,5926,2990,2260,1967
OL13,2222,2353,1167,880,440
OL14,2541,2555,1064,724,368
OL15,2017,2503,1062,806,297
OL16,3477,3667,2110,1677,1677
OL2,5731,6193,2974,1982,852
OL3,2091,2527,1081,923,270
OL4,4549,5192,2630,2232,2318
OL5,1892,1831,837,666,227
OL6,4365,4038,2305,1570,1092
OL7,2348,1964,1052,740,619
OL8,3906,3764,2500,2013,3056
OL9,4110,3691,2158,1787,1981
OX1,2603,2916,1096,1059,437
OX10,3267,4431,1932,1828,725
OX11,4565,6651,3466,2859,1136
OX12,3625,4954,2058,1710,697
OX13,1575,2599,1195,1016,455
OX14,5213,6544,2951,2502,916
OX15,2356,3746,1504,1352,517
OX16,6414,7179,3734,2859,1470
OX17,1534,2621,1008,886,316
OX18,2761,4192,1979,1624,649
OX2,4803,5365,2398,2028,996
OX20,905,1120,462,400,136
OX25,1221,2130,1016,921,331
OX26,3614,5203,2832,2304,939
OX27,637,1025,467,392,186
OX28,3889,4600,2014,1617,680
OX29,2506,3997,1650,1437,536
OX3,4753,5530,2953,2630,1806
OX33,808,1174,461,420,165
OX39,761,1328,611,532,192
OX4,6421,6921,3873,3111,3083
OX44,782,1286,489,455,181
OX49,542,705,257,267,99
OX5,2692,3591,1603,1361,550
OX7,2832,3554,1430,1118,455
OX9,1688,2382,1083,953,362
PE1,6186,5704,3459,2707,3304
PE10,2946,4201,1765,1500,538
PE11,5506,7656,3434,2514,1178
PE12,5100,7697,2725,1965,1010
PE13,4889,6232,2755,1854,1058
PE14,2396,3891,1549,1163,636
PE15,3867,5290,2020,1564,735
PE16,1468,1810,732,598,264
PE17,7725,10765,4150,3444,1342
PE18,6569,8505,3667,3137,1309
PE19,5220,6471,2870,2369,871
PE2,6458,7350,3941,3073,1670
PE20,1823,2741,1037,781,448
PE21,5470,6641,3346,2618,1307
PE22,1700,2957,941,671,391
PE23,1094,1663,545,346,190
PE24,1627,2415,702,411,236
PE25,3741,4000,1417,953,455
PE27,18,40,22,15,9
PE28,180,304,191,167,83
PE29,138,177,143,93,39
PE3,3465,3880,2103,1806,1447
PE30,6452,7022,3456,2582,1236
PE31,3178,4301,1058,718,339
PE32,1800,2956,992,735,355
PE33,1529,2664,958,774,336
PE34,1323,2256,852,657,347
PE36,1113,1202,248,126,78
PE37,1656,2256,691,457,222
PE38,2219,2723,910,699,310
PE4,3928,4537,2193,1500,740
PE5,139,238,114,64,25
PE6,4178,6655,2612,2214,846
PE7,4880,6808,3457,2833,1218
PE8,1972,2854,1078,942,334
PE9,4437,5300,1975,1639,578
PL1,7100,4556,1706,1113,673
PL10,570,769,227,164,76
PL11,1504,1754,611,481,181
PL12,2845,4035,1472,1132,460
PL13,1616,2140,635,436,205
PL14,3339,4369,1519,1147,551
PL15,2740,3913,1376,1064,586
PL16,111,148,58,48,21
PL17,1299,1850,598,440,224
PL18,667,1002,335,234,115
PL19,2277,2879,930,744,275
PL2,4608,4946,2316,1686,810
PL20,1586,2409,737,575,291
PL21,2227,3494,1431,1230,455
PL22,587,778,243,196,98
PL23,523,658,194,126,66
PL24,1434,1901,717,533,258
PL25,4017,4864,1833,1502,701
PL26,3409,4796,1890,1447,714
PL27,1801,2100,772,667,305
PL28,565,717,266,198,88
PL29,257,284,84,75,38
PL3,3802,4657,2144,1651,691
PL30,1117,1899,599,464,262
PL31,2025,2233,1041,771,426
PL32,478,702,244,210,125
PL33,289,341,117,99,57
PL34,250,306,66,58,28
PL35,129,168,30,20,12
PL4,4854,3891,1690,1143,994
PL5,6042,6779,3360,2366,1165
PL6,4795,6825,2925,2185,843
PL7,3666,5304,2270,1855,690
PL8,643,979,302,269,113
PL9,3514,4984,1868,1619,583
PO1,5229,4194,2063,1434,949
PO10,2792,3515,1204,1048,391
PO11,2718,3469,1014,698,296
PO12,7141,7688,2989,2167,974
PO13,4387,5491,2451,1912,1046
PO14,4266,6275,2437,2005,736
PO15,2294,3682,1730,1457,489
PO16,3970,5399,2048,1789,546
PO17,997,1418,479,408,196
PO18,2081,2915,1022,853,387
PO19,5266,5192,1978,1568,690
PO2,5118,5625,3032,2413,1335
PO20,4519,6113,2071,1635,746
PO21,6603,7537,2746,2156,988
PO22,3760,5021,1867,1500,669
PO3,2122,2650,1485,1174,541
PO30,4501,5363,2085,1539,765
PO31,2217,2386,895,735,312
PO32,1329,1537,556,407,200
PO33,5472,5358,1980,1286,646
PO34,274,429,108,67,20
PO35,562,725,176,107,53
PO36,2737,3205,1034,692,386
PO37,1608,1610,479,342,162
PO38,2058,2267,645,425,242
PO39,562,736,139,102,56
PO4,5863,6036,2948,2180,1101
PO40,853,1007,257,152,83
PO41,313,378,74,45,27
PO5,4982,3649,1321,990,815
PO6,4385,5770,3102,2599,1296
PO7,5408,7055,3014,2420,1051
PO8,3693,5689,2342,2033,833
PO9,5953,7282,3432,2732,1497
PR0,82,48,16,13,21
PR1,10612,9407,4785,3632,2733
PR11,27,54,21,18,7
PR2,10557,10332,5324,4257,2292
PR25,4747,5777,2637,1943,757
PR26,1327,1950,833,669,290
PR3,4825,7059,2543,1959,902
PR4,6999,10437,4458,3354,1251
PR5,5443,6241,2877,1981,727
PR6,4799,5913,2630,2081,781
PR7,7773,9358,4324,3434,1277
PR8,8389,8820,3906,2741,1366
PR9,7172,6879,2678,1878,844
RG1,7035,6896,3381,2342,1801
RG10,2041,3011,1332,1394,472
RG11,7549,11138,5435,5439,1839
RG12,9508,11408,6200,5207,2216
RG13,5296,6279,2920,2386,969
RG14,3588,4279,1998,1694,653
RG15,1695,2991,1069,998,429
RG16,1750,2947,1244,1217,528
RG17,1077,1181,480,348,155
RG18,46,115,76,95,17
RG19,120,174,128,135,46
RG2,4135,5100,3231,2873,1790
RG21,4654,4611,2284,1613,856
RG22,4395,5891,3129,2652,1123
RG23,1250,2088,873,779,325
RG24,4193,5674,3009,2469,1071
RG25,1706,2531,1002,902,313
RG26,2469,3657,1614,1384,516
RG27,2220,3307,1501,1393,460
RG28,744,1085,446,449,158
RG3,8174,10161,5567,4755,2551
RG30,69,67,46,22,11
RG31,12,60,25,27,15
RG4,4172,5901,2946,2880,1022
RG40,186,253,201,161,60
RG41,41,88,100,82,40
RG42,474,613,286,239,67
RG5,2710,3657,2006,1925,786
RG6,2979,3987,2341,2533,1165
RG7,3178,4408,2089,1927,713
RG8,1514,2561,1017,979,349
RG9,2715,3272,1289,1211,459
RH1,6113,7064,3928,3461,1425
