outcode,1 person,2 people,3 people,4 people,5 person plus
SS2,5078,4909,2571,1948,951
SS22,39,52,12,19,7
SS3,3311,3895,1964,1594,747
SS4,2682,3193,1498,1262,561
SS5,2339,3444,1490,1380,526
SS6,3490,4959,2302,2304,744
SS7,5326,7534,3447,3031,1192
SS8,4743,5772,2506,2055,1129
SS9,6313,7182,3187,2851,1011
ST1,5432,4697,2281,1462,1289
ST10,3210,4653,1773,1361,531
ST11,1179,1849,662,541,231
ST12,710,1062,346,330,100
ST13,4085,4494,1737,1378,574
ST14,2478,3330,1440,1180,476
ST15,3016,4113,1577,1273,458
ST16,5392,5523,2578,1753,697
ST17,4903,6176,2595,2082,773
ST18,1740,3168,1081,870,311
ST19,1911,2793,1075,908,316
ST2,5025,5478,2565,1805,1064
ST20,889,1486,533,394,138
ST21,671,1015,315,249,68
ST3,8688,10133,4631,3317,2052
ST4,8337,8485,3803,2616,1427
ST5,11289,12206,5547,4073,1824
ST6,9399,9178,4398,3081,2204
ST7,6919,9446,3754,2791,1076
ST8,2464,3071,1300,919,377
ST9,1016,1681,611,510,174
SW10,3921,2681,1127,739,531
SW11,11766,13125,5974,4157,2191
SW12,4111,5408,2634,2029,833
SW13,2184,2321,1311,1103,474
SW14,1862,2034,1236,1276,466
SW15,8297,8698,4429,3395,1950
SW16,8987,9652,5759,4478,3165
SW17,7542,8455,4489,3490,1845
SW18,7543,9674,4520,3759,1567
SW19,8869,10883,5474,4631,2038
SW1A,451,299,77,38,24
SW1E,609,429,149,86,42
SW1H,249,141,53,33,24
SW1P,2732,1951,767,427,261
SW1V,4560,3069,1145,749,567
SW1W,1859,1040,406,211,153
SW1X,1077,926,297,194,177
SW1Y,87,60,10,2,6
SW2,7182,7903,3835,2622,1542
SW20,2681,3338,1935,1808,741
SW3,4210,2455,1025,661,543
SW4,5549,6412,2900,1894,1005
SW5,3907,2320,814,526,297
SW6,10095,9903,4780,3389,1877
SW7,2658,1818,635,489,256
SW8,5201,5167,2449,1387,977
SW9,5699,5730,2879,1697,1349
SY1,4259,4541,1942,1400,789
SY10,2375,3785,1356,1148,478
SY11,3499,3872,1636,1160,593
SY12,1107,1502,505,406,194
SY13,2551,3847,1325,1089,518
SY14,603,886,381,296,125
SY15,1004,1418,489,359,193
SY16,2421,2541,1048,732,427
SY17,494,691,206,168,97
SY18,800,714,224,175,106
SY19,131,187,42,39,24
SY2,2914,3191,1242,983,395
SY20,1051,1161,420,304,144
SY21,2369,2830,1086,862,418
SY22,772,985,355,289,159
SY23,3716,4157,1578,1211,686
SY24,647,753,270,212,111
SY25,473,544,190,151,70
SY3,5072,5844,2262,1982,639
SY4,2745,4187,1541,1347,574
SY5,2255,3598,1339,1044,519
SY6,1228,1782,460,319,175
SY7,1236,1921,506,459,225
SY8,2722,3258,969,762,389
SY9,330,362,129,73,33
TA1,7263,6965,2818,2257,923
TA10,1362,2051,684,494,235
TA11,1125,1619,552,450,197
TA12,848,1133,390,277,115
TA13,616,930,271,205,83
TA14,440,624,225,150,74
TA15,82,90,25,19,12
TA16,281,370,112,100,37
TA17,87,170,39,23,16
TA18,1371,1753,551,444,186
TA19,1753,2397,719,595,272
TA2,3890,4667,2092,1679,706
TA20,2840,3665,1332,1036,503
TA21,2873,3682,1437,1014,514
TA22,406,522,131,102,35
TA23,1100,1403,393,285,145
TA24,2862,3313,924,568,339
TA3,1469,2327,748,691,320
TA4,2128,3225,1110,876,402
TA5,1427,2222,746,622,316
TA6,6769,7744,3762,2867,1420
TA7,1519,2780,893,699,343
TA8,2634,3200,1000,715,325
TA9,1525,2053,808,580,329
TD12,230,310,73,37,16
TD15,2607,2927,984,640,304
TF1,5838,6771,3323,2327,1543
TF10,2611,3673,1444,1283,541
TF11,1412,2048,894,689,240
TF12,774,1009,372,307,139
TF13,472,676,254,157,69
TF2,4301,5758,2851,2099,1030
TF3,2939,3808,2089,1575,1034
TF4,2237,2857,1463,1057,520
TF5,437,759,354,305,144
TF6,373,681,230,162,78
TF7,2405,2825,1359,974,639
TF8,106,126,36,18,7
TF9,2583,3873,1405,1208,538
TN1,2870,2342,1090,879,252
TN10,1985,2480,1212,1075,525
TN11,1755,2668,1233,1290,539
TN12,2949,4614,2177,1802,784
TN13,2894,3406,1837,1997,739
TN14,1633,2280,1108,1106,392
TN15,2268,3302,1421,1439,621
TN16,1818,2808,1273,1189,514
TN17,1596,2237,896,814,390
TN18,889,1189,490,423,169
TN19,568,1002,380,327,142
TN2,3541,4033,1947,1782,716
TN20,504,757,271,222,105
TN21,2030,2697,1010,873,356
TN22,2900,4188,1676,1477,614
TN23,4527,5570,3410,3000,1611
TN24,3736,4783,2576,2081,1100
TN25,1675,2646,1081,1021,420
TN26,1379,2200,820,686,361
TN27,1257,1903,709,624,269
TN28,1092,1726,566,361,231
TN29,1604,2257,669,490,289
TN3,1420,2246,972,1021,421
TN30,1384,1870,523,411,215
TN31,2059,2770,840,614,295
TN32,487,676,289,252,110
TN33,1360,2082,738,675,340
TN34,5875,5331,2257,1577,880
TN35,1913,2769,1121,866,428
TN36,403,420,132,78,47
TN37,3749,3035,1438,1120,559
TN38,3676,3455,1556,1147,694
TN39,4581,5378,1657,1133,620
TN4,3127,3468,1799,1722,609
TN40,3109,2673,863,571,286
TN5,972,1350,466,446,199
TN6,2654,3977,1544,1375,574
TN7,188,303,124,105,47
TN8,1398,1854,915,724,278
TN9,2250,2265,1174,986,301
TQ1,7064,5939,2108,1441,836
TQ10,491,692,269,183,114
TQ11,698,829,329,254,117
TQ12,7669,10248,4030,3187,1354
TQ13,2892,3590,1209,970,377
TQ14,3122,3616,1060,864,363
TQ2,4443,5068,2197,1706,926
TQ3,4772,5353,2184,1668,905
TQ4,3002,3491,1163,904,424
TQ5,2924,3709,1046,789,353
TQ6,1369,1693,441,308,146
TQ7,2446,3287,1006,814,379
TQ8,301,321,69,69,24
TQ9,2583,2851,1039,812,352
TR1,3573,3837,1655,1219,509
TR10,1684,2287,927,794,384
TR11,3962,4765,1918,1599,724
TR12,1185,1802,544,436,259
TR13,2540,3455,1289,1061,525
TR14,4065,4954,2087,1504,775
TR15,3430,3596,1605,1198,546
TR16,1870,2533,1041,770,371
TR17,445,408,144,106,43
TR18,4241,3579,1270,882,371
TR19,1474,1698,556,392,175
TR2,1283,1742,586,514,223
TR20,932,1361,460,367,170
TR21,248,311,76,71,33
TR22,22,32,5,9,6
TR24,25,31,9,9,0
TR25,12,28,2,7,7
TR26,1725,2063,650,455,224
TR27,1783,2205,973,711,322
TR3,1483,2138,727,595,258
TR4,1187,1678,704,602,309
TR5,511,582,217,228,92
TR6,512,630,239,203,64
TR7,3506,3641,1582,1192,467
TR8,1035,1584,674,561,256
TR9,802,1123,538,403,200
