outcode,In_Employment,Unemployed,Unemployment_pct,Retired
UB18,213,16,6.99,52
UB2,14791,1519,9.31,3201
UB3,23107,2159,8.55,4568
UB4,17851,1473,7.62,4018
UB5,21452,1751,7.55,4669
UB6,23097,1606,6.5,5789
UB7,16141,1332,7.62,3011
UB8,15279,1013,6.22,3971
UB9,6482,294,4.34,2513
W1,110,1,0.9,19
W10,16090,1732,9.72,3719
W11,15206,1379,8.31,3556
W12,25314,2116,7.71,4145
W13,18952,1314,6.48,4550
W14,18716,1392,6.92,2997
W1A,5325,236,4.24,884
W1B,341,14,3.94,64
W1C,480,42,8.05,91
W1D,568,37,6.12,90
W1G,675,32,4.53,99
W1H,2710,126,4.44,476
W1J,106,5,4.5,25
W1K,174,4,2.25,33
W1M,677,34,4.78,129
W1N,156,7,4.29,19
W1P,1313,78,5.61,250
W2,20715,1419,6.41,3490
W3,27819,2202,7.33,4883
W4,23523,1234,4.98,5644
W5,23317,1403,5.68,5540
W6,15881,1004,5.95,2675
W7,12850,916,6.65,3037
W8,6756,372,5.22,1572
W9,16492,1198,6.77,2807
WA1,12890,533,3.97,4478
WA10,18929,1053,5.27,8122
WA11,16984,737,4.16,9711
WA12,12428,577,4.44,3988
WA13,6451,180,2.71,3121
WA14,16072,605,3.63,5576
WA15,18420,628,3.3,7771
WA16,9648,305,3.06,5176
WA2,18642,1060,5.38,6601
WA3,22855,900,3.79,10239
WA4,24459,836,3.31,10577
WA5,29382,996,3.28,10862
WA6,8748,281,3.11,5146
WA7,26980,1494,5.25,10747
WA8,28852,1302,4.32,11466
WA9,21264,1308,5.79,7946
WC1A,1076,96,8.19,218
WC1B,292,16,5.19,67
WC1E,356,10,2.73,52
WC1H,2228,238,9.65,552
WC1N,1862,172,8.46,534
WC1R,75,5,6.25,40
WC1V,80,7,8.05,56
WC1X,1384,167,10.77,354
WC2A,193,4,2.03,15
WC2B,617,52,7.77,165
WC2E,406,29,6.67,52
WC2H,351,29,7.63,62
WD1,40174,2157,5.1,9589
WD17,202,16,7.34,78
WD18,244,12,4.69,22
WD19,225,7,3.02,79
WD2,38409,1786,4.44,11019
WD23,105,9,7.89,61
WD24,181,7,3.72,2
WD25,597,23,3.71,68
WD3,19991,748,3.61,7367
WD4,5430,186,3.31,1973
WD5,4959,193,3.75,1852
WD6,20532,1098,5.08,4757
WD7,5393,198,3.54,1923
WF1,20929,1219,5.5,6951
WF10,24186,1145,4.52,8307
WF11,7693,366,4.54,3421
WF12,16681,962,5.45,5944
WF13,11076,946,7.87,2782
WF14,9146,336,3.54,4934
WF15,8340,382,4.38,3422
WF16,4161,265,5.99,1614
WF17,16408,1060,6.07,5388
WF2,23035,1196,4.94,10358
WF3,15779,478,2.94,5975
WF4,19255,702,3.52,9155
WF5,9415,333,3.42,4627
WF6,10388,422,3.9,4205
WF7,11039,462,4.02,4674
WF8,16383,692,4.05,7205
WF9,16863,750,4.26,7211
WN1,11054,592,5.08,4386
WN2,23627,1185,4.78,9920
WN3,14281,562,3.79,5641
WN4,12435,509,3.93,6326
WN5,19488,938,4.59,9037
WN6,19037,697,3.53,8946
WN7,21934,1301,5.6,8461
WN8,20235,1106,5.18,7622
WR1,7039,424,5.68,2060
WR10,9535,335,3.39,6023
WR11,23071,838,3.5,9901
WR12,2331,60,2.51,2029
WR13,5765,179,3.01,3754
WR14,13483,684,4.83,8213
WR15,3001,104,3.35,1901
WR2,14243,585,3.95,7045
WR3,11445,395,3.34,4659
WR4,12553,687,5.19,3429
WR5,15847,568,3.46,5758
WR6,4008,115,2.79,2132
WR7,2347,46,1.92,1380
WR8,3017,113,3.61,2025
WR9,14299,562,3.78,6999
WS1,11486,1231,9.68,3312
WS10,19595,1863,8.68,6706
WS11,22308,1049,4.49,8846
WS12,17217,695,3.88,5831
WS13,14579,629,4.14,6565
WS14,7481,276,3.56,4129
WS15,17343,697,3.86,8028
WS2,15215,1534,9.16,4849
WS3,21209,1762,7.67,9199
WS4,7778,450,5.47,3335
WS5,8623,537,5.86,3509
WS6,7319,317,4.15,3848
WS7,13710,493,3.47,7206
WS8,7593,438,5.45,3094
WS9,10583,455,4.12,6008
WV1,8263,1213,12.8,2236
WV10,24922,2343,8.59,8121
WV11,15327,1006,6.16,6730
WV12,10400,640,5.8,4824
WV13,8917,755,7.81,2899
WV14,20135,1753,8.01,7362
WV15,4384,187,4.09,2623
WV16,7413,264,3.44,4548
WV2,7768,931,10.7,2135
WV3,12952,1057,7.55,5731
WV4,13377,850,5.97,5654
WV5,5949,272,4.37,3402
WV6,18907,1271,6.3,8520
WV7,2499,105,4.03,1684
WV8,6230,364,5.52,3242
WV9,2987,141,4.51,1456
YO1,19298,788,3.92,8106
YO10,126,6,4.55,13
YO11,12315,755,5.78,6778
YO12,16001,766,4.57,9268
YO13,3899,111,2.77,2613
YO14,4008,195,4.64,4061
YO15,6195,466,7.0,5632
YO16,7724,437,5.35,7008
YO17,12133,345,2.76,5396
YO18,4706,138,2.85,3618
YO19,3627,80,2.16,1831
YO2,32094,1094,3.3,13127
YO21,6477,230,3.43,4310
YO22,2966,121,3.92,2018
YO23,426,13,2.96,435
YO24,223,8,3.46,62
YO25,14714,449,2.96,8959
YO26,3750,63,1.65,1517
YO3,36945,1138,2.99,16565
YO30,1448,40,2.69,476
YO31,350,9,2.51,29
YO4,18604,550,2.87,9578
YO42,491,5,1.01,98
YO43,471,10,2.08,88
YO5,2794,61,2.14,1305
YO6,13367,346,2.52,8077
YO61,153,2,1.29,74
YO7,9563,250,2.55,4405
YO8,22956,825,3.47,9621
