outcode,In_Employment,Unemployed,Unemployment_pct,Retired
M28,26259,1415,5.11,9698
M29,21230,1042,4.68,8658
M3,10577,685,6.08,542
M30,27608,1659,5.67,8399
M31,23035,924,3.86,9843
M32,12962,667,4.89,3588
M33,28548,1127,3.8,10997
M34,22527,1119,4.73,9468
M35,20671,1103,5.07,7839
M4,11096,495,4.27,370
M40,456,66,12.64,96
M41,84,8,8.7,47
M43,289,9,3.02,180
M44,648,16,2.41,50
M46,798,23,2.8,42
M5,13210,934,6.6,1837
M50,2193,112,4.86,76
M6,12698,1005,7.33,3837
M7,12787,1216,8.68,2718
M8,10505,1069,9.24,2361
M9,14785,1433,8.84,4252
ME1,17560,905,4.9,5612
ME10,25118,1136,4.33,8520
ME11,2132,161,7.02,802
ME12,16994,1221,6.7,7765
ME13,13494,603,4.28,6338
ME14,19323,835,4.14,6792
ME15,25463,1153,4.33,9037
ME16,16429,654,3.83,5761
ME17,12324,346,2.73,5431
ME18,3651,116,3.08,1744
ME19,12867,369,2.79,4319
ME2,20218,950,4.49,6482
ME20,10150,316,3.02,4066
ME3,13941,567,3.91,5616
ME4,14910,1115,6.96,3361
ME5,25286,1097,4.16,8474
ME6,5512,198,3.47,1624
ME7,22919,1409,5.79,6424
ME8,22928,927,3.89,10732
ME9,9910,337,3.29,4032
MK1,5374,324,5.69,1620
MK10,13006,548,4.04,993
MK11,5730,252,4.21,1945
MK12,8496,499,5.55,2259
MK13,7944,481,5.71,2396
MK14,9282,565,5.74,2842
MK15,3310,153,4.42,1551
MK16,9880,359,3.51,4383
MK17,10822,348,3.12,4315
MK18,16525,489,2.87,6424
MK19,6324,183,2.81,2238
MK2,6070,425,6.54,1788
MK3,12033,597,4.73,4238
MK4,12821,581,4.34,2060
MK40,20417,1270,5.86,5352
MK41,19865,872,4.21,8144
MK42,27239,1388,4.85,6319
MK43,20433,645,3.06,6997
MK44,8087,249,2.99,3991
MK45,24342,730,2.91,9652
MK46,4188,117,2.72,2123
MK5,7586,339,4.28,2031
MK6,11360,895,7.3,2721
MK7,7608,323,4.07,1538
MK8,6297,257,3.92,1175
MK9,2287,139,5.73,138
N1,47819,3324,6.5,6840
N10,14518,885,5.75,3284
N11,17081,1132,6.22,4101
N12,15638,972,5.85,4454
N13,17575,1362,7.19,4866
N14,13276,793,5.64,4436
N15,25915,2472,8.71,3841
N16,30586,2055,6.3,3971
N17,29198,3038,9.42,5270
N18,13289,1359,9.28,2855
N19,20424,1513,6.9,3542
N1C,539,56,9.41,89
N2,12485,784,5.91,3327
N20,8146,434,5.06,2657
N21,10032,504,4.78,3586
N22,20110,1731,7.93,3678
N3,12674,854,6.31,3398
N4,29456,2179,6.89,3776
N5,13794,763,5.24,1812
N6,9484,473,4.75,2293
N7,23669,1986,7.74,3375
N8,20157,1227,5.74,3451
N9,18228,1732,8.68,4929
NE1,5128,460,8.23,853
NE10,15713,1022,6.11,7279
NE11,7635,394,4.91,3165
NE12,18383,800,4.17,7583
NE13,11305,319,2.74,4337
NE15,15771,864,5.19,7017
NE16,10600,448,4.06,6447
NE17,2055,129,5.91,1069
NE18,443,18,3.9,193
NE19,2042,48,2.3,1053
NE2,8161,374,4.38,2988
NE20,4703,130,2.69,3482
NE21,8176,412,4.8,3856
NE22,8943,461,4.9,4539
NE23,17863,981,5.21,9200
NE24,16879,1126,6.25,7891
NE25,14477,552,3.67,7908
NE26,7663,274,3.45,4401
NE27,7932,317,3.84,2102
NE28,20909,1417,6.35,8313
NE29,15983,1104,6.46,7090
NE3,21560,1035,4.58,9832
NE30,8841,317,3.46,5050
NE31,11135,680,5.76,3998
NE32,9292,720,7.19,4712
NE33,11946,1144,8.74,5654
NE34,19424,1646,7.81,10049
NE35,3058,196,6.02,1381
NE36,2981,117,3.78,1708
NE37,8933,635,6.64,4297
NE38,12815,635,4.72,7025
NE39,3400,172,4.82,2100
NE4,12134,1469,10.8,3011
NE40,6830,339,4.73,3428
NE41,792,38,4.58,524
NE42,5422,212,3.76,2742
NE43,2035,63,3.0,1361
NE44,679,18,2.58,492
NE45,1224,38,3.01,1101
NE46,6478,245,3.64,4331
NE47,3233,108,3.23,1890
NE48,1315,35,2.59,779
NE49,1465,58,3.81,880
NE5,19436,1208,5.85,9011
NE6,20555,1699,7.63,6693
NE61,15465,663,4.11,9489
NE62,3566,247,6.48,2127
NE63,11601,882,7.07,5470
NE64,1877,162,7.95,1352
NE65,8347,395,4.52,6102
NE66,7457,370,4.73,4928
NE67,378,12,3.08,363
NE68,700,21,2.91,597
NE69,114,6,5.0,151
NE7,6906,260,3.63,2676
NE70,849,53,5.88,612
NE71,1109,51,4.4,950
NE8,13394,1126,7.75,3365
NE9,14759,848,5.43,7210
NG1,5133,388,7.03,731
NG10,23226,919,3.81,9104
NG11,17923,827,4.41,7537
NG12,17414,572,3.18,9493
NG13,10312,310,2.92,5418
NG14,9289,363,3.76,5406
NG15,21915,957,4.18,9313
NG16,28365,1143,3.87,14294
NG17,33528,1633,4.64,14653
NG18,23476,1111,4.52,8656
NG19,22543,869,3.71,10676
NG2,26484,1343,4.83,7775
NG20,12616,514,3.91,5159
NG21,11354,383,3.26,4706
NG22,13255,456,3.33,6748
NG23,8098,227,2.73,4873
NG24,21873,903,3.96,9265
NG25,3236,119,3.55,2425
NG3,23341,1493,6.01,7547
NG31,22752,1147,4.8,9239
NG32,5101,157,2.99,3338
NG33,4587,134,2.84,2326
NG34,19804,707,3.45,9823
NG4,18822,811,4.13,7203
NG5,39501,2306,5.52,14947
NG6,15864,1226,7.17,5521
NG7,15276,1489,8.88,3055
NG8,24914,1709,6.42,8962
NG9,32152,1366,4.08,14229
NN1,19077,1087,5.39,3223
NN10,20290,761,3.62,7576
NN11,21263,766,3.48,7793
NN12,13803,431,3.03,5331
NN13,12194,299,2.39,3795
NN14,24076,657,2.66,9962
NN15,21049,734,3.37,7970
NN16,14286,691,4.61,3943
NN17,17397,580,3.23,5181
NN18,19469,808,3.98,4418
NN2,20289,928,4.37,6647
NN29,5875,149,2.47,2733
NN3,35288,1635,4.43,12257
NN4,27478,930,3.27,6589
NN5,21780,1003,4.4,6467
NN6,17725,470,2.58,7828
NN7,13375,443,3.21,6237
NN8,26319,1312,4.75,8378
NN9,13317,461,3.35,5363
NP1,25684,1158,4.31,11581
NP10,4576,146,3.09,839
NP11,528,22,4.0,120
NP12,13609,616,4.33,6412
NP13,8002,461,5.45,3603
NP15,5080,136,2.61,3031
NP16,10676,402,3.63,5125
NP18,8182,307,3.62,4201
NP19,24758,1524,5.8,7575
NP2,10173,594,5.52,4755
NP20,22477,1400,5.86,8879
NP23,13376,784,5.54,6088
NP25,6351,249,3.77,3778
NP26,10974,360,3.18,5112
NP3,182,9,4.71,81
NP4,19987,974,4.65,9859
NP44,20311,1054,4.93,9099
NP7,11041,414,3.61,6799
NP8,1853,64,3.34,1452
NR1,15266,985,6.06,5106
NR10,12554,408,3.15,5928
NR11,8405,322,3.69,6361
NR12,8955,422,4.5,6951
NR13,13964,412,2.87,7749
NR14,12968,373,2.8,6796
NR15,7813,241,2.99,4097
NR16,5858,198,3.27,2943
NR17,8278,259,3.03,3924
NR18,9848,283,2.79,4317
NR19,9715,401,3.96,5057
NR2,13389,723,5.12,4163
NR20,9123,271,2.88,5559
NR21,7236,273,3.64,4541
NR22,235,10,4.08,167
NR23,1323,53,3.85,1061
NR24,1898,57,2.92,1204
NR25,2819,127,4.31,3251
NR26,2785,112,3.87,3291
NR27,4133,193,4.46,4206
NR28,6643,316,4.54,4603
NR29,8821,433,4.68,6580
NR3,16240,964,5.6,4196
NR30,11872,1190,9.11,6251
NR31,20939,1387,6.21,11246
NR32,16010,1048,6.14,9517
NR33,16279,913,5.31,10453
NR34,9054,374,3.97,5917
NR35,4476,184,3.95,2892
NR4,8934,336,3.62,4783
NR5,13076,662,4.82,4653
NR6,10747,375,3.37,5527
NR7,14491,532,3.54,7170
NR8,10462,296,2.75,4266
NR9,8026,221,2.68,4360
NW1,27187,2368,8.01,5295
NW10,45395,4496,9.01,8896
NW11,15929,842,5.02,4004
NW2,30802,2464,7.41,6405
NW3,27128,1380,4.84,5630
NW4,15892,1141,6.7,3189
NW5,11242,868,7.17,2218
NW6,32948,2481,7.0,5137
NW7,12551,624,4.74,3201
NW8,12584,998,7.35,3277
NW9,33899,2539,6.97,6658
OL1,11510,1057,8.41,3270
OL10,12709,735,5.47,4805
OL11,20083,1512,7.0,8135
OL12,19404,1130,5.5,7598
OL13,7252,348,4.58,2775
OL14,7180,359,4.76,3195
OL15,7194,255,3.42,3301
OL16,13424,848,5.94,4385
OL2,17856,860,4.59,9061
OL3,7283,240,3.19,3941
OL4,17936,1156,6.05,6540
OL5,5857,276,4.5,1978
OL6,13105,949,6.75,4749
OL7,6468,389,5.67,2668
OL8,15345,1579,9.33,4376
OL9,13977,1111,7.36,5073
OX1,9241,324,3.39,2990
OX10,14830,423,2.77,5666
OX11,25191,759,2.92,5894
OX12,15309,456,2.89,5945
OX13,8898,266,2.9,2905
OX14,21522,689,3.1,8101
OX15,11170,296,2.58,4630
OX16,26818,1113,3.98,7486
OX17,7432,192,2.52,3430
OX18,15365,408,2.59,4481
OX2,17726,629,3.43,6333
OX20,3522,111,3.06,1371
OX25,7624,221,2.82,1983
OX26,20176,664,3.19,4898
OX27,3708,98,2.57,981
OX28,14964,433,2.81,5730
OX29,11872,341,2.79,5215
OX3,22523,910,3.88,5723
OX33,3522,117,3.22,1601
OX39,4227,137,3.14,1639
OX4,29864,1480,4.72,6213
OX44,3865,78,1.98,1622
OX49,2212,73,3.19,912
OX5,11697,365,3.03,4858
OX7,10347,297,2.79,4999
OX9,7691,237,2.99,3115
PE1,24832,1773,6.66,5576
PE10,12171,375,2.99,5654
PE11,23511,881,3.61,9815
PE12,18726,800,4.1,10967
PE13,17543,897,4.86,8216
PE14,10376,367,3.42,5592
PE15,13917,600,4.13,7223
PE16,5434,170,3.03,2157
PE17,31493,981,3.02,13434
PE18,27157,930,3.31,10278
PE19,20581,721,3.38,7837
PE2,26171,1277,4.65,7729
PE20,7321,298,3.91,3562
PE21,22381,994,4.25,8013
PE22,6477,269,3.99,4409
PE23,3434,185,5.11,2493
PE24,3891,327,7.75,3961
PE25,8047,838,9.43,5935
PE27,138,5,3.5,19
PE28,1293,36,2.71,91
PE29,868,20,2.25,38
PE3,14355,935,6.12,5018
PE30,22826,1038,4.35,8497
PE31,7552,321,4.08,7574
PE32,6732,256,3.66,4294
PE33,7203,228,3.07,3537
PE34,5854,210,3.46,3217
PE36,1786,109,5.75,2346
PE37,4411,228,4.91,3694
PE38,6296,303,4.59,4150
PE4,14011,651,4.44,5358
PE5,605,24,3.82,370
PE6,18264,606,3.21,8920
PE7,23237,903,3.74,7448
PE8,8066,245,2.95,3740
PE9,14562,526,3.49,7115
PL1,13254,972,6.83,4267
PL10,1605,66,3.95,1212
PL11,4366,180,3.96,2611
PL12,9877,280,2.76,6172
PL13,4365,207,4.53,3564
PL14,10614,459,4.15,6081
PL15,10074,320,3.08,5360
PL16,397,16,3.87,206
PL17,4336,150,3.34,2852
PL18,2284,95,3.99,1397
PL19,6563,229,3.37,4654
PL2,15227,778,4.86,4785
PL20,5486,202,3.55,3834
PL21,10198,272,2.6,4590
PL22,1869,59,3.06,1196
PL23,1347,44,3.16,1058
PL24,4757,201,4.05,2832
PL25,12529,593,4.52,6926
PL26,12653,528,4.01,6603
PL27,5649,180,3.09,3321
PL28,1745,70,3.86,1119
PL29,728,23,3.06,433
PL3,14102,556,3.79,5625
PL30,4544,163,3.46,2814
PL31,6692,332,4.73,2714
PL32,1716,110,6.02,938
PL33,892,39,4.19,474
PL34,631,39,5.82,457
PL35,289,19,6.17,244
PL4,12173,818,6.3,2842
PL5,19492,970,4.74,7873
PL6,18250,555,2.95,9424
PL7,15348,393,2.5,7303
PL8,2093,76,3.5,1712
PL9,12696,339,2.6,7884
PO1,11949,986,7.62,3903
PO10,9375,285,2.95,5737
PO11,6748,336,4.74,6253
PO12,21784,1079,4.72,9846
PO13,16214,730,4.31,7501
PO14,17218,469,2.65,9658
PO15,11953,395,3.2,4256
PO16,14834,484,3.16,8056
PO17,3868,144,3.59,1804
PO18,7611,300,3.79,4109
PO19,14111,585,3.98,7402
PO2,20829,1108,5.05,5557
PO20,14767,621,4.04,9854
PO21,19957,903,4.33,11732
PO22,12664,452,3.45,7853
PO3,9840,387,3.78,3032
PO30,14176,706,4.74,7513
PO31,6523,293,4.3,3501
PO32,3663,183,4.76,2182
PO33,12733,816,6.02,8307
PO34,654,29,4.25,791
PO35,1072,61,5.38,1524
PO36,6773,399,5.56,5360
PO37,3407,222,6.12,2866
PO38,4438,258,5.49,3866
PO39,1168,57,4.65,1328
PO4,19789,938,4.53,6133
PO40,1698,99,5.51,1800
PO41,547,22,3.87,707
PO5,10467,749,6.68,3322
PO6,20013,854,4.09,7557
PO7,21056,730,3.35,9904
PO8,16246,548,3.26,8325
PO9,22429,1237,5.23,8971
PR0,194,19,8.92,39
PR1,31023,1835,5.58,10293
PR11,141,5,3.42,59
PR2,34963,1319,3.64,13892
PR25,17386,564,3.14,7273
PR26,6111,255,4.01,2605
PR3,18509,416,2.2,10481
PR4,29503,824,2.72,14616
PR5,18999,685,3.48,8075
PR6,17981,609,3.28,7585
PR7,29190,932,3.09,11839
PR8,24726,1215,4.68,13783
PR9,17946,834,4.44,10980
RG1,27469,1533,5.29,3676
RG10,9811,311,3.07,4019
RG11,38782,1269,3.17,15029
RG12,44676,1945,4.17,10984
RG13,21703,801,3.56,6994
RG14,14583,525,3.47,4898
RG15,8480,248,2.84,3791
RG16,9597,274,2.78,3648
RG17,3501,137,3.77,1560
RG18,555,10,1.77,97
RG19,888,30,3.27,125
RG2,22850,1247,5.17,4412
RG21,17333,792,4.37,4444
RG22,21380,891,4.0,6580
RG23,6203,211,3.29,2847
RG24,21638,810,3.61,5021
RG25,7815,230,2.86,3273
RG26,11640,365,3.04,4711
RG27,10632,344,3.13,3954
RG28,3502,83,2.32,1326
RG3,39046,1793,4.39,11843
RG30,294,13,4.23,15
RG31,196,5,2.49,76
RG4,20491,787,3.7,7911
RG40,1275,42,3.19,69
RG41,573,14,2.39,10
RG42,2071,61,2.86,607
RG5,13588,527,3.73,5188
RG6,16995,673,3.81,5022
RG7,15216,451,2.88,5261
RG8,7264,257,3.42,3667
RG9,9836,385,3.77,4606
RH1,27629,1128,3.92,7442
RH10,39411,2307,5.53,11561
RH11,26906,2148,7.39,6651
RH12,26938,1001,3.58,10120
RH13,19459,656,3.26,7584
RH14,7835,259,3.2,3174
RH15,17410,568,3.16,6697
RH16,20056,683,3.29,7498
RH17,8200,227,2.69,3291
RH18,2650,109,3.95,1143
RH19,16942,590,3.37,7134
RH2,11603,420,3.49,4192
RH20,11157,378,3.28,7421
RH3,2182,73,3.24,1092
RH4,8604,312,3.5,3549
RH5,6485,231,3.44,2763
RH6,17494,735,4.03,5594
RH7,4318,147,3.29,1756
RH8,7175,260,3.5,3134
RH9,2163,107,4.71,811
RM1,14393,804,5.29,4304
RM10,18943,1607,7.82,4082
RM11,17344,754,4.17,6977
RM12,16588,823,4.73,7007
RM13,14441,976,6.33,4775
RM14,12289,429,3.37,6409
RM15,14880,875,5.55,3554
RM16,29438,1462,4.73,7106
RM17,13727,780,5.38,3274
RM18,8442,602,6.66,1686
RM19,331,19,5.43,12
RM2,6010,279,4.44,2277
RM3,21045,1333,5.96,5906
RM4,1748,68,3.74,721
RM5,9681,614,5.96,3606
RM6,15548,1171,7.0,3565
RM7,12866,904,6.56,3547
RM8,19679,1545,7.28,3488
RM9,15031,1355,8.27,3152
S1,6362,461,6.76,1089
S10,18931,740,3.76,8072
S11,15975,517,3.13,6273
S12,17133,769,4.3,8292
S13,14185,735,4.93,6031
S14,3503,386,9.93,1478
S17,7054,206,2.84,4447
S18,10731,344,3.11,7097
S19,13661,600,4.21,6338
S2,16227,1307,7.45,4428
S20,715,20,2.72,86
S21,9232,340,3.55,4139
S25,9636,402,4.0,4917
S26,11958,449,3.62,5529
S3,5477,526,8.76,861
S30,37051,1256,3.28,20230
S35,904,58,6.03,323
S36,309,4,1.28,39
S4,4345,465,9.67,1356
S40,18279,778,4.08,9733
S41,15604,712,4.36,6794
S42,13238,441,3.22,7322
S43,18259,680,3.59,8339
S44,9013,325,3.48,4477
S45,5352,277,4.92,2599
S5,22489,1808,7.44,7894
S6,25603,1070,4.01,9907
S60,20542,1133,5.23,8280
S61,14592,857,5.55,6518
S62,10029,575,5.42,4065
S63,18740,918,4.67,7160
S64,11817,673,5.39,5790
S65,12312,971,7.31,5337
S66,19406,908,4.47,9092
S7,6960,357,4.88,2041
S70,20132,1116,5.25,7588
S71,20815,1014,4.65,9264
S72,11685,586,4.78,4800
S73,12680,619,4.65,5051
S74,7395,364,4.69,3494
S75,20207,629,3.02,9950
S8,19357,998,4.9,7760
S80,13436,631,4.49,5738
S81,17415,499,2.79,7876
S9,9630,799,7.66,3456
SA1,19551,1600,7.56,7308
SA10,14140,521,3.55,7137
SA11,13755,740,5.11,7441
SA12,13226,641,4.62,6819
SA13,6633,346,4.96,3451
SA14,17022,622,3.53,8641
SA15,14867,775,4.95,7059
SA16,3289,211,6.03,2375
SA17,3812,140,3.54,2285
SA18,12358,609,4.7,7182
SA19,4793,169,3.41,2818
SA2,13878,623,4.3,8376
SA20,1182,48,3.9,706
SA3,9590,334,3.37,7999
SA31,8449,337,3.84,4213
SA32,2484,70,2.74,1458
SA33,5775,181,3.04,3357
SA34,2713,73,2.62,1391
SA35,631,27,4.1,307
SA37,1154,38,3.19,674
SA38,2065,77,3.59,1400
SA39,1452,49,3.26,812
SA4,20586,755,3.54,9596
SA40,1512,68,4.3,861
SA41,853,20,2.29,364
SA42,1031,60,5.5,839
SA43,4498,191,4.07,3318
SA44,4332,130,2.91,2991
SA45,454,19,4.02,374
SA46,1288,46,3.45,987
SA47,50,7,12.28,18
SA48,3412,130,3.67,1955
SA5,14444,776,5.1,6079
SA6,13667,617,4.32,6337
SA61,6763,386,5.4,3119
SA62,10087,315,3.03,5838
SA63,368,12,3.16,217
SA64,850,49,5.45,475
SA65,1291,80,5.84,1022
SA66,1640,58,3.42,861
SA67,2556,97,3.66,1522
SA68,2083,57,2.66,1489
SA69,1452,60,3.97,1338
SA7,6294,220,3.38,2421
SA70,3097,150,4.62,2071
SA71,4338,292,6.31,2936
SA72,3815,277,6.77,1881
SA73,7919,479,5.7,4184
SA8,5440,226,3.99,2625
SA9,5878,263,4.28,3121
SE1,44332,3071,6.48,5077
SE10,23993,1248,4.94,2670
SE11,11917,1021,7.89,1826
SE12,15403,1048,6.37,3739
SE13,25095,2070,7.62,3451
SE14,16615,1486,8.21,1902
SE15,34513,2864,7.66,4923
SE16,28966,1928,6.24,3457
SE17,15838,1499,8.65,2234
SE18,41208,3649,8.13,7161
