outcode,avg_asking_price,Avg asking rent(p/m),avg_gross_yield
CT8,344783,1126.0,3.92
CT9,364747,1311.0,4.31
CV1,210195,1231.0,7.03
CV10,271057,1044.0,4.62
CV11,324810,1004.0,3.71
CV12,289390,1011.0,4.19
CV13,570353,1212.0,2.55
CV2,228205,1096.0,5.76
CV21,263206,901.0,4.11
CV22,382354,1295.0,4.06
CV23,460906,1345.0,3.5
CV3,319014,1263.0,4.75
CV31,391958,1886.0,5.77
CV32,470156,1966.0,5.02
CV33,489647,1709.0,4.19
CV34,388841,1335.0,4.12
CV35,780757,1901.0,2.92
CV36,596102,3811.0,7.67
CV37,492389,2094.0,5.1
CV4,365293,1592.0,5.23
CV47,492092,1386.0,3.38
CV5,340607,1312.0,4.62
CV6,232219,1140.0,5.89
CV7,518116,1459.0,3.38
CV8,487583,1490.0,3.67
CV9,435899,890.0,2.45
CW1,245773,844.0,4.12
CW10,337936,1107.0,3.93
CW11,385715,927.0,2.88
CW12,378410,1099.0,3.49
CW2,322384,977.0,3.64
CW3,528024,1215.0,2.76
CW4,591011,1974.0,4.01
CW5,467244,1441.0,3.7
CW6,711329,1814.0,3.06
CW7,255532,1223.0,5.74
CW8,369837,1194.0,3.87
CW9,344581,1001.0,3.49
DA1,362723,1815.0,6.0
DA10,345101,1768.0,6.15
DA11,358234,1317.0,4.41
DA12,401348,1316.0,3.93
DA13,640313,2071.0,3.88
DA14,467717,1691.0,4.34
DA15,531613,2022.0,4.56
DA16,449745,1961.0,5.23
DA17,347369,1915.0,6.62
DA2,477563,2156.0,5.42
DA3,558664,1800.0,3.87
DA4,542818,1433.0,3.17
DA5,569294,2308.0,4.86
DA6,519029,1681.0,3.89
DA7,477296,1802.0,4.53
DA8,361045,1650.0,5.48
DA9,317692,1820.0,6.87
DE1,192819,905.0,5.63
DE11,280163,733.0,3.14
DE12,396590,915.0,2.77
DE13,432075,986.0,2.74
DE14,211168,801.0,4.55
DE15,322709,1500.0,5.58
DE21,280223,865.0,3.7
DE22,357233,958.0,3.22
DE23,303338,849.0,3.36
DE24,239513,825.0,4.13
DE3,358561,1099.0,3.68
DE4,426738,1203.0,3.38
DE45,617341,1348.0,2.62
DE5,310411,768.0,2.97
DE55,306055,898.0,3.52
DE56,355970,1157.0,3.9
DE6,515637,1031.0,2.4
DE65,386661,1007.0,3.13
DE7,318709,942.0,3.55
DE72,374869,1340.0,4.29
DE73,394805,1157.0,3.52
DE74,387462,775.0,2.4
DE75,274274,1025.0,4.48
DH1,359769,1268.0,4.23
DH2,214606,987.0,5.52
DH3,281108,712.0,3.04
DH4,234251,729.0,3.73
DH5,191084,659.0,4.14
DH6,219559,684.0,3.74
DH7,242365,814.0,4.03
DH8,250615,816.0,3.91
DH9,169241,566.0,4.01
DL1,183688,687.0,4.49
DL10,380241,863.0,2.72
DL11,455463,868.0,2.29
DL12,376593,785.0,2.5
DL13,301374,769.0,3.06
DL14,173909,617.0,4.26
DL15,170569,603.0,4.24
DL16,191511,598.0,3.75
DL17,160360,607.0,4.54
DL2,332649,1286.0,4.64
DL3,263310,692.0,3.15
DL4,95127,509.0,6.42
DL5,189270,720.0,4.56
DL6,382988,1196.0,3.75
DL7,395050,992.0,3.01
DL8,398987,913.0,2.75
DL9,203385,756.0,4.46
DN1,237558,588.0,2.97
DN10,390818,1046.0,3.21
DN11,240538,862.0,4.3
DN12,237329,788.0,3.98
DN14,321417,856.0,3.2
DN15,220984,618.0,3.36
DN16,162396,719.0,5.31
DN17,242937,705.0,3.48
DN18,242126,648.0,3.21
DN19,305162,778.0,3.06
DN2,235069,636.0,3.25
DN20,272962,753.0,3.31
DN21,260375,664.0,3.06
DN22,376978,810.0,2.58
DN3,247110,976.0,4.74
DN31,107220,604.0,6.76
DN32,147564,603.0,4.9
DN33,213098,1040.0,5.86
DN34,173476,1007.0,6.97
DN35,191702,836.0,5.23
DN36,277368,1180.0,5.11
DN37,303196,1090.0,4.31
DN38,311225,,
DN39,291409,1324.0,5.45
DN4,267897,689.0,3.09
DN40,197434,759.0,4.61
DN41,292878,1004.0,4.11
DN5,279734,687.0,2.95
DN6,272625,635.0,2.8
DN7,278848,754.0,3.24
DN8,256783,668.0,3.12
DN9,363235,876.0,2.89
DT1,333197,1383.0,4.98
DT10,537049,1079.0,2.41
DT11,472371,1683.0,4.28
DT2,669560,1579.0,2.83
DT3,471791,1317.0,3.35
DT4,336212,1121.0,4.0
DT5,293417,916.0,3.75
DT6,487764,1556.0,3.83
DT7,543152,1757.0,3.88
DT8,506208,1447.0,3.43
DT9,505901,1110.0,2.63
DY1,240058,855.0,4.27
DY10,368113,1098.0,3.58
DY11,351355,863.0,2.95
DY12,433004,1302.0,3.61
DY13,354113,834.0,2.83
DY14,474513,1143.0,2.89
DY2,217977,920.0,5.06
DY3,318492,918.0,3.46
DY4,226682,1062.0,5.62
DY5,229091,1098.0,5.75
DY6,319606,1035.0,3.89
DY7,570495,1200.0,2.52
DY8,327012,1156.0,4.24
DY9,545874,1266.0,2.78
E1,741960,3332.0,5.39
E10,484618,2051.0,5.08
