outcode,avg_asking_price,Avg asking rent(p/m),avg_gross_yield
SR7,203828,799.0,4.7
SR8,121197,583.0,5.77
SS0,431362,1514.0,4.21
SS1,454868,1199.0,3.16
SS11,459845,1743.0,4.55
SS12,464343,1350.0,3.49
SS13,355687,1594.0,5.38
SS14,291394,1525.0,6.28
SS15,372138,1738.0,5.6
SS16,425038,1783.0,5.03
SS17,476154,1589.0,4.0
SS2,333428,1390.0,5.0
SS3,470216,1204.0,3.07
SS4,419321,1304.0,3.73
SS5,533721,2019.0,4.54
SS6,517425,1946.0,4.51
SS7,455603,1729.0,4.55
SS8,347980,1200.0,4.14
SS9,498932,1811.0,4.36
ST1,152047,757.0,5.97
ST10,376046,1019.0,3.25
ST11,343822,1148.0,4.01
ST12,515161,1000.0,2.33
ST13,391623,796.0,2.44
ST14,381423,984.0,3.1
ST15,381361,1025.0,3.23
ST16,262073,757.0,3.47
ST17,372564,1081.0,3.48
ST18,507478,1263.0,2.99
ST19,430069,1634.0,4.56
ST2,217624,692.0,3.82
ST20,448425,1248.0,3.34
ST21,604231,1024.0,2.03
ST3,238213,983.0,4.95
ST4,224239,790.0,4.23
ST5,262403,931.0,4.26
ST6,173259,702.0,4.86
ST7,310708,1235.0,4.77
ST8,300862,935.0,3.73
ST9,370843,4095.0,13.25
SW1,3528219,8805.0,2.99
SW10,2068505,6169.0,3.58
SW11,1159703,4569.0,4.73
SW12,844620,3152.0,4.48
SW13,1614346,4362.0,3.24
SW14,964096,4090.0,5.09
SW15,907043,3949.0,5.22
SW16,581735,2208.0,4.55
SW17,693580,2745.0,4.75
SW18,792196,3252.0,4.93
SW19,1089376,3863.0,4.26
SW2,627841,2661.0,5.09
SW20,900579,3694.0,4.92
SW3,2373651,5905.0,2.99
SW4,735731,3327.0,5.43
SW5,1395559,4240.0,3.65
SW6,1243876,4519.0,4.36
SW7,3152297,12021.0,4.58
SW8,1659985,4482.0,3.24
SW9,614578,2685.0,5.24
SY1,313487,1128.0,4.32
SY10,474984,825.0,2.08
SY11,296262,1430.0,5.79
SY12,355254,1016.0,3.43
SY13,387472,958.0,2.97
SY14,546830,1999.0,4.39
SY15,445090,450.0,1.21
SY16,356298,623.0,2.1
SY17,360330,1500.0,5.0
SY18,276178,555.0,2.41
SY19,333265,,
SY2,377825,1731.0,5.5
SY20,328442,1200.0,4.38
SY21,361289,735.0,2.44
SY22,448702,1020.0,2.73
SY23,332374,945.0,3.41
SY24,326290,647.0,2.38
SY25,295650,,
SY3,388742,1099.0,3.39
SY4,439130,1040.0,2.84
SY5,454095,1034.0,2.73
SY6,582093,931.0,1.92
SY7,493492,1018.0,2.48
SY8,403364,830.0,2.47
SY9,479915,725.0,1.81
TA1,297455,1189.0,4.8
TA10,535208,2538.0,5.69
TA11,648376,2132.0,3.95
TA12,462317,1283.0,3.33
TA13,539333,1142.0,2.54
TA14,554151,3500.0,7.58
TA16,457188,995.0,2.61
TA18,350151,1468.0,5.03
TA19,465457,1039.0,2.68
TA2,341653,1138.0,4.0
TA20,453638,1121.0,2.97
TA21,378352,1094.0,3.47
TA22,424671,651.0,1.84
TA23,339620,,
TA24,427954,1134.0,3.18
TA3,570538,1321.0,2.78
TA4,485097,1408.0,3.48
TA5,552613,1182.0,2.57
TA6,304806,1215.0,4.78
TA7,508072,2726.0,6.44
TA8,327420,1011.0,3.71
TA9,419580,958.0,2.74
TF1,292953,1377.0,5.64
TF10,426037,912.0,2.57
TF11,431126,1555.0,4.33
TF12,338465,933.0,3.31
TF13,423425,795.0,2.25
TF2,289846,1087.0,4.5
TF3,248699,1304.0,6.29
TF4,272751,1030.0,4.53
TF5,405132,,
TF6,498351,1204.0,2.9
TF7,225037,944.0,5.03
TF8,395585,1668.0,5.06
TF9,406061,1403.0,4.15
TN1,406241,1573.0,4.65
TN10,571447,1163.0,2.44
TN11,886316,2280.0,3.09
TN12,622778,2443.0,4.71
TN13,919223,2452.0,3.2
TN14,927650,2389.0,3.09
TN15,808656,3630.0,5.39
TN16,691476,2526.0,4.38
TN17,736170,1719.0,2.8
TN18,698539,2321.0,3.99
TN19,775942,2103.0,3.25
TN2,572299,1831.0,3.84
TN20,916595,1279.0,1.67
TN21,725779,1403.0,2.32
TN22,687608,2621.0,4.57
TN23,379195,1432.0,4.53
TN24,368190,1411.0,4.6
TN25,554812,1397.0,3.02
TN26,676255,2227.0,3.95
TN27,723949,2133.0,3.54
TN28,401388,1218.0,3.64
TN29,380458,1114.0,3.51
TN3,1082218,6521.0,7.23
TN30,602830,1949.0,3.88
TN31,522354,1946.0,4.47
TN32,667981,3675.0,6.6
TN33,556972,1605.0,3.46
TN34,401052,1326.0,3.97
TN35,484139,1721.0,4.27
TN36,372332,1100.0,3.55
TN37,321320,1165.0,4.35
TN38,365369,1206.0,3.96
TN39,494133,1285.0,3.12
TN4,557899,2130.0,4.58
TN40,332041,1242.0,4.49
TN5,792364,2621.0,3.97
TN6,655955,2233.0,4.09
TN7,1002172,1650.0,1.98
TN8,693015,1950.0,3.38
TN9,420509,1487.0,4.24
TQ1,378374,1222.0,3.88
TQ10,453092,800.0,2.12
TQ11,436035,1200.0,3.3
TQ12,397354,1140.0,3.44
TQ13,486834,1143.0,2.82
TQ14,453248,1162.0,3.08
TQ2,365275,1171.0,3.85
TQ3,326613,1133.0,4.16
TQ4,282082,1109.0,4.72
TQ5,384214,1077.0,3.36
TQ6,577612,1234.0,2.56
TQ7,642481,1262.0,2.36
TQ8,1280255,1173.0,1.1
TQ9,673812,1512.0,2.69
TR1,458218,1584.0,4.15
TR10,353798,1589.0,5.39
TR11,588318,1985.0,4.05
TR12,571606,1516.0,3.18
TR13,450182,2089.0,5.57
TR14,328678,909.0,3.32
TR15,274663,1063.0,4.64
TR16,403654,1433.0,4.26
TR17,567086,3157.0,6.68
TR18,347223,2940.0,10.16
TR19,485523,1367.0,3.38
TR2,734337,1316.0,2.15
TR20,509274,3015.0,7.1
TR26,583388,1227.0,2.52
TR27,334853,1109.0,3.97
TR3,606650,1619.0,3.2
TR4,521277,1212.0,2.79
TR5,522887,1233.0,2.83
TR6,558437,1416.0,3.04
TR7,427612,1001.0,2.81
TR8,393053,2765.0,8.44
TR9,331616,1195.0,4.32
TS1,125584,585.0,5.59
TS10,225364,866.0,4.61
TS11,204836,1025.0,6.0
TS12,240792,733.0,3.65
TS13,334941,696.0,2.49
TS14,254108,831.0,3.92
TS15,410422,1145.0,3.35
TS16,318430,775.0,2.92
TS17,226640,914.0,4.84
TS18,198615,636.0,3.84
TS19,186647,631.0,4.06
TS20,207290,584.0,3.38
TS21,300904,801.0,3.19
TS22,475131,1272.0,3.21
TS23,153163,711.0,5.57
TS24,132056,636.0,5.78
TS25,129421,538.0,4.99
TS26,226776,637.0,3.37
TS27,262105,663.0,3.04
TS28,178831,578.0,3.88
TS29,149181,576.0,4.63
TS3,97899,657.0,8.05
TS4,138008,695.0,6.04
TS5,194072,767.0,4.74
TS6,171559,885.0,6.19
TS7,335317,1622.0,5.8
TS8,218391,861.0,4.73
TS9,367773,1054.0,3.44
TW1,1070198,3768.0,4.23
TW10,1146026,5401.0,5.66
TW11,844383,2791.0,3.97
TW12,799110,2176.0,3.27
TW13,399004,1704.0,5.12
TW14,400796,1738.0,5.2
TW15,486257,1633.0,4.03
TW16,592394,2248.0,4.55
TW17,682459,2359.0,4.15
TW18,517889,1908.0,4.42
TW19,664783,2347.0,4.24
TW2,680589,2470.0,4.36
TW20,862436,2384.0,3.32
TW3,457734,1875.0,4.92
TW4,506040,1630.0,3.87
TW5,614367,2162.0,4.22
TW7,619487,2306.0,4.47
TW8,588617,2745.0,5.6
TW9,945508,4195.0,5.32
UB1,481533,1916.0,4.77
UB10,659425,1965.0,3.58
UB2,474287,2095.0,5.3
UB3,401788,1866.0,5.57
UB4,444054,1799.0,4.86
UB5,401537,1740.0,5.2
UB6,513765,1895.0,4.43
UB7,402704,1787.0,5.33
UB8,432920,2090.0,5.79
UB9,583925,2810.0,5.77
W1,3582771,8390.0,2.81
W10,1040313,3982.0,4.59
W11,1732478,8844.0,6.13
W12,928927,3204.0,4.14
W13,678112,2552.0,4.52
W14,1468407,4158.0,3.4
W2,1690874,5553.0,3.94
W3,655449,2729.0,5.0
W4,993272,4049.0,4.89
W5,941884,2472.0,3.15
W6,1073089,4576.0,5.12
W7,577787,1953.0,4.06
W8,3447334,10274.0,3.58
W9,1113347,4102.0,4.42
WA1,298293,903.0,3.63
WA10,235285,1109.0,5.66
WA11,227852,771.0,4.06
WA12,264357,1006.0,4.57
WA13,461052,2132.0,5.55
WA14,822097,3385.0,4.94
WA15,892402,3475.0,4.67
WA16,854792,2215.0,3.11
WA2,248938,1129.0,5.44
WA3,359620,987.0,3.29
WA4,457549,1313.0,3.44
WA5,308236,1090.0,4.24
WA6,437254,1210.0,3.32
WA7,238900,726.0,3.65
WA8,326324,989.0,3.64
WA9,241473,847.0,4.21
WC1,1226652,3853.0,3.77
WC2,2061108,6389.0,3.72
WD17,537032,2065.0,4.61
WD18,383600,1873.0,5.86
WD19,608696,2109.0,4.16
WD23,710725,2270.0,3.83
WD24,399859,1513.0,4.54
WD25,626536,2248.0,4.31
WD3,816412,2996.0,4.4
WD4,696811,2276.0,3.92
WD5,603120,2500.0,4.97
WD6,582098,2174.0,4.48
WD7,2440237,6504.0,3.2
WF1,266400,819.0,3.69
WF10,235269,807.0,4.12
WF11,243593,706.0,3.48
WF12,321434,984.0,3.67
WF13,167839,795.0,5.68
WF14,342431,863.0,3.02
WF15,314263,875.0,3.34
WF16,212510,997.0,5.63
WF17,267365,981.0,4.4
WF2,331732,977.0,3.53
WF3,332429,1045.0,3.77
WF4,359433,944.0,3.15
WF5,282781,812.0,3.45
WF6,246528,807.0,3.93
WF7,280932,800.0,3.42
WF8,341318,977.0,3.43
WF9,236760,662.0,3.36
WN1,281424,726.0,3.1
WN2,228186,753.0,3.96
WN3,224033,1146.0,6.14
WN4,234976,867.0,4.43
WN5,262759,785.0,3.59
WN6,281947,818.0,3.48
WN7,211794,811.0,4.6
WN8,308266,807.0,3.14
WR1,326715,813.0,2.99
WR10,454235,1408.0,3.72
WR11,406883,1216.0,3.59
WR12,690953,2044.0,3.55
WR13,565314,2198.0,4.67
WR14,409614,1200.0,3.52
WR15,485918,1667.0,4.12
WR2,433616,761.0,2.11
WR3,391762,1057.0,3.24
WR4,242449,926.0,4.58
WR5,356923,1139.0,3.83
WR6,620851,2150.0,4.16
WR7,688547,1075.0,1.87
WR8,678349,1297.0,2.29
WR9,483295,1220.0,3.03
WS1,267639,954.0,4.28
WS10,223050,1016.0,5.47
WS11,283749,921.0,3.89
WS12,286534,1026.0,4.3
WS13,425793,1386.0,3.91
WS14,550957,1380.0,3.01
WS15,387562,1289.0,3.99
WS2,192941,821.0,5.11
WS3,260883,1014.0,4.66
WS4,286543,944.0,3.95
WS5,396376,1516.0,4.59
WS6,339607,1003.0,3.54
WS7,339696,1004.0,3.55
WS8,272737,1854.0,8.16
WS9,387349,1233.0,3.82
WV1,179681,979.0,6.54
WV10,288890,1036.0,4.3
WV11,273218,1041.0,4.57
WV12,217481,1030.0,5.68
WV13,216080,1026.0,5.7
WV14,227999,953.0,5.02
WV15,586969,1799.0,3.68
WV16,411345,1185.0,3.46
WV2,199506,1010.0,6.08
WV3,315792,1163.0,4.42
WV4,295213,993.0,4.04
WV5,563033,1677.0,3.57
WV6,373040,1512.0,4.86
WV7,384043,1250.0,3.91
WV8,386474,1704.0,5.29
WV9,285600,1173.0,4.93
YO1,439245,1877.0,5.13
YO10,373275,1444.0,4.64
YO11,233919,806.0,4.13
YO12,222320,959.0,5.18
YO13,429127,1029.0,2.88
YO14,256346,924.0,4.33
YO15,224022,620.0,3.32
YO16,210515,701.0,4.0
YO17,339444,1191.0,4.21
YO18,407810,862.0,2.54
YO19,485141,1471.0,3.64
YO21,348884,883.0,3.04
YO22,327923,800.0,2.93
YO23,448817,1775.0,4.75
YO24,377507,1496.0,4.76
YO25,330095,803.0,2.92
YO26,508606,1579.0,3.73
YO30,433611,1320.0,3.65
YO31,358566,1515.0,5.07
YO32,395394,1355.0,4.11
YO41,417285,1436.0,4.13
YO42,351845,1171.0,3.99
YO43,371097,952.0,3.08
YO51,443003,2213.0,5.99
YO60,552982,1200.0,2.6
YO61,524869,1674.0,3.83
YO62,513152,828.0,1.94
YO7,529608,1501.0,3.4
YO8,339523,1012.0,3.58
