outcode,total_households,poverty_pct
CR2,32243,44.1
CR3,28437,43.04
CR4,40443,57.51
CR5,551,40.47
CR6,116,45.69
CR7,1231,55.24
CR8,475,42.53
CR9,140,78.57
CT1,12913,53.11
CT10,12200,53.29
CT11,13671,58.27
CT12,7776,60.87
CT13,4517,51.36
CT14,16222,54.06
CT15,6363,50.59
CT16,10061,59.2
CT17,7687,58.72
CT18,7275,51.68
CT19,12535,57.91
CT2,12444,51.81
CT20,10398,55.31
CT21,7681,52.12
CT3,7521,50.18
CT4,5695,44.79
CT5,14931,50.7
CT6,17291,56.9
CT7,6086,58.38
CT8,3832,57.49
CT9,18613,62.49
CV1,14066,63.6
CV10,24826,54.41
CV11,17006,52.21
CV12,14457,58.49
CV13,4759,44.97
CV2,28275,57.13
CV21,18893,50.3
CV22,14827,45.83
CV23,13683,39.93
CV3,28302,51.96
CV31,15155,47.49
CV32,14318,41.86
CV33,8949,41.51
CV34,15184,42.12
CV35,11313,40.48
CV36,5462,44.03
CV37,19096,43.13
CV4,13242,52.56
CV5,19869,46.12
CV6,34063,57.33
CV7,9269,49.65
CV8,12771,41.05
CV9,8893,55.5
CW1,20479,52.96
CW10,7603,46.61
CW11,12335,42.46
CW12,15319,45.99
CW2,18452,49.4
CW3,5062,45.81
CW4,4367,41.2
CW5,13907,43.73
CW6,5756,39.42
CW7,14394,55.47
CW8,17545,44.49
CW9,14898,47.77
DA1,26771,49.45
DA10,4560,45.77
DA11,16718,55.53
DA12,18643,56.65
DA13,5956,46.83
DA14,11060,51.87
DA15,11489,46.15
DA16,14408,49.65
DA17,8663,53.99
DA18,2226,66.13
DA2,9354,50.95
DA3,7252,47.96
DA4,3461,45.45
DA5,8004,44.9
DA6,4441,49.47
DA7,13160,48.97
DA8,13018,57.55
DA9,5776,42.78
DE1,12122,56.65
DE11,20688,51.81
DE12,9561,50.24
DE13,19920,46.75
DE14,12921,56.25
DE15,10082,52.63
DE2,45395,55.98
DE21,953,38.09
DE22,20432,48.65
DE23,21334,57.28
DE24,2025,38.52
DE3,7845,41.81
DE4,20889,47.96
DE5,35161,51.66
DE55,13992,54.98
DE56,2512,38.54
DE6,18566,44.4
DE65,2091,30.99
DE7,52233,50.51
DE72,117,24.79
DE73,1540,34.16
DE74,252,24.6
DE75,112,36.61
DH1,21303,46.33
DH2,15380,53.17
DH3,11613,51.68
DH4,15391,53.89
DH5,9144,59.11
DH6,15906,57.23
DH7,19177,54.49
DH8,18225,52.19
DH9,17299,60.49
DH98,169,79.29
DL1,24273,56.03
DL10,9731,44.77
DL11,1854,41.59
DL12,6058,49.47
DL13,6661,55.22
DL14,17933,57.45
DL15,10006,57.04
DL16,9830,53.59
DL17,8631,59.51
DL2,8005,40.9
DL3,17817,49.65
DL4,4464,63.66
DL5,12342,56.0
DL6,8825,47.46
DL7,5686,44.21
DL8,8274,45.58
DL9,4551,49.84
DN1,6101,67.1
DN10,6517,46.31
DN11,13299,52.52
DN12,10868,61.92
DN14,22037,50.62
DN15,16200,57.15
DN16,14068,55.59
DN17,15374,55.31
DN18,6166,50.84
DN19,2645,47.83
