outcode,race_ethnicity_total,race_ethnicity_white,race_ethnicity_black,race_ethnicity_asian,race_ethnicity_other,race_ethnicity_two_or_more
CM17,26599,23061,1070,1116,463,889
CM18,26929,22763,1791,1036,451,888
CM19,21898,18355,1323,1197,420,603
CM2,58764,52430,1323,2920,521,1570
CM20,26146,20612,1743,2417,481,893
CM21,10498,9892,116,220,78,192
CM22,19647,18318,200,470,161,498
CM23,42891,38012,792,1894,594,1599
CM24,7588,6999,84,206,83,216
CM3,56133,53674,471,850,212,926
CM4,8950,8509,90,130,48,173
CM5,10256,9779,58,129,66,224
CM6,27535,26171,209,413,136,606
CM7,66547,62445,1044,1320,367,1371
CM8,35832,33258,626,801,271,876
CM9,34119,32983,113,452,120,451
CO1,23511,19305,1062,1584,612,948
CO10,52219,50792,154,433,207,633
CO11,13944,13588,35,72,28,221
CO12,23752,22880,148,241,89,394
CO13,13786,13364,65,153,40,164
CO14,6489,6204,35,106,25,119
CO15,46639,44430,348,754,195,912
CO16,24466,23712,136,220,64,334
CO2,40248,33806,2085,2323,672,1362
CO3,31995,28402,790,1584,408,811
CO4,52434,43463,2463,3864,902,1742
CO5,28837,27886,126,261,106,458
CO6,27512,26602,116,302,98,394
CO7,34127,32674,205,470,210,568
CO8,1424,1404,1,2,2,15
CO9,26512,25659,108,247,101,397
CR0,179496,82540,42656,33196,7476,13628
CR2,82755,52166,9403,13344,2219,5623
CR3,71605,57350,3868,5400,1030,3957
CR4,113458,43168,29878,26680,6186,7546
CR5,1533,901,231,243,36,122
CR6,280,262,2,5,3,8
CR7,3294,984,1300,636,138,236
CR8,1156,700,131,211,41,73
CR9,427,314,50,27,16,20
CT1,33299,26643,1627,2490,1114,1425
CT10,27776,25997,219,713,249,598
CT11,29845,27820,295,660,265,805
CT12,18790,17846,99,344,148,353
CT13,9969,9596,46,117,65,145
CT14,35523,34453,102,390,118,460
CT15,15938,14752,168,665,143,210
CT16,22904,21388,204,616,350,346
CT17,18224,17183,140,356,223,322
CT18,17369,16337,76,520,138,298
CT19,30061,27090,221,1599,460,691
CT2,35296,28856,1859,2508,748,1325
CT20,21813,18768,255,1737,378,675
CT21,16440,15817,82,257,56,228
CT3,18984,17863,220,348,136,417
CT4,13881,13187,95,229,85,285
CT5,33362,31987,143,437,190,605
CT6,39851,38243,171,643,204,590
CT7,12760,12250,62,162,101,185
CT8,8382,7913,58,138,63,210
CT9,43079,38904,751,1241,891,1292
CV1,41048,17523,7690,11620,2516,1699
CV10,59380,54219,1131,2564,384,1082
CV11,40656,33093,650,5556,644,713
CV12,33527,30546,488,1660,299,534
CV13,11044,10755,30,104,24,131
CV2,70230,47165,7421,10826,2275,2543
CV21,44643,36710,1792,4085,621,1435
CV22,37062,32091,811,2703,381,1076
CV23,34824,31534,609,1617,255,809
CV3,72674,49172,6080,13021,2189,2212
CV31,37057,28260,460,6061,1008,1268
CV32,32346,28018,360,2427,437,1104
CV33,21006,19750,119,592,85,460
CV34,34994,29588,345,3427,602,1032
CV35,26454,25332,107,455,128,432
CV36,11943,11635,29,94,42,143
CV37,42702,40037,183,1169,374,939
CV4,36028,26307,2231,5369,913,1208
CV5,45941,40053,998,3185,543,1162
CV6,90745,54705,6685,21592,4461,3302
CV7,22463,19620,283,1632,377,551
CV8,28953,26851,156,1138,191,617
CV9,20653,19955,112,229,63,294
CW1,47856,44699,529,1294,530,804
CW10,17615,17144,44,165,36,226
CW11,27593,26690,110,304,94,395
CW12,34659,33524,124,447,115,449
CW2,43101,39152,410,1783,724,1032
CW3,11373,11067,36,75,27,168
CW4,10261,9887,30,134,42,168
CW5,31718,30536,108,418,136,520
CW6,13496,13183,15,110,30,158
CW7,34425,33091,138,561,182,453
CW8,40462,39058,160,531,156,557
CW9,34352,32871,117,706,189,469
DA1,68622,47994,8417,8145,1697,2369
DA10,11707,8662,1482,941,165,457
DA11,42995,30054,3444,6342,1910,1245
DA12,48078,36841,3514,5196,1184,1343
DA13,14801,13945,134,397,109,216
DA14,26082,21468,1430,1725,452,1007
DA15,29684,25277,1099,1881,571,856
DA16,39101,27522,2857,6045,1381,1296
DA17,22513,13858,4188,2737,723,1007
DA18,6051,2423,2724,448,171,285
DA2,24278,19657,1873,1726,405,617
DA3,17726,16611,200,516,115,284
DA4,8245,7819,87,141,45,153
DA5,20496,17207,810,1649,249,581
DA6,11140,8541,607,1299,278,415
DA7,33638,26191,1890,3811,758,988
DA8,34822,21152,8364,2997,894,1415
DA9,13739,10415,1530,1040,276,478
DE1,26805,20354,1714,2683,829,1225
DE11,47936,46493,162,511,113,657
DE12,22309,21675,79,209,62,284
DE13,47161,42951,385,2464,390,971
DE14,32552,21873,717,8231,732,999
DE15,23611,22120,162,614,150,565
DE2,108630,92980,3237,7154,1835,3424
DE21,2424,2188,59,81,21,75
DE22,47340,40691,1447,2970,730,1502
DE23,63679,26301,3626,26818,4026,2908
DE24,5229,3790,217,815,151,256
DE3,18331,15362,410,1795,259,505
DE4,45455,44593,71,249,133,409
DE5,78302,76378,226,592,168,938
DE55,31496,30670,144,285,70,327
DE56,6043,5744,13,132,31,123
DE6,43548,42082,179,610,106,571
DE65,5346,4883,64,199,39,161
DE7,118229,113546,627,1878,459,1719
DE72,311,294,1,3,5,8
DE73,4444,3367,137,645,132,163
DE74,625,601,1,2,4,17
DE75,323,316,0,4,2,1
DH1,58095,51425,544,3705,888,1533
DH2,33195,32339,79,385,115,277
DH3,25679,24681,87,493,183,235
DH4,35030,34223,101,351,106,249
DH5,20275,19816,109,143,58,149
DH6,34684,33839,116,387,83,259
DH7,41320,40071,221,484,151,393
DH8,40221,39469,44,290,96,322
DH9,37438,36653,75,372,122,216
DH98,294,260,8,15,3,8
DL1,53160,50204,425,1270,528,733
DL10,21534,21081,85,136,72,160
DL11,3964,3906,6,16,9,27
DL12,13082,12792,74,77,17,122
DL13,14203,14004,16,86,19,78
DL14,38986,38113,139,379,66,289
DL15,22171,21785,35,137,57,157
DL16,21360,20898,66,184,45,167
DL17,18020,17697,53,130,45,95
DL2,18720,18084,87,259,66,224
DL3,38470,35910,195,1481,339,545
DL4,9299,9139,36,48,25,51
DL5,27514,26931,40,210,117,216
DL6,19337,18882,49,192,61,153
DL7,13213,12970,25,60,40,118
DL8,17727,17491,24,81,34,97
DL9,14111,11960,325,1159,441,226
DN1,13064,9658,702,1498,870,336
DN10,14737,14344,47,161,36,149
DN11,30439,29501,231,264,114,329
DN12,24843,24159,171,182,110,221
DN14,51180,50124,109,293,188,466
DN15,39159,33251,463,3896,937,612
DN16,32318,30928,134,714,167,375
DN17,35448,34428,85,475,132,328
DN18,13719,13417,29,113,39,121
DN19,6150,6055,7,22,5,61
DN2,25834,22079,501,1904,778,572
DN20,19229,18792,43,221,44,129
DN21,39543,38380,138,436,146,443
DN22,37630,36285,234,496,125,490
DN3,30219,29086,160,456,131,386
DN31,13925,13197,121,318,122,167
DN32,26493,25352,184,416,228,313
DN33,21535,20462,190,524,121,238
DN34,16495,15915,106,182,126,166
DN35,32867,31790,96,422,199,360
DN36,20602,19886,90,322,94,210
DN37,26987,26337,75,264,117,194
DN38,2696,2651,1,26,5,13
DN39,2977,2936,3,9,5,24
DN4,52349,45762,1142,3044,1226,1175
DN40,11092,10868,19,78,60,67
DN41,331,318,0,11,0,2
DN5,41316,39734,295,584,172,531
DN6,29247,28380,198,270,75,324
DN7,23703,22610,192,508,110,283
DN8,18865,18383,75,140,111,156
DN9,19840,19179,70,261,37,293
DT1,22157,20857,144,658,124,374
DT10,12260,12052,19,53,53,83
DT11,30096,28899,119,616,148,314
DT2,25273,24773,33,152,49,266
DT3,26390,25733,38,245,77,297
DT4,36073,34868,81,457,151,516
DT5,13105,12633,124,107,60,181
DT6,22304,21783,29,180,68,244
DT7,6049,5928,11,36,15,59
DT8,5878,5756,5,41,20,56
DT9,20589,19954,53,299,56,227
DY1,40373,29530,2826,5690,674,1653
DY10,40861,38243,232,1449,200,737
DY11,31565,30513,124,387,130,411
DY12,14222,13934,23,83,20,162
DY13,21558,21075,42,153,48,240
DY14,9471,9316,14,34,17,90
DY2,32938,23204,1626,6086,710,1312
DY3,36695,34495,443,833,139,785
DY4,48795,34096,3263,8670,1048,1718
DY5,43518,38834,641,2540,342,1161
DY6,30095,28742,139,627,104,483
DY7,7490,7233,31,84,37,105
DY8,48492,45542,341,1462,191,956
DY9,28286,22340,351,4513,381,701
E1,98305,35520,5603,48871,3892,4419
E10,53377,23031,9070,14582,3611,3083
E11,56998,32152,7225,11404,2436,3781
E12,44341,9169,5994,25780,1927,1471
E13,57206,16412,10679,24468,3091,2556
E14,108545,41905,8380,48300,4558,5402
E15,60845,24737,12351,16526,3273,3958
E16,60038,25383,14467,13671,2775,3742
E17,110461,56954,16586,23213,6350,7358
E18,20805,12550,1211,4905,848,1291
E1W,997,347,100,439,65,46
E2,49711,23119,5108,16371,2462,2651
E20,7991,3827,1234,2001,456,473
E3,64621,27283,5842,25641,2224,3631
E4,67375,42800,8234,7997,3961,4383
E5,54019,25924,13303,7001,4393,3398
E6,81374,22191,11272,40719,4177,3015
E7,49440,11782,6942,26744,1991,1981
E8,47277,25300,10152,4588,3817,3420
E9,36402,16453,11168,3513,2528,2740
EC1A,3093,2034,88,587,200,184
EC1M,2684,1816,136,456,121,155
EC1N,2699,1449,266,661,158,165
EC1R,6220,3822,733,705,543,417
EC1V,18731,10823,2315,2853,1490,1250
EC1Y,3968,2548,451,419,314,236
EC2A,1167,903,23,141,45,55
EC2P,396,248,3,103,14,28
EC2Y,1634,1355,11,135,57,76
EC3N,259,169,4,61,12,13
EC4A,191,78,2,87,9,15
EC4Y,223,121,9,69,14,10
EN1,53175,31539,7798,4759,5494,3585
EN10,19788,16617,1186,654,588,743
EN11,23190,21008,617,493,422,650
EN2,29265,20940,2065,2285,2128,1847
EN3,61972,24999,17425,7061,8873,3614
EN4,31563,20961,1649,4120,2891,1942
EN5,39852,27034,2755,5698,2149,2216
EN6,29720,23630,1163,2547,1200,1180
EN7,22771,18667,1068,949,1141,946
EN8,36678,26944,3832,1675,2494,1733
EN9,23542,19846,1264,722,729,981
EX1,33864,30045,345,2011,540,923
EX10,19034,18531,32,205,62,204
EX11,9982,9698,17,85,34,148
EX12,10425,10108,26,154,33,104
EX13,17399,16959,22,183,41,194
