outcode,Managers,Professionals,Assosiates,Administrative,Skilled Trades,Caring and Leisure,Sales and customer Service,Process Plant & Machine,Elementry
PE11,2417,2522,2090,2137,2926,1919,1650,4315,3967
PE12,2482,2072,1795,1716,2773,1991,1441,2460,2355
PE13,1675,1556,1499,1248,2270,1744,1312,3394,3117
PE14,1477,1199,1105,953,1703,1160,824,1112,1061
PE15,1623,1688,1738,1323,1846,1639,1038,1624,1658
PE16,567,720,739,517,715,579,384,702,592
PE17,4619,6375,4847,3545,3455,2515,2098,2095,2460
PE18,3967,5838,3962,2598,2393,2370,1811,2130,2733
PE19,2972,4158,3021,2102,2211,1795,1478,1513,1742
PE2,2672,4290,3224,2597,2467,2448,2325,2615,4111
PE20,880,891,696,674,987,760,574,1056,962
PE21,1592,2300,1477,1566,2241,2305,1789,4803,4798
PE22,745,894,567,644,1015,730,499,698,793
PE23,508,465,330,281,549,437,246,308,374
PE24,595,347,322,338,630,484,399,349,512
PE25,1026,581,598,577,983,1125,1076,769,1465
PE27,14,34,25,15,11,9,10,11,10
PE28,209,310,265,144,87,96,74,66,87
PE29,100,236,125,101,42,77,55,80,72
PE3,1322,2656,1394,1188,1094,1458,1356,1661,2645
PE30,1900,3444,2093,1825,2738,2712,1886,3129,3536
PE31,1181,1046,808,661,1241,836,546,474,834
PE32,976,1017,769,678,1010,724,479,497,686
PE33,1027,963,1204,721,1053,693,494,528,629
PE34,724,804,619,579,932,685,461,540,617
PE36,307,200,179,155,241,217,165,85,230
PE37,509,578,461,403,607,550,428,417,511
PE38,740,929,737,611,843,659,506,602,756
PE4,1387,2029,1690,1476,1523,1436,1339,1388,1937
PE5,135,140,90,62,62,33,22,25,39
PE6,2754,3569,2663,1997,2080,1660,1263,1131,1489
PE7,3042,4339,3331,2468,2466,2137,1835,1870,2275
PE8,1493,1751,1288,786,848,555,389,376,691
PE9,2619,3029,2114,1236,1554,1232,968,755,1306
PL1,1242,2442,1769,1063,1523,1594,1349,1206,1899
PL10,233,271,254,124,219,153,106,115,153
PL11,520,716,655,421,572,516,289,246,536
PL12,1323,1897,1318,949,1409,959,791,604,874
PL13,654,595,402,341,798,487,370,299,514
PL14,1295,1562,1093,884,1838,1287,884,857,1131
PL15,1237,1313,901,764,1865,1221,792,1020,1074
PL16,53,68,43,34,73,36,20,37,50
PL17,554,650,461,380,714,431,300,440,464
PL18,303,428,281,180,392,209,147,165,214
PL19,908,1325,804,546,976,659,504,334,642
PL2,1219,2333,1907,1479,2175,1926,1416,1253,1866
PL20,773,1218,688,478,849,517,313,274,496
PL21,1539,2258,1273,975,1498,886,710,535,767
PL22,298,332,218,129,342,196,109,106,183
PL23,248,215,160,102,226,114,108,75,130
PL24,530,640,450,434,765,644,382,428,579
PL25,1479,1680,1419,1275,1799,1469,1238,983,1463
PL26,1468,1503,1165,1085,2331,1488,1062,1313,1460
PL27,948,852,640,450,1011,523,462,281,615
PL28,271,188,152,117,327,196,161,109,257
PL29,126,96,85,36,161,56,60,36,92
PL3,1550,3137,1910,1413,1699,1492,1129,890,1319
PL30,687,659,461,367,947,434,283,332,448
PL31,655,769,567,484,1019,925,630,723,1049
PL32,238,218,149,120,303,198,143,153,224
PL33,94,87,78,62,197,124,82,75,111
PL34,96,73,77,41,108,59,65,44,76
PL35,50,42,29,11,56,34,34,16,23
PL4,983,2440,1687,971,1540,1488,1703,1118,1935
PL5,1460,2399,2249,1844,2896,2720,1937,1801,2628
PL6,1743,3108,2645,2030,2397,2092,1542,1352,1866
PL7,1716,2844,2221,1689,2122,1618,1335,983,1232
PL8,369,562,257,149,290,153,119,110,123
