outcode,Managers,Professionals,Assosiates,Administrative,Skilled Trades,Caring and Leisure,Sales and customer Service,Process Plant & Machine,Elementry
WV14,1645,2462,2009,1986,2474,2294,2010,2617,3184
WV15,781,769,576,422,560,378,281,301,393
WV16,1236,1361,904,702,1122,633,484,437,698
WV2,586,1055,690,592,786,959,725,1152,1579
WV3,1490,2879,1700,1278,1231,1254,910,1077,1458
WV4,1516,2647,1638,1440,1397,1334,1003,1278,1459
WV5,916,1202,856,706,714,502,364,322,460
WV6,2514,4061,2450,1973,1741,1741,1376,1542,2051
WV7,390,480,435,236,301,213,161,108,225
WV8,741,1381,854,680,668,582,429,435,587
WV9,332,560,404,372,328,311,232,269,265
YO1,2523,5820,2984,1686,1704,1858,2098,990,2520
YO10,6,61,28,19,9,11,15,4,18
YO11,1378,1485,1258,910,1890,1592,1150,1201,1790
YO12,1713,2363,1782,1285,2384,2072,1475,1252,2123
YO13,630,723,451,347,627,366,288,204,335
YO14,535,500,347,336,664,499,371,296,515
YO15,812,681,545,464,952,878,596,525,892
YO16,810,773,700,600,1162,1115,822,748,1182
YO17,1659,1724,1363,1014,1907,1252,910,1143,1396
YO18,701,737,460,395,855,499,301,302,550
YO19,723,952,495,339,342,243,251,159,216
YO2,4231,8122,4379,2852,3137,2857,2394,1782,3239
YO21,908,908,549,409,1143,797,549,495,857
YO22,386,356,254,171,549,320,268,269,459
YO23,103,108,50,40,40,21,28,17,29
YO24,41,86,30,21,8,15,16,5,6
YO25,2069,2418,1811,1269,2076,1531,1046,1103,1709
YO26,799,874,516,343,425,272,215,140,254
YO3,4628,8821,4921,3468,3735,3570,3545,2099,4109
YO30,223,316,182,112,217,127,93,85,133
YO31,30,113,67,29,21,21,27,14,38
YO4,3155,3781,2504,1741,2330,1534,1163,1138,1642
YO42,59,113,60,51,49,52,48,25,43
YO43,64,109,75,48,47,53,30,22,39
YO5,504,489,381,312,322,223,225,160,249
YO6,2317,2462,1574,1142,2205,1206,801,625,1276
YO61,25,26,16,20,31,5,7,12,17
YO7,1507,1614,1302,903,1355,773,642,649,994
YO8,3023,3806,3054,2070,2715,2086,1954,2231,2504
