outcode,Average Income,Median Income,Per Capita Income
NE15,35975.41,34800.0,24099.93
NE16,41445.71,39900.0,16738.1
NE17,37626.37,34300.0,1595.23
NE18,59306.33,60100.0,1057.12
NE19,42436.25,40800.0,2175.54
NE2,39077.07,40900.0,188324.31
NE20,52796.51,50200.0,9749.05
NE21,36118.72,36800.0,7835.32
NE22,37198.21,34100.0,1205950.36
NE23,38584.56,37800.0,14404.17
NE24,34293.23,34600.0,22098.83
NE25,42471.99,42000.0,13341.96
NE26,46815.65,46800.0,10516.29
NE27,40486.54,41300.0,5070.86
NE28,34038.77,32600.0,13104.22
NE29,34132.72,32400.0,17490.23
NE3,50372.31,56100.0,23942.68
NE30,43172.74,45000.0,6792.78
NE31,35712.68,34800.0,8589.6
NE32,31727.77,30500.0,19710.47
NE33,31342.29,28900.0,7613.42
NE34,32704.89,30600.0,14799.87
NE35,35875.16,34700.0,4098.83
NE36,43494.47,42800.0,2126.88
NE37,34202.28,35000.0,6732.42
NE38,38985.01,38900.0,11476.11
NE39,38070.08,40500.0,9220.76
NE4,32115.43,31100.0,336966.86
NE40,40908.13,40700.0,1363807.86
NE41,47526.32,49100.0,58797.67
NE42,41692.55,40400.0,196942.44
NE43,48735.58,50100.0,75308.43
NE44,50022.45,50100.0,1268.53
NE45,49982.76,50100.0,25114.65
NE46,44096.22,42800.0,10021.42
NE47,41669.02,42500.0,3736.69
NE48,40954.86,40800.0,1646.93
NE49,36900.0,36900.0,1510.75
NE5,35888.32,35100.0,20456.69
NE6,32320.75,31000.0,13809.96
NE61,44392.76,43800.0,139566.17
NE62,34214.0,34100.0,3183.75
NE63,33920.33,33700.0,14902.82
NE64,29775.46,29500.0,1909.54
NE65,40958.85,38800.0,6979.69
NE66,41612.68,42900.0,10136.57
NE67,37848.85,36500.0,712.87
NE68,36478.81,36500.0,4088.51
NE69,36500.0,36500.0,248.14
NE7,49832.35,47700.0,6947.2
NE70,36616.79,36500.0,1666.16
NE71,36495.26,36500.0,1727.21
NE8,36554.32,38500.0,15070.21
NE9,38611.64,37900.0,11344.28
NG1,34992.3,30300.0,22551.01
NG10,38383.31,38500.0,16110.69
NG11,39031.12,33900.0,13216.16
NG12,48097.22,46600.0,38017.45
NG13,47504.74,46700.0,38640.26
NG14,46826.24,48200.0,16437.02
NG15,40145.17,39700.0,67717.01
NG16,37644.59,37500.0,57999.04
NG17,35403.72,36600.0,67692.15
NG18,39502.15,36200.0,44484.35
NG19,37359.67,37100.0,119093.88
NG2,45966.48,43600.0,54098.46
NG20,35303.41,34600.0,19370.36
NG21,38838.71,37100.0,11750.54
NG22,40884.77,41300.0,41890.08
NG23,45171.45,45100.0,24068.34
NG24,39707.72,37500.0,32539.38
NG25,45345.29,45600.0,6434.5
NG3,36692.78,36700.0,19446.83
NG31,41108.0,44300.0,20491.78
NG32,44321.2,45100.0,4096.96
NG33,44143.77,44300.0,4463.76
NG34,40897.62,41200.0,45050.87
NG4,39833.0,40800.0,14380.86
NG5,39857.03,40100.0,169996.55
NG6,33622.55,33800.0,36391.34
NG7,33906.77,32200.0,24467.79
NG8,37975.43,35100.0,65065.62
NG9,43801.41,42400.0,110645.23
NN1,40199.27,42000.0,168459.17
NN10,41317.83,41600.0,7923.93
NN11,44035.17,46600.0,27253.12
NN12,49842.3,51500.0,15920.32
NN13,50065.21,49700.0,14030.94
NN14,44550.67,45800.0,24681.41
NN15,43035.23,42300.0,26705.28
NN16,41408.31,40900.0,9299.21
NN17,43519.25,44800.0,9737.08
NN18,42600.13,44500.0,9339.02
NN2,40761.42,40200.0,20346.83
NN29,42766.97,42200.0,5575.67
NN3,43709.71,43100.0,850019.24
NN4,46771.14,46500.0,37021.56
NN5,42954.93,42100.0,46609.86
NN6,48003.84,50900.0,34277.79
NN7,46675.3,46600.0,13420.47
NN8,41372.28,40900.0,36149.87
NN9,42462.39,42200.0,9222.73
NP16,51937.5,52000.0,21351.16
NP25,48859.46,48400.0,18277.15
NP7,43000.0,43000.0,10407.9
NR1,40653.07,42100.0,18149.37
NR10,43961.1,43700.0,10086.77
NR11,40518.93,40900.0,16808.64
NR12,40229.64,40200.0,11035.68
NR13,45396.62,45200.0,35929.27
NR14,47995.63,50000.0,14933.79
NR15,47023.83,46000.0,14431.32
NR16,46135.19,46000.0,6571.52
NR17,45753.6,44900.0,14028.77
NR18,45362.19,47300.0,81498.17
NR19,40364.23,38900.0,388402.74
NR2,41888.18,38100.0,143660.04
NR20,44085.82,45500.0,12826.42
NR21,39546.54,39400.0,26674.01
NR22,39441.89,39400.0,648.74
NR23,40969.23,41100.0,3298.63
NR24,41297.45,41500.0,2057.77
NR25,40219.45,39700.0,4124.4
NR26,40079.3,40000.0,4839.25
NR27,37004.51,35600.0,12074.98
NR28,38734.5,37700.0,18142.69
NR29,39161.39,40200.0,8067.55
NR3,39529.97,41100.0,16818.76
NR30,32987.61,32600.0,9587.36
NR31,36702.67,38100.0,42574.56
NR32,34691.98,34200.0,25605.18
NR33,35465.23,36000.0,27664.11
NR34,39889.25,41100.0,13431.98
NR35,41326.28,41800.0,3866.23
NR4,48488.2,52600.0,66494.94
NR5,41416.6,38500.0,80733.4
NR6,42333.97,42300.0,20112.3
NR7,43746.08,42100.0,20523.05
NR8,48317.76,48800.0,53906.35
NR9,48469.27,47300.0,9268.51
NW1,57490.53,51300.0,107165.9
NW10,47431.59,45200.0,1027865.88
NW11,60070.2,60100.0,68293.53
NW2,52965.18,52000.0,295605.11
NW3,82110.6,88400.0,1217124.36
NW4,53040.41,51700.0,223753.37
NW5,56964.37,52200.0,38211.0
NW6,58244.69,57400.0,237730.04
NW7,61768.51,60800.0,214883.9
NW8,63343.38,67100.0,245954.59
NW9,53698.8,51600.0,29121.46
OL1,31977.02,32600.0,7538.6
OL10,35936.47,36000.0,12450.03
OL11,37507.17,37400.0,89969.14
OL12,37375.94,38400.0,25719.98
OL13,37381.64,37600.0,51266.04
OL14,35447.07,34300.0,12972.55
OL15,41251.68,38400.0,16062.92
OL16,34203.63,32700.0,455891.72
OL2,38533.62,37400.0,407014.23
OL3,48444.34,48000.0,1029741.26
OL4,37755.97,35200.0,45206.3
OL5,41428.67,41800.0,112461.02
OL6,34281.17,35200.0,166094.51
OL7,32282.14,29900.0,6992.17
OL8,34697.75,33400.0,15464.31
OL9,36511.56,35200.0,23453.39
OX1,54864.71,50300.0,9404.82
OX10,60987.85,56700.0,18214.53
OX11,64358.92,64800.0,31493.18
OX12,56640.83,55500.0,32392.85
OX13,65223.38,66300.0,21291.58
OX14,59912.99,56400.0,23101.91
OX15,55687.61,51700.0,8425.88
OX16,52423.89,51600.0,15044.44
OX17,53481.47,51400.0,6777.57
OX18,57344.22,53800.0,12886.32
OX2,67406.83,69600.0,18243.73
OX20,61457.46,61400.0,6567.77
OX25,64254.03,62200.0,14777.53
OX26,64512.89,62200.0,32827.7
OX27,64258.45,67400.0,9868.78
OX28,52502.51,50200.0,14325.89
OX29,56431.15,55600.0,68739.32
OX3,65881.12,73900.0,21607.85
OX33,60304.53,58100.0,3723.87
OX39,59808.7,59900.0,17677.42
OX4,57733.73,56600.0,140053.21
