outcode,Single,Married,Seperated,Divorced,Widowed
ST1,12352,11293,784,2518,1462
ST10,6440,11846,435,1997,1635
ST11,2439,4709,152,785,667
ST12,1307,2647,113,454,400
ST13,7366,10691,505,2328,1745
ST14,6409,8611,385,1735,1284
ST15,5912,10172,436,2057,1355
ST16,11388,12377,787,3253,1850
ST17,9576,15243,687,3141,2111
ST18,3463,8124,225,1272,978
ST19,3659,7368,281,1167,1082
ST2,11070,11948,813,2974,2379
ST20,1733,3764,103,637,469
ST21,1091,2330,93,446,306
ST3,19474,24050,1454,5155,3820
ST4,20150,18246,1142,4369,2687
ST5,26734,28616,1468,6310,4691
ST6,20378,21365,1406,5166,3629
ST7,13765,22749,913,4280,3492
ST8,4609,7515,344,1473,1319
ST9,1987,4525,107,588,716
SW10,8072,5324,448,1561,633
SW11,41955,21153,1297,4666,1918
SW12,18451,9114,432,1535,843
SW13,4846,7146,307,1230,646
SW14,4410,7064,210,979,482
SW15,27665,19135,1056,3876,1974
SW16,34163,24177,1652,4852,2504
SW17,30715,16595,866,3035,1696
SW18,27956,19899,937,3143,1330
SW19,27905,27049,1112,4278,2299
SW1A,1174,605,24,128,54
SW1E,1239,756,31,138,42
SW1H,449,281,15,79,39
SW1P,5932,3301,244,949,345
SW1V,10271,5157,509,1442,700
SW1W,2755,2232,142,666,402
SW1X,2242,2171,88,374,195
SW1Y,193,60,4,13,3
SW2,30329,10383,1158,3208,1140
SW20,7778,10499,351,1512,986
SW3,7201,6256,289,1441,690
SW4,23650,7834,767,2069,800
SW5,7540,3974,254,1073,363
SW6,31131,18784,1099,3982,1763
SW7,5878,3960,180,765,338
SW8,19123,6725,785,2126,798
SW9,23724,6916,1012,2316,893
SY1,10487,9472,686,2780,1379
SY10,5212,9794,304,1642,1381
SY11,6828,8977,498,2254,1505
SY12,2007,3754,125,716,542
SY13,5437,9374,383,1713,1329
SY14,1259,2393,84,410,330
SY15,1883,3553,127,634,516
SY16,4702,5846,321,1376,945
SY17,892,1685,41,313,211
SY18,1087,1596,106,397,313
SY19,230,432,14,68,53
SY2,5474,7044,312,1867,1262
SY20,1944,2616,112,614,388
SY21,4645,6999,255,1439,1172
SY22,1558,2434,88,480,374
SY23,12443,8780,364,1874,1421
SY24,1222,1726,80,364,271
SY25,857,1235,39,294,221
SY3,9290,14601,580,2987,2269
SY4,5996,11058,347,1852,1489
SY5,4931,9564,297,1620,1133
SY6,1726,4222,135,692,695
SY7,2300,4487,160,781,590
SY8,4256,7698,276,1526,1343
SY9,562,731,42,207,163
TA1,12889,16221,866,4093,2644
TA10,2430,5051,151,962,708
TA11,2037,4007,126,713,645
TA12,1444,2630,105,582,392
TA13,948,2057,83,461,329
TA14,791,1474,60,324,202
TA15,101,206,13,47,33
TA16,445,891,40,199,168
TA17,136,390,12,54,43
TA18,2292,3895,199,924,583
TA19,2804,5623,210,1123,909
TA2,8845,11021,611,2772,1401
TA20,5312,8660,395,1876,1346
TA21,5379,8983,420,1998,1380
TA22,517,1125,33,243,214
TA23,1560,3104,135,744,539
TA24,4247,7060,334,1641,1496
TA3,2544,6219,200,1017,821
TA4,3941,7895,318,1603,1069
TA5,2951,5518,226,1053,742
TA6,16159,18162,1162,4644,2577
TA7,3128,7018,212,1162,868
TA8,3838,7325,366,1659,1568
TA9,3204,4805,261,1162,676
TD12,264,692,42,96,88
TD15,4041,6399,345,1374,1249
TF1,13902,17125,948,4005,2313
TF10,6398,9498,356,1820,1390
TF11,4498,5070,306,1088,620
TF12,1496,2492,102,511,364
TF13,765,1713,45,298,273
TF2,11116,14197,770,3148,1828
TF3,8884,9289,628,2345,1093
TF4,5828,6629,382,1615,810
TF5,1210,2278,74,347,208
TF6,750,1760,41,284,270
TF7,6240,5995,490,1766,933
TF8,143,257,11,71,37
TF9,6330,9894,356,1829,1367
TN1,5525,5114,358,1358,542
TN10,4348,7450,252,1326,1156
TN11,4211,8621,287,1288,973
TN12,7430,12991,502,2166,1617
TN13,6211,11890,408,1644,1275
TN14,3675,7073,225,1070,819
TN15,4946,9781,351,1625,1352
TN16,4874,7858,327,1335,936
TN17,3339,6321,263,1145,834
TN18,1667,3188,103,654,433
TN19,1308,2750,99,469,297
TN2,7248,11570,469,2059,1506
TN20,873,2087,84,363,243
TN21,3662,7259,254,1373,990
TN22,6070,11279,457,2128,1451
TN23,14258,16340,885,3465,1689
TN24,9943,13482,605,2660,1669
TN25,3614,7390,257,1239,874
TN26,3008,6077,222,993,832
TN27,2504,4921,193,903,690
TN28,2127,4072,147,793,756
TN29,2884,5005,231,1095,951
TN3,3016,7190,175,1049,829
TN30,2161,4334,165,784,774
TN31,3417,6180,278,1304,1082
TN32,1029,2049,81,404,255
TN33,2859,5314,218,1096,805
TN34,11350,11054,843,3591,1970
TN35,4757,6290,328,1494,919
TN36,543,941,39,224,219
TN37,7357,6528,547,2339,949
TN38,7660,7671,588,2572,1286
TN39,6963,11832,533,2732,2442
TN4,6814,9884,416,2038,1122
TN40,4089,5522,329,1779,1580
TN5,1758,3579,124,686,485
TN6,5574,11008,367,1970,1488
TN7,378,902,26,139,88
TN8,3314,4835,229,878,618
TN9,4788,5717,290,1286,740
TQ1,11151,12094,846,4330,2530
TQ10,972,1755,70,363,267
TQ11,1375,1974,78,479,278
TQ12,16286,24237,1110,5993,3521
TQ13,4430,8547,370,1930,1376
TQ14,4503,8085,396,1980,1486
TQ2,9599,11855,674,3267,1746
TQ3,9329,12715,653,3401,2162
TQ4,4585,8299,354,1987,1601
TQ5,4302,8078,318,1995,1546
TQ6,1982,3723,152,844,604
TQ7,3848,7769,326,1692,1213
TQ8,397,679,33,156,116
TQ9,4523,6537,281,1690,1014
TR1,7446,8580,415,2208,1517
TR10,6646,4944,198,1148,662
TR11,11131,10541,420,2427,1792
TR12,2260,4303,138,893,696
TR13,4746,8702,332,1886,1177
TR14,8671,11078,584,3030,1763
TR15,6744,8072,510,2412,1270
TR16,3877,6230,227,1436,919
TR17,625,951,38,259,163
TR18,6401,6754,426,2701,1418
TR19,2258,3877,143,942,613
TR2,2443,4252,161,880,644
TR20,1741,3407,107,721,481
TR21,342,723,28,132,118
TR22,41,81,4,11,10
TR24,65,55,3,8,2
TR25,25,71,0,7,11
TR26,2855,4442,210,1155,809
TR27,3740,5256,251,1315,891
TR3,2613,5401,150,930,762
TR4,2790,4411,198,892,527
TR5,933,1526,54,300,229
TR6,989,1403,67,358,264
TR7,7531,8088,427,2221,1218
TR8,2524,4036,164,837,523
TR9,2029,2715,145,610,424
TS1,9851,4959,560,1340,672
TS10,11453,13081,776,3495,2435
TS11,2760,4815,206,988,912
TS12,6209,8645,433,1962,1430
TS13,2959,3560,191,876,656
TS14,4648,7906,363,1560,1213
TS15,3367,7061,255,1131,869
TS16,2656,5035,189,885,656
TS17,14015,17316,949,3309,1967
TS18,9483,9549,633,2105,1267
TS19,10654,11427,684,2749,2176
TS2,395,211,36,88,33
TS20,6261,6756,481,1694,1260
TS21,2963,5222,216,939,715
TS22,2074,5535,140,664,702
TS23,8203,9606,590,2386,1590
TS24,9010,7044,668,2187,1407
TS25,12063,13504,740,2961,2424
TS26,6273,8633,385,1665,1261
TS27,2793,3965,215,848,728
TS28,1712,1782,116,422,286
TS29,1739,1999,107,509,362
TS3,11909,6699,726,2086,1454
TS4,6900,5130,390,1238,873
TS5,10681,13829,630,2337,2104
TS6,9701,9309,638,2271,1779
TS7,5930,10248,313,1495,1542
TS8,6034,6540,408,1719,1160
TS9,2570,5696,188,947,938
TW1,10022,11808,441,1902,983
TW10,5716,7979,415,1387,798
TW11,7117,9734,396,1613,900
TW12,6248,9376,338,1652,1039
TW13,12267,14189,866,2591,1301
TW14,10305,12190,697,2036,1280
TW15,8594,12298,535,2172,1596
TW16,6060,8675,407,1545,1066
TW17,3363,5579,198,1055,872
TW18,7941,10674,472,2012,1226
