outcode,Christian,Buddhist,Hindu,Muslim,Others,None
M22,21793,155,596,2737,376,2289
M23,16311,130,334,1930,326,1623
M24,32024,106,165,1981,365,2625
M25,23031,155,365,4716,9637,3159
M26,18326,102,102,1498,875,1713
M27,25003,140,216,1304,328,2129
M28,32457,206,524,1322,421,2727
M29,27730,132,145,515,182,2216
M3,5392,171,227,1456,316,1094
M30,30468,145,287,3092,505,2811
M31,27350,155,284,942,402,2391
M32,12007,109,229,3911,838,1486
M33,30067,255,1647,2882,745,3097
M34,25772,146,310,1642,212,2098
M35,25286,127,175,1182,154,1944
M4,3604,108,324,782,246,940
M40,708,4,10,145,5,126
M41,112,2,0,4,0,7
M43,406,5,0,11,5,40
M44,582,8,11,43,6,38
M46,729,8,10,16,6,61
M5,10848,150,481,1817,282,1980
M50,973,15,61,222,44,252
M6,15355,120,256,1867,317,2032
M7,11129,151,130,3850,10165,3530
M8,6493,130,211,19902,1543,1657
M9,21870,181,136,4502,369,1951
ME1,15728,161,434,1180,1328,2000
ME10,25600,126,291,623,328,2713
ME11,2131,9,15,18,36,247
ME12,19060,133,133,657,297,2130
ME13,14110,93,61,152,195,1646
ME14,18943,567,1012,934,465,2284
ME15,25723,425,632,1471,458,3168
ME16,16363,212,690,667,324,1999
ME17,13516,74,55,169,180,1353
ME18,4232,31,22,20,37,378
ME19,13265,92,192,267,194,1510
ME2,19244,157,442,692,1224,2143
ME20,10426,61,101,134,123,1161
ME3,14299,72,118,304,473,1598
ME4,14647,150,607,1792,1013,2058
ME5,24223,127,387,897,717,2623
ME6,4964,39,45,88,65,527
ME7,22271,256,922,2266,1117,3177
ME8,23619,118,373,638,701,2500
ME9,10503,47,98,74,126,1112
MK1,5212,62,489,1128,150,660
MK10,9960,155,1898,2132,429,1568
MK11,4734,60,434,718,124,647
MK12,6837,90,294,2240,163,930
MK13,7136,62,689,1031,233,976
MK14,8857,82,695,1685,253,1169
MK15,3173,53,261,285,138,407
MK16,9419,32,246,265,185,1122
MK17,11002,77,291,376,199,1222
MK18,17596,134,307,397,322,1958
MK19,5548,47,247,143,143,669
MK2,6002,51,291,1938,131,854
MK3,11708,95,616,1264,268,1418
MK4,10151,180,1882,1471,480,1416
MK40,18293,166,790,6870,1249,2838
MK41,21931,121,676,1564,1213,2421
MK42,25434,206,1320,4179,3123,3191
MK43,19985,179,470,814,752,2201
MK44,9104,55,55,74,158,965
MK45,24666,123,314,286,560,2491
MK46,4447,36,44,39,67,544
MK5,6177,72,1372,1011,335,908
MK6,12056,115,1261,3044,282,1437
MK7,6165,95,424,680,179,840
MK8,4549,48,1260,909,249,683
MK9,1405,36,403,358,73,268
N1,32849,836,826,10275,2801,6860
N10,9885,227,371,1950,2046,2367
N11,15095,288,1756,4305,1881,2681
N12,11951,446,2573,3760,4028,2732
N13,17464,231,1255,5762,1488,2867
N14,12918,220,1540,3758,2006,2324
N15,21208,500,578,7846,6572,5154
N16,14651,392,279,6660,12455,6799
N17,32100,555,812,13155,2759,4961
N18,15087,217,1187,10303,1405,2342
N19,14043,321,372,4406,1443,3110
N1C,453,20,20,505,26,126
N2,8035,209,904,2023,4963,1993
N20,7272,141,1127,1312,2364,1229
N21,11329,100,846,2009,836,1358
N22,17419,506,709,5674,1538,3395
N3,7753,286,1731,1941,6162,2149
N4,17391,474,501,6870,2085,4256
N5,7780,201,190,2274,749,1806
N6,5960,136,236,662,1572,1436
N7,16107,447,570,6849,1266,3723
N8,11834,351,488,2972,1677,2665
N9,21545,165,1530,13317,2402,3179
NE1,6025,317,446,1670,335,2689
NE10,19261,69,89,859,197,1504
NE11,8426,50,82,267,150,661
NE12,18172,106,300,474,248,1951
NE13,10883,82,504,708,236,1145
NE15,18419,85,246,1580,247,1778
NE16,13883,34,29,147,149,1030
NE17,2260,10,4,31,47,251
NE18,529,0,0,5,3,69
NE19,2553,12,3,11,36,197
NE2,9738,182,338,750,419,2761
NE20,6596,28,180,208,245,573
NE21,10005,25,13,96,96,735
NE22,10732,31,8,62,142,924
