outcode,Christian,Buddhist,Hindu,Muslim,Others,None
AL1,17467,265,723,3219,737,2688
AL10,18686,451,2325,2337,726,3329
AL2,12163,131,819,1300,1660,1502
AL3,14541,95,355,1143,453,1779
AL4,13082,144,482,805,483,1641
AL5,16464,110,421,509,481,1818
AL6,7529,54,217,183,270,832
AL7,16004,238,707,819,592,2139
AL8,5859,99,206,170,209,751
AL9,5595,22,237,268,375,681
B1,4496,139,433,2385,328,991
B10,2456,18,183,26934,257,1851
B11,5715,56,962,37993,1008,2809
B12,3576,78,206,15265,428,1424
B13,11257,163,950,12166,1408,2376
B14,17458,142,596,6149,846,2465
B15,7597,222,1580,3746,1487,2235
B16,7985,188,802,7291,1662,1651
B17,11004,157,1171,3729,2465,1845
B18,6315,96,468,7440,1454,1295
B19,5996,115,247,16005,399,1850
B2,184,16,19,73,26,45
B20,9089,245,1532,17253,6144,2475
B21,6770,163,1763,9156,6094,1429
B22,110,0,1,21,2,17
B23,23980,193,621,9439,1000,3489
B24,13437,122,318,5373,490,1795
B25,5243,28,224,8905,296,989
B26,16636,88,420,6620,718,1915
B27,10569,78,788,7813,1001,1631
B28,8788,60,1612,11677,1778,1602
B29,17741,292,1048,4645,1277,3634
B3,437,8,38,111,51,127
B30,13214,125,357,1964,457,1699
B31,28003,215,352,2698,621,3273
B32,17966,134,544,3804,1229,2187
B33,12541,82,217,11131,293,2314
B34,7699,33,33,5516,137,1206
B35,3934,18,22,319,54,473
B36,15401,64,120,8432,309,2113
B37,16602,86,165,652,325,2038
B38,8896,64,152,1053,296,1121
B4,1974,56,411,1246,281,1808
B42,11934,122,926,5648,2238,1634
B43,14455,93,1075,1902,3912,1512
B44,16020,138,489,2615,619,2092
B45,15664,90,202,608,472,1780
B46,8492,39,52,57,103,664
B47,6275,31,116,148,159,540
B48,2872,8,16,15,69,341
B49,7327,41,40,26,96,710
B5,2526,112,244,3397,247,639
B50,4152,11,19,17,55,350
B6,3064,74,141,12947,179,1074
B60,16685,100,175,295,432,1865
B61,12076,69,119,139,292,1278
B62,13437,66,247,1685,1295,1504
B63,18070,89,96,2362,564,1898
B64,8323,52,102,1968,350,1448
B65,12165,67,258,1238,1293,1292
B66,8030,94,889,12381,5260,1770
B67,9297,70,582,4380,5059,1336
B68,13250,63,679,3501,4133,1598
B69,11630,54,798,2923,4208,1844
B7,2400,39,27,4660,91,517
B70,11482,184,2316,6684,6790,1739
B71,14505,86,1020,2201,4573,1673
B72,6452,41,325,758,412,832
B73,10613,81,435,861,938,1107
B74,17576,110,1000,1034,3010,1563
B75,13970,95,578,997,898,1402
B76,10945,72,309,541,453,894
B77,27973,138,161,276,411,2844
B78,13480,51,59,79,182,1234
B79,13027,40,52,79,189,1222
B8,4395,49,110,36802,250,2505
B80,4674,11,35,102,88,456
B9,2513,31,78,18052,165,1196
B90,24995,154,2366,3047,1942,2646
B91,17740,100,2088,2560,1738,1757
B92,16351,133,821,3144,925,1604
B93,12144,43,223,349,426,972
B94,4533,9,73,99,107,330
B95,4115,29,20,15,68,313
B96,2894,10,11,16,58,243
B97,17505,74,150,1389,258,1947
B98,22510,104,150,2164,433,2588
BA1,19585,415,344,609,521,3651
BA10,2588,27,8,13,66,438
BA11,16123,188,44,95,417,2662
BA12,16109,177,144,97,261,1963
BA13,10254,71,40,107,206,1299
BA14,24506,189,107,687,414,3095
BA15,6490,70,26,57,115,915
BA16,6822,56,44,96,186,1089
BA2,30420,388,420,1017,682,5837
BA20,7632,34,59,93,81,1062
BA21,17606,108,144,369,179,2294
BA22,10418,59,38,48,149,1163
BA3,17766,104,48,108,250,2443
BA4,9126,77,15,54,169,1242
BA5,9856,102,32,35,204,1257
BA6,5691,135,26,41,495,1082
BA7,2054,9,1,12,31,232
BA8,2951,21,6,4,43,306
BA9,3956,18,8,28,55,470
BB0,96,0,1,298,1,30
BB1,22889,135,262,37842,258,3721
BB10,18877,97,99,11723,175,2444
BB11,12805,57,57,1043,127,1249
BB12,19443,100,52,1963,173,1848
BB18,8994,47,7,442,104,1025
BB2,28387,108,240,15213,245,3124
BB3,17745,57,55,1377,176,1647
BB4,20674,119,75,3268,233,2204
BB5,30040,111,61,10460,313,3241
BB6,15846,52,71,1431,93,1317
BB7,15663,49,43,332,75,1356
BB8,11494,77,10,796,153,1370
BB9,13853,85,29,22208,155,2410
BD1,2999,41,691,5955,157,851
BD10,13954,79,138,1393,667,1650
BD11,6860,17,70,196,148,732
BD12,8546,29,80,948,153,891
BD13,14036,49,274,1608,336,1555
BD14,3360,9,391,1946,250,491
BD15,6386,32,162,5502,218,966
BD16,13164,65,95,1635,236,1420
BD17,9148,38,92,309,145,979
BD18,9547,48,207,5546,541,1470
BD19,10730,37,158,422,236,1112
BD2,9195,52,170,10433,941,1743
BD20,19439,85,121,3932,224,2195
BD21,8184,45,75,10886,200,1540
BD22,11357,42,36,698,162,1336
BD23,16129,74,67,566,201,1673
BD24,2679,13,7,8,21,319
BD3,3812,47,253,24577,726,1986
BD4,12567,61,302,5320,890,1844
BD5,6263,45,247,18311,327,1522
BD6,12287,60,385,4319,339,1599
BD7,5171,34,815,20419,276,1893
BD8,4593,24,169,23300,396,1831
BD9,2887,43,121,20618,196,1591
BH1,14011,300,651,1062,856,2990
BH10,11203,92,91,283,238,1543
BH11,8879,99,76,334,175,1314
BH12,17639,171,176,513,379,2676
BH13,4689,66,28,68,175,589
BH14,11550,61,102,247,226,1596
BH15,16354,155,215,359,254,2163
BH16,7395,48,21,58,84,906
BH17,10483,75,135,152,185,1485
BH18,5932,40,58,73,86,718
BH19,6086,41,14,32,109,800
BH2,4304,99,207,265,212,708
BH20,10631,100,59,40,122,1229
BH21,28707,154,85,136,406,3414
BH22,15225,95,55,124,173,1668
BH23,29523,172,85,215,524,3462
BH24,12583,96,25,99,170,1551
BH25,14101,55,57,139,242,1686
BH3,3031,38,82,330,123,547
BH31,264,1,0,0,1,43
BH4,3732,48,44,119,180,588
BH5,5188,96,67,147,192,870
BH6,12063,108,65,174,253,1486
BH7,4337,54,63,163,109,566
BH8,12846,196,409,1346,332,2069
BH9,11556,130,291,762,345,2123
BL0,10963,32,38,397,197,947
BL1,29819,148,1637,20748,353,3474
BL11,77,0,13,42,7,66
BL2,26977,93,543,2579,250,2333
BL3,23540,110,2667,31031,210,3031
BL4,17274,79,358,3365,187,1597
BL5,17947,50,236,466,138,1286
BL6,17256,74,399,661,173,1422
BL7,8594,25,31,101,77,650
BL8,21052,74,90,1394,345,1603
BL9,23742,154,268,11264,1068,2479
BN1,24897,822,718,2460,1639,6975
BN10,8972,96,90,272,201,1147
BN11,15292,300,264,829,527,2518
BN12,12002,101,123,356,200,1302
BN13,13723,177,185,335,232,1857
BN14,13199,168,185,432,300,1838
BN15,12429,129,78,306,233,1739
BN16,16069,87,54,139,186,1702
BN17,14945,123,86,216,247,1973
BN18,7861,55,42,100,148,839
BN2,28269,863,731,2701,1606,6534
BN20,12974,160,115,303,272,1805
BN21,10774,178,212,859,240,1902
BN22,14216,139,131,643,314,1858
BN23,14252,126,95,496,228,1783
BN24,4301,22,40,81,72,526
BN25,11289,140,76,174,273,1628
BN26,6375,53,49,83,135,910
BN27,14597,81,54,152,234,2053
BN3,26686,696,575,2846,2251,5331
BN4,25754,256,206,987,709,3583
BN41,610,14,10,55,5,96
BN42,166,1,0,0,3,23
BN43,1111,18,16,41,36,141
BN44,309,2,7,0,2,46
BN5,4215,24,20,48,61,495
BN6,8699,70,51,107,202,1249
BN7,7178,193,51,105,293,1340
BN8,8009,49,26,60,179,992
BN9,4992,53,45,166,148,863
BR1,32359,486,2462,3268,769,4513
BR2,24101,319,1555,1571,469,3144
BR3,23576,280,990,1684,683,3351
BR4,9787,57,457,422,154,1157
BR5,25801,346,1400,1570,529,3067
BR6,22757,294,2674,917,498,2682
BR7,9386,88,464,668,246,1221
BR8,11726,92,246,378,183,1360
BS0,135,5,0,7,2,13
BS1,5625,349,517,2695,468,2674
BS10,14299,141,402,1950,391,2296
BS11,8102,64,45,501,160,1206
BS12,35121,304,1478,1478,662,4618
BS13,11746,102,152,614,200,2025
BS14,13606,90,125,618,184,1950
BS15,36943,265,301,1497,766,5121
BS16,34394,517,765,5462,1510,5718
BS17,25850,121,141,345,296,3326
BS18,26952,187,113,206,339,3600
BS19,18152,88,89,125,210,2244
BS2,3891,138,199,4217,415,1624
BS20,15807,118,57,183,216,1937
BS21,11149,75,22,138,155,1399
BS22,18452,92,79,203,209,2801
BS23,15885,150,95,481,359,2533
BS24,11864,70,63,135,143,1457
BS25,2325,28,7,5,27,320
BS26,2045,19,4,4,29,232
BS27,3499,10,8,8,29,438
BS28,1803,6,1,9,15,171
BS3,11178,209,279,1322,447,2747
BS31,611,8,7,23,6,94
BS32,775,10,169,101,15,136
BS34,2111,35,291,293,63,367
BS35,330,3,11,6,12,57
BS36,128,0,1,4,1,17
BS37,526,13,7,25,7,83
BS39,264,5,0,3,6,66
BS4,16891,205,238,1590,378,2913
BS49,84,1,0,0,7,22
BS5,13814,335,276,9592,1356,3360
BS6,9625,247,224,795,698,2606
BS7,10966,243,319,2289,590,2755
BS8,7342,219,221,465,413,1807
BS9,13881,162,284,660,433,2203
CA1,12635,129,152,335,136,1501
CA10,10099,26,2,36,76,967
CA11,13358,62,28,128,102,1457
CA12,4083,52,11,14,36,471
CA13,9275,40,35,70,66,896
CA14,22073,71,10,98,144,2066
CA15,9895,23,4,32,48,1017
CA16,3532,14,2,20,47,275
CA17,2654,17,1,20,20,328
CA18,302,5,0,0,4,21
CA19,946,6,0,2,8,92
CA2,20490,105,103,325,178,2388
CA20,1742,13,0,5,11,180
CA21,638,8,4,3,4,52
CA22,5551,23,7,7,24,414
CA23,1328,0,1,2,2,75
CA24,486,0,0,0,4,43
CA25,3872,10,14,16,23,280
CA26,2015,7,1,3,15,147
CA27,971,4,1,3,1,76
CA28,18137,40,17,207,110,1381
CA3,8405,35,65,127,47,828
CA4,7034,40,11,34,40,624
CA5,12214,37,19,17,57,1157
CA6,6821,45,6,27,61,669
CA7,4883,7,2,10,27,470
CA8,2973,12,6,18,36,269
CA9,985,10,0,0,27,145
CB1,30374,913,2068,3325,1117,6678
CB10,9138,109,99,110,155,1088
CB11,8668,91,70,139,169,1055
CB2,20905,393,1072,1457,785,5123
CB23,16747,197,821,996,373,2498
CB24,15489,179,435,462,304,2367
CB25,9175,82,165,137,181,1239
CB3,5976,160,361,581,437,1791
CB4,16317,394,643,2594,601,3809
CB5,3594,123,172,537,147,937
CB6,19749,156,151,278,375,2590
CB7,12998,117,97,161,210,1847
CB8,17719,141,174,968,262,2248
CB9,14783,150,186,284,185,1762
CF1,16579,399,1650,13074,988,4132
CF10,965,16,136,476,22,171
CF11,2339,46,232,799,103,368
CF14,35788,313,808,3411,761,4740
CF15,9037,75,172,170,119,1036
CF2,27072,441,1411,9377,1208,5578
CF23,7365,86,220,1347,129,921
CF24,1054,19,68,328,74,219
CF3,19489,115,476,2026,403,2706
CF31,20124,148,151,344,298,2665
CF32,12306,68,83,122,165,1773
CF33,5913,23,25,61,68,948
CF34,8075,60,41,47,103,1076
CF35,8273,88,31,223,153,1133
CF36,7767,31,11,31,79,941
CF37,13730,182,178,476,291,2526
CF38,8773,39,41,130,117,1168
CF39,9665,41,51,114,187,1816
CF4,242,0,9,8,4,18
CF40,5752,38,22,106,98,1170
CF41,3520,14,11,61,36,657
CF42,4093,28,11,28,97,734
CF43,3256,25,4,24,97,744
CF44,18206,100,70,184,193,2230
CF45,6829,37,28,85,88,1171
CF46,5759,27,7,38,68,835
CF47,9694,59,52,170,128,1142
CF48,10266,53,45,92,148,1395
CF5,27317,213,407,2785,552,3904
CF6,43296,348,349,966,738,6004
CF61,700,3,0,0,18,57
CF62,1831,6,8,47,29,233
CF63,750,1,8,40,10,85
CF64,397,6,9,25,11,43
CF7,14320,77,75,160,165,1702
CF72,1282,7,6,26,34,165
CF8,27198,147,118,271,445,4277
CF82,351,1,0,2,2,52
CF83,5387,27,8,27,104,780
CH1,20077,173,376,843,277,2798
CH2,16152,113,225,625,189,1919
CH25,141,4,0,0,4,20
CH26,185,4,0,0,3,18
CH27,258,0,3,4,10,47
CH28,366,0,12,1,3,32
CH29,259,3,0,1,5,27
CH3,20700,85,267,307,155,1999
CH30,231,2,8,1,0,20
CH31,213,1,0,0,1,19
CH32,180,0,16,21,5,14
CH33,147,0,0,0,0,20
CH34,516,6,0,12,5,59
CH4,18086,107,219,401,162,2093
CH41,11182,142,87,752,176,1232
CH42,16231,84,148,761,208,1812
CH43,19403,158,164,358,191,1767
CH44,14002,82,135,338,226,1692
CH45,15232,91,80,153,162,1614
CH46,13183,75,105,160,117,1265
CH47,6469,29,43,21,61,565
CH48,9079,42,121,78,79,790
CH49,17822,77,76,156,122,1532
CH5,21426,139,104,311,147,2732
CH6,9933,48,20,66,45,1304
CH60,8755,34,100,92,54,732
CH61,9367,44,14,83,76,825
CH62,17118,77,167,163,151,1692
CH63,16898,65,127,127,174,1417
CH64,10769,37,24,84,94,998
CH65,15091,130,72,446,144,1582
CH66,19024,83,53,192,154,1637
CH7,26902,131,65,152,185,3277
CH8,9879,41,28,79,71,1333
CM0,8639,51,25,36,129,999
CM1,35328,460,2053,2022,616,4516
CM11,11979,71,163,222,179,1222
CM12,10159,63,206,153,167,989
CM13,15289,94,504,517,407,1512
CM14,11722,97,557,457,307,1323
CM15,13644,100,258,253,284,1266
CM16,13386,99,245,313,840,1465
CM17,12134,92,239,757,430,1450
CM18,12001,80,170,895,239,1503
CM19,10627,74,159,840,235,1213
CM2,27733,293,808,1303,508,3488
CM20,11487,148,378,1363,264,1425
CM21,5141,22,33,120,106,573
CM22,9906,49,124,205,207,1119
CM23,21112,192,370,864,454,2726
CM24,3597,38,28,136,68,371
CM3,28447,146,245,333,341,3068
CM4,5222,14,56,37,76,535
CM5,5379,16,35,63,215,584
CM6,13735,80,107,117,247,1519
CM7,30853,190,276,578,498,3858
CM8,16319,120,224,243,265,2110
CM9,16716,104,64,219,225,1888
CO1,9329,212,332,794,252,1513
CO10,25225,122,54,254,317,3336
CO11,6596,31,12,24,98,859
CO12,11092,66,68,90,199,1306
CO13,7995,31,22,62,90,755
CO14,3417,36,20,27,49,400
CO15,22490,162,114,262,286,2961
CO16,12097,49,30,86,152,1411
CO2,16255,421,589,912,436,2651
CO3,14930,201,554,499,208,1763
CO4,22228,342,965,1560,480,3445
CO5,15152,66,50,105,174,1653
CO6,14364,66,66,129,168,1658
CO7,16605,130,88,191,250,1956
CO8,726,2,0,5,9,77
CO9,12431,59,57,111,170,1620
CR0,86764,1129,12292,18897,2361,12311
CR2,40539,548,5318,5639,1144,5432
CR3,35966,337,2022,2004,565,4607
CR4,55532,614,8692,17450,1546,7953
CR5,671,13,94,93,22,89
CR6,151,1,0,0,1,18
CR7,1743,15,180,480,73,213
CR8,538,25,79,98,12,70
CR9,184,8,10,18,0,36
CT1,13638,349,470,1315,531,2735
CT10,14174,134,220,388,208,1552
CT11,12588,118,154,314,265,1854
CT12,8754,52,87,206,104,1065
CT13,5373,25,36,43,64,552
CT14,17766,123,76,101,270,1909
CT15,8397,184,303,101,123,977
CT16,11139,128,141,272,172,1302
CT17,8128,69,92,127,136,974
CT18,8922,102,154,124,188,964
CT19,12863,393,571,442,363,1684
CT2,15409,263,531,1045,462,2867
CT20,9143,470,803,366,318,1373
CT21,9013,60,69,110,115,878
CT3,9423,80,104,130,107,1125
CT4,7441,40,52,104,140,835
CT5,16510,146,94,160,301,2069
CT6,19833,156,126,212,311,2329
CT7,7105,71,42,90,119,733
CT8,4006,26,24,101,85,434
CT9,19030,197,271,1029,455,2486
CV1,14487,228,1628,9836,1211,3786
CV10,28868,213,600,858,905,3130
CV11,19277,475,1169,2730,1355,2224
CV12,17110,93,299,286,1198,1753
CV13,6465,22,23,15,72,564
CV2,33674,182,2675,5525,3621,3798
CV21,21240,199,1975,1200,689,2968
CV22,19112,117,1095,545,715,2177
CV23,18304,114,513,478,683,1935
CV3,32798,333,3999,4624,5099,4303
CV31,14471,143,1808,717,3421,2288
CV32,14465,122,692,389,1220,1943
CV33,10823,73,152,163,280,1134
CV34,15150,115,705,609,1914,2034
CV35,15069,71,93,114,315,1399
CV36,6715,35,14,37,84,760
CV37,23412,162,268,320,437,2520
CV4,14815,225,1091,1777,1620,2693
CV5,22920,127,621,1390,1089,2809
CV6,38164,213,4096,12981,7434,4554
CV7,11453,50,307,278,1273,1121
CV8,14990,109,250,211,458,1606
CV9,11164,51,63,78,162,1071
CW1,24394,146,317,582,230,2832
CW10,10193,38,33,52,91,936
CW11,15140,101,51,98,136,1524
CW12,19056,91,85,169,196,1841
CW2,24248,118,215,713,223,2352
CW3,6891,23,21,18,43,629
CW4,5912,20,33,56,54,526
CW5,17795,121,96,145,157,1755
CW6,8427,22,18,49,64,640
CW7,18239,73,57,197,142,1706
CW8,22499,105,139,209,183,2011
CW9,19394,93,171,180,158,1876
DA1,32622,511,3372,3115,1410,3599
DA10,5153,57,336,453,265,580
DA11,19861,124,728,1581,5318,2141
DA12,24111,202,705,1669,3576,2434
DA13,8025,20,57,69,326,903
DA14,13027,135,495,762,284,1542
DA15,14789,157,533,894,306,1849
DA16,18114,605,2407,1706,1137,2283
DA17,11239,163,652,1015,1397,1183
DA18,3627,102,54,398,79,324
DA2,12189,90,579,618,468,1276
DA3,9691,67,143,71,308,977
DA4,4262,25,39,46,77,491
DA5,10546,85,548,437,429,1166
DA6,5166,120,382,462,263,688
DA7,16978,285,1251,928,1210,1906
DA8,17897,183,776,1698,1059,1844
DA9,6434,77,229,362,320,780
DE1,9909,143,440,1979,535,2178
DE11,22206,85,119,111,378,2714
DE12,11554,33,36,52,176,1134
DE13,25298,103,162,1960,406,2576
DE14,12685,93,131,8214,242,1935
DE15,11944,58,53,386,203,1375
DE2,46383,290,708,3924,3399,6864
DE21,1052,12,12,29,25,166
DE22,22062,169,394,1660,787,2953
DE23,19745,137,1266,21062,6344,3519
DE24,1899,26,73,215,554,300
DE3,9081,68,348,582,685,993
DE4,24348,145,29,97,240,2634
DE5,36679,188,115,175,604,4465
DE55,13712,68,49,72,201,1854
DE56,3053,18,32,34,57,367
DE6,24736,97,71,228,449,2542
DE65,2246,6,21,35,138,263
DE7,53363,246,417,474,1164,6450
DE72,163,1,6,0,0,9
DE73,1488,21,87,114,441,277
DE74,234,0,0,4,8,33
DE75,155,3,0,0,5,23
DH1,27830,352,457,1142,572,4707
DH2,17938,65,43,167,213,1517
DH3,14057,44,59,300,240,1047
DH4,19441,42,38,110,218,1435
DH5,11151,32,20,57,94,1036
DH6,19342,71,53,135,230,1682
DH7,22724,109,61,240,227,2008
DH8,23657,72,55,121,271,1746
DH9,18573,79,35,220,285,1637
DH98,142,1,0,30,2,8
DL1,26784,192,155,785,526,2758
DL10,12917,44,40,38,122,1089
DL11,2449,6,1,7,30,234
DL12,8148,24,10,60,70,696
DL13,8564,30,20,21,71,679
DL14,22711,99,60,125,183,1846
DL15,12263,45,20,60,137,1182
DL16,11865,32,20,76,130,1072
DL17,9441,41,26,63,102,921
DL2,10923,55,39,110,82,875
DL3,20060,124,261,968,274,1797
DL4,4857,20,7,19,52,478
DL5,14459,47,18,94,163,1388
DL6,11047,34,28,89,56,1001
DL7,7863,18,12,29,75,696
DL8,11061,38,11,26,82,913
DL9,6086,391,690,58,204,654
DN1,6190,60,71,1811,236,754
DN10,8503,16,13,55,127,782
DN11,15993,45,48,111,121,1618
DN12,12246,35,38,122,162,1290
DN14,28988,99,48,184,256,2959
DN15,19825,100,199,3313,488,2097
DN16,15692,76,71,412,222,1866
DN17,18255,72,51,256,239,1951
DN18,6981,49,17,63,66,843
DN19,3338,8,2,4,25,368
DN2,12054,149,343,1517,582,1528
DN20,10918,57,41,82,103,1004
DN21,20315,81,69,157,300,2376
DN22,20652,102,111,257,204,2168
DN3,16891,72,68,227,180,1494
DN31,5530,55,57,184,115,861
DN32,10396,75,58,389,176,1555
DN33,9508,59,107,324,112,1280
DN34,6981,27,26,201,83,1036
DN35,15126,108,48,387,191,1898
DN36,11190,51,93,218,87,1135
DN37,14206,63,47,193,127,1551
DN38,1565,11,9,6,9,123
DN39,1616,3,4,4,14,175
DN4,26845,123,395,2060,1107,2833
DN40,5522,15,11,58,67,637
DN41,129,0,0,10,3,12
DN5,20666,150,125,260,250,2192
DN6,14000,40,88,108,187,1618
DN7,12323,72,46,460,198,1260
DN8,10071,41,29,72,102,1119
DN9,11415,39,39,157,103,944
DT1,10924,142,64,263,171,1368
DT10,7105,43,10,38,95,760
DT11,14887,224,202,108,232,2483
DT2,13687,69,17,60,193,1662
DT3,13315,91,32,99,207,1724
DT4,16803,146,44,197,274,2187
DT5,5528,85,5,127,197,765
DT6,11310,102,27,41,176,1621
DT7,3128,27,1,11,47,440
DT8,3147,24,4,17,42,415
DT9,11702,99,27,106,158,1523
DY1,18339,193,792,3617,1407,2197
DY10,21460,108,59,864,428,2320
DY11,16496,66,37,137,195,1876
DY12,8207,27,14,37,98,842
DY13,12072,34,26,69,128,1390
DY14,5574,17,10,22,54,603
DY2,13530,62,282,5462,721,1759
DY3,21199,64,151,268,517,1832
DY4,21425,96,889,4459,3884,2613
DY5,20234,125,177,1842,627,2609
DY6,17597,55,109,196,310,1651
DY7,4717,24,12,23,73,360
DY8,25125,108,140,792,642,2888
DY9,13580,61,182,3557,697,1585
E1,19434,853,1656,44383,1237,6782
E10,19066,374,858,15936,842,3601
E11,23090,392,1231,10401,1666,3881
E12,11153,93,3435,21739,1531,2669
E13,21974,365,2410,21223,960,3644
E14,27425,1238,3807,39554,1375,7803
E15,24575,587,1941,14090,917,4629
E16,27185,534,2486,11314,953,4254
E17,38754,726,2469,24867,1727,7979
E18,8268,165,1117,3032,1101,1382
E1W,273,0,23,382,11,79
E2,11159,507,343,16645,940,3353
E20,2199,87,221,1448,147,643
E3,14909,533,638,24879,783,4129
E4,31858,395,1094,9130,1896,4715
E5,16441,448,552,8821,5669,5070
E6,27368,398,7048,32791,1589,4816
E7,13374,159,3991,21427,1959,2980
E8,14599,453,419,6265,1831,3557
E9,14305,403,185,5254,1253,2496
EC1A,1038,42,87,145,74,292
EC1M,896,24,32,183,89,239
EC1N,896,36,40,511,51,292
EC1R,2303,36,56,774,132,547
EC1V,6405,198,354,2233,570,1620
EC1Y,1498,27,46,408,119,327
EC2A,315,7,27,26,32,110
EC2P,122,5,16,11,21,46
EC2Y,547,10,27,25,46,158
EC3N,87,2,8,11,15,19
EC4A,38,7,11,21,4,23
EC4Y,67,15,11,17,4,23
EN1,26270,346,1420,6897,1763,3653
EN10,10760,90,172,533,294,1124
EN11,11942,79,115,418,236,1515
EN2,14807,174,815,2273,1113,2030
EN3,27209,186,1114,15454,3189,4275
EN4,14953,230,1360,2765,2483,2266
EN5,18026,344,1836,2682,2910,2921
EN6,16004,152,1089,1110,1137,1794
EN7,12249,115,388,1022,507,1297
EN8,19281,200,507,2379,1126,2253
EN9,12063,100,189,736,548,1382
EX1,13167,168,204,770,326,2509
EX10,10302,72,21,89,123,1272
EX11,4991,21,6,44,55,622
EX12,5676,37,6,30,71,787
EX13,9041,67,17,33,115,1211
EX14,11404,122,12,103,158,1450
EX15,11600,58,24,34,159,1519
EX16,16940,116,40,55,268,2237
EX17,10125,81,43,26,193,1334
EX18,2266,15,4,4,35,294
EX19,2135,11,0,6,41,217
EX2,20432,246,175,619,352,3041
EX20,11551,70,9,70,190,1616
EX21,2443,18,2,8,36,314
EX22,6393,36,3,27,94,793
EX23,7267,42,13,38,137,1081
EX3,2287,38,33,22,56,300
EX31,15139,129,87,164,213,1954
EX32,9934,74,46,161,182,1517
EX33,5383,37,11,27,56,781
EX34,6674,39,12,34,114,1119
EX35,786,7,0,7,12,78
EX36,4807,28,10,31,58,603
EX37,1475,5,0,4,25,154
EX38,4392,22,3,12,54,634
EX39,17371,127,23,64,283,2480
EX4,21581,305,334,1459,609,4487
EX5,10239,37,22,51,114,1398
EX6,7392,75,13,29,97,940
EX7,6731,54,16,46,140,987
EX8,18535,92,38,114,256,2348
EX9,3572,19,3,14,46,472
FY0,110,1,1,3,7,16
FY1,17473,153,189,1037,367,1978
FY2,13300,95,57,208,173,1342
FY3,15839,118,139,392,226,1570
FY4,23898,123,129,390,260,2389
FY5,25656,126,46,171,241,2265
FY6,18282,71,64,102,126,1492
FY7,13580,71,49,165,180,1342
FY8,26855,182,137,295,440,2277
GL1,19079,180,589,4768,421,2766
GL10,8491,82,68,65,107,1185
GL11,10214,39,37,46,187,1229
GL12,7184,59,17,58,168,895
GL13,2931,16,0,1,39,295
GL14,8199,54,30,56,147,1140
GL15,11599,49,33,75,152,1397
GL16,6756,27,12,19,109,917
GL17,6808,32,7,15,95,776
GL18,5277,29,0,37,46,612
GL19,6337,29,4,23,60,798
GL2,28981,181,403,710,344,3490
GL20,15040,71,81,140,171,1841
GL3,17663,178,375,249,241,1963
GL4,22931,103,329,796,274,2552
GL5,13784,213,66,150,422,2332
GL50,11917,230,394,430,293,1949
GL51,23301,145,485,892,425,3025
GL52,23493,190,416,444,311,2958
GL53,9058,80,162,114,139,1209
GL54,14664,82,26,39,207,1511
GL55,3602,18,7,4,30,338
GL56,5172,33,10,28,48,510
GL6,10910,98,42,43,202,1560
GL7,25663,187,202,160,352,2939
GL8,5053,27,2,26,53,545
GL9,988,4,0,0,9,96
GU1,16770,389,708,1131,391,3073
GU10,17439,116,170,473,248,1975
GU11,12403,1931,2486,926,575,1684
GU12,14326,689,754,656,269,1630
GU13,18181,230,504,293,322,2114
GU14,24137,2194,2609,1159,800,2981
GU15,23207,945,1767,1948,1223,2849
GU16,10891,179,429,503,311,1233
GU17,16855,289,440,268,367,1913
GU18,3873,30,121,126,132,405
GU19,3205,20,74,149,89,323
GU2,14810,271,721,1136,330,2679
GU20,2610,19,41,59,60,247
GU21,24296,408,1346,5859,497,3027
GU22,18147,191,991,3447,369,2208
GU23,4257,34,23,65,97,459
GU24,9288,98,254,361,221,1045
GU25,3451,20,261,261,387,480
GU26,4571,32,24,119,72,729
GU27,9996,72,58,114,161,1175
GU28,4168,35,16,10,40,467
GU29,5399,55,12,41,76,613
GU3,4973,32,75,59,72,589
GU30,5205,26,26,46,44,578
GU31,7432,78,27,56,76,819
GU32,5592,47,20,71,85,857
GU33,4295,33,23,36,55,535
GU34,17452,116,103,174,256,2049
GU35,10841,85,74,232,177,1360
GU4,6909,66,153,206,127,826
GU47,107,0,0,1,1,4
GU5,6564,59,39,35,89,671
GU51,2664,37,154,124,44,332
GU52,639,17,25,14,10,95
GU6,8821,75,30,97,120,942
GU7,12146,115,144,238,166,1543
GU8,8904,54,24,81,122,1047
GU9,13544,141,109,558,256,1766
HA0,17841,884,22574,10235,1463,3284
HA1,17860,501,9007,8212,1830,3409
HA2,19874,912,18555,9799,2535,3061
HA3,28749,645,22088,12628,4606,4495
HA4,26875,425,5447,3735,1511,3025
HA5,15355,485,10388,5138,3788,2647
HA6,7999,225,4735,2395,2085,1341
HA7,10846,283,10075,5921,5903,2372
HA8,26832,900,10163,10956,10804,5158
HA9,22729,459,10114,11771,1533,3967
HD1,10578,196,330,12237,854,2437
HD2,10563,66,198,6560,1275,1549
HD3,14000,75,212,2536,439,1903
HD4,10583,48,96,3964,578,1480
HD5,12916,59,115,2030,351,1616
HD6,12969,66,76,313,221,1468
HD7,25334,148,40,377,384,3110
HD8,17002,80,72,168,318,1911
HD9,114,3,2,0,0,16
HG1,19115,130,130,303,281,2276
HG2,17149,119,113,252,254,1773
HG3,16857,86,42,109,228,2463
HG4,14709,85,71,106,140,1514
HG5,10849,40,29,51,120,1083
HP1,13629,201,493,636,313,1746
HP10,11748,118,385,664,399,1418
HP11,7949,171,850,3834,375,1530
