outcode,total_applications,successful_applications,success_rate
SG2,1192,660,55.37
SG3,454,145,31.94
SG4,2496,925,37.06
SG5,1610,654,40.62
SG6,1636,754,46.09
SG7,1007,387,38.43
SG8,3535,1790,50.64
SG9,1228,226,18.4
SK1,318,158,49.69
SK10,1005,189,18.81
SK11,664,153,23.04
SK12,413,81,19.61
SK13,1464,1290,88.11
SK14,484,339,70.04
SK15,324,234,72.22
SK16,128,93,72.66
SK17,939,693,73.8
SK2,403,247,61.29
SK22,324,251,77.47
SK23,544,401,73.71
SK3,388,247,63.66
SK4,984,660,67.07
SK5,230,158,68.7
SK6,986,677,68.66
SK7,1056,724,68.56
SK8,1547,1078,69.68
SK9,1287,215,16.71
SL0,951,187,19.66
SL1,1856,330,17.78
SL2,2019,337,16.69
SL3,1620,365,22.53
SL4,1809,1051,58.1
SL5,1237,726,58.69
SL6,3456,1854,53.65
SL7,2190,1466,66.94
SL8,759,522,68.77
SL9,2574,190,7.38
SM1,1074,705,65.64
SM2,737,477,64.72
SM3,535,358,66.92
SM4,919,312,33.95
SM5,753,502,66.67
SM6,782,504,64.45
SM7,1487,388,26.09
SN1,510,349,68.43
SN10,1190,431,36.22
SN11,467,129,27.62
SN12,557,134,24.06
SN13,567,137,24.16
SN14,1039,285,27.43
SN15,1302,370,28.42
SN16,705,213,30.21
SN1O,1,0,0.0
SN2,353,224,63.46
SN25,310,216,69.68
SN26,86,52,60.47
SN3,600,426,71.0
SN38,1,1,100.0
SN4,777,302,38.87
SN5,404,175,43.32
SN6,1103,705,63.92
SN62,1,0,0.0
SN7,1048,911,86.93
SN8,1491,485,32.53
SN9,441,195,44.22
SO14,399,122,30.58
SO15,679,177,26.07
SO16,1486,295,19.85
SO17,385,147,38.18
SO18,505,151,29.9
SO19,624,155,24.84
SO20,1683,706,41.95
SO21,2002,1479,73.88
SO22,1733,1392,80.32
SO23,2140,1703,79.58
SO24,1103,837,75.88
SO30,1389,884,63.64
SO31,2691,2071,76.96
SO32,1708,1220,71.43
SO40,1233,274,22.22
SO41,2461,405,16.46
SO42,552,269,48.73
SO43,430,210,48.84
SO45,900,99,11.0
SO50,1565,984,62.88
SO51,2679,570,21.28
SO52,401,36,8.98
SO53,1959,1012,51.66
SP1,693,208,30.01
SP10,1058,140,13.23
SP11,2869,1068,37.23
SP2,446,132,29.6
SP3,682,259,37.98
SP4,622,191,30.71
SP5,1156,404,34.95
SP6,1232,392,31.82
SP7,732,490,66.94
SP8,418,324,77.51
SP9,95,16,16.84
SR1,243,166,68.31
SR2,371,274,73.85
SR3,247,187,75.71
SR4,202,161,79.7
SR5,347,244,70.32
SR6,432,162,37.5
SR7,251,166,66.14
SR8,229,166,72.49
SS0,788,166,21.07
SS1,620,151,24.35
SS11,814,524,64.37
SS12,620,398,64.19
SS13,548,368,67.15
SS14,575,451,78.43
SS15,550,392,71.27
SS16,711,488,68.64
SS17,472,349,73.94
SS2,541,135,24.95
SS3,465,211,45.38
SS4,761,447,58.74
SS5,1001,613,61.24
SS6,1125,764,67.91
SS7,2106,1502,71.32
SS8,807,482,59.73
SS9,1238,275,22.21
ST1,256,36,14.06
ST10,1325,606,45.74
ST11,262,164,62.6
ST12,160,96,60.0
ST13,938,481,51.28
ST14,910,209,22.97
ST15,663,394,59.43
ST16,568,360,63.38
ST17,850,508,59.76
ST18,801,451,56.3
ST19,824,234,28.4
ST2,194,44,22.68
ST20,297,169,56.9
ST21,402,246,61.19
ST3,448,92,20.54
ST4,574,132,23.0
ST5,2521,1976,78.38
ST6,463,132,28.51
ST7,893,547,61.25
ST8,360,237,65.83
ST9,485,300,61.86
SW1,1,0,0.0
SW10,801,422,52.68
SW11,1963,167,8.51
SW12,1122,309,27.54
SW13,834,623,74.7
SW14,700,508,72.57
SW15,2157,401,18.59
SW16,2061,1040,50.46
SW17,2012,245,12.18
SW18,2310,334,14.46
SW19,3880,1332,34.33
SW1A,562,323,57.47
SW1E,167,95,56.89
SW1H,88,55,62.5
SW1P,435,235,54.02
SW1V,552,259,46.92
SW1W,899,449,49.94
SW1X,1131,634,56.06
SW1Y,365,214,58.63
SW2,994,679,68.31
SW20,1402,525,37.45
SW3,1778,945,53.15
SW4,1186,758,63.91
SW5,409,243,59.41
SW6,2024,1150,56.82
SW7,1457,706,48.46
SW8,1128,387,34.31
SW9,825,547,66.3
SY1,441,314,71.2
SY10,438,255,58.22
SY11,396,236,59.6
SY12,197,107,54.31
SY13,560,324,57.86
SY14,265,143,53.96
SY15,173,120,69.36
SY16,272,206,75.74
SY17,140,96,68.57
SY18,110,72,65.45
SY19,41,23,56.1
